mode,state,perf_profile,iterations,target_instructions_per_iteration,rows,timing_valid_rows,exact_cycle_rows,median_tsc_ticks_per_iteration,p05_tsc_ticks_per_iteration,p95_tsc_ticks_per_iteration,mad_tsc_ticks_per_iteration,median_wall_ns,median_core_cycles_per_target_instruction,median_instructions_per_target_instruction,median_ref_cycles_per_iteration,median_core_to_ref_ratio,median_min_cycle_running_ratio,median_minor_faults,median_major_faults
add_latency,warm,basic,8,128,15,15,15,90,89.25,99.5,0.75,395,2.357421875,1.673828125,275,1.11270871985,1,0,0
add_latency,warm,basic,800,128,15,15,15,88.02,88.01,97.1225,0.00749999999999,32143,1.01294921875,1.02220703125,89.7875,1.44442433524,1,0,0
add_latency,warm,basic,80000,128,15,15,15,91.787925,90.651375,97.90585,1.009325,3345558,1.00405830078,1.01569082031,88.78485,1.44876681677,1,0,0
add_latency,warm,basic,12000000,128,15,15,15,90.8757601667,90.2688896667,91.6041145833,0.411535666667,496834259,1.00330663477,1.0156254388,88.6223836667,1.44953387547,1,0,0
add_latency,warm,expanded,12000000,128,15,15,0,91.24546,90.6053003333,92.6550153333,0.22136,498855447,,,,,0.497645080368,0,0
add_latency,warm,none,12000000,128,15,15,0,90.6708048333,90.242534,92.2624105,0.2133325,495713759,,,,,,0,0
add_throughput_1,warm,basic,12000000,128,15,15,15,90.5745173333,90.262881,91.6383941667,0.146683333333,495187245,1.00328528451,1.0156254401,88.5294721667,1.4505714964,1,0,0
add_throughput_2,warm,basic,12000000,128,15,15,15,46.122544,46.0694841667,46.354639,0.0410558333333,252160225,0.511638703776,1.01562544336,45.1056008333,1.45171136267,1,0,0
add_throughput_4,warm,basic,12000000,128,15,15,15,23.4004376667,23.3128241667,25.0901319167,0.0445595,127934491,0.259175159505,1.01562544466,22.8523698333,1.45166548676,1,0,0
add_throughput_8,warm,basic,12000000,128,15,15,15,23.3624008333,23.2307023333,24.9664511667,0.0784556666667,127726602,0.258665014974,1.01562545768,22.8166455,1.45139758457,1,0,0
and_zero_control,warm,basic,12000000,384,15,15,15,454.036649667,452.678064167,475.417146667,0.3968805,2482299304,1.6721494681,1.0052084796,443.6105245,1.44754545551,1,0,0
empty,warm,basic,8,0,15,15,15,9.5,2.5,15.5,3,89,,,178.75,0.97113022113,1,0,0
empty,warm,basic,800,0,15,15,15,0.7975,0.745,0.89875,0.02,338,,,2.585,1.09706439394,1,0,0
empty,warm,basic,80000,0,15,15,15,0.688725,0.68805,0.964825,0.000125,25157,,,0.7051,1.44314191466,1,0,0
empty,warm,basic,12000000,0,15,15,15,0.715795416667,0.70913675,0.745278666667,0.00468058333333,3913473,,,0.692987166667,1.44960085849,1,0,0
imul_latency,warm,basic,12000000,128,15,15,15,272.476893167,271.2473005,277.92064225,0.2602185,1489679916,3.00979589974,1.0156254388,266.158372333,1.44663339302,1,0,0
imul_throughput_8,warm,basic,12000000,128,15,15,15,91.0339938333,90.0647601667,97.0794093333,0.458825333333,497699445,1.00328907943,1.01562545703,89.1264751667,1.44059271494,1,0,0
page_state_probe,cache_evicted,basic,1,0,15,15,15,37044,35358,60082,744,17243,,,43912,1.39561176362,1,3,0
page_state_probe,page_cold,basic,1,0,15,15,15,2223114,2209902,2270112,2324,1012978,,,508288,1.44747208034,1,1027,0
page_state_probe,warm,basic,1,0,15,15,15,27074,17736,49368,2324,12495,,,31790,1.39661976026,1,3,0
shift_latency,warm,basic,12000000,128,15,15,15,90.7429875,90.000096,96.4157823333,0.699543666667,496108382,1.00318887305,1.0156254388,88.5520716667,1.4505364866,1,0,0
shift_throughput,warm,basic,12000000,128,15,15,15,45.6969165,45.5280125,46.4707945,0.119456166667,249833362,0.505536036458,1.01562545703,44.6192596667,1.45070636687,1,0,0
timer_only,warm,none,1,0,15,15,0,68,50,86,10,126,,,,,,3,0
xor_break,warm,basic,12000000,384,15,15,15,90.577227,90.2505885,96.8993924167,0.0996441666667,495202056,0.334426382378,1.0052084796,88.534699,1.45039319211,1,0,0
xor_throughput,warm,basic,12000000,128,15,15,15,23.3520313333,23.234029,23.901455,0.0248596666667,127669783,0.258702321615,1.01562545703,22.8128596667,1.45174198267,1,0,0
