mode,state,perf_profile,round,repetition,iterations,target_instructions_per_iteration,dynamic_target_instructions,tsc_ticks,wall_ns,cpu_before,cpu_after,minor_faults,major_faults,checksum,cycles,cycles_enabled,cycles_running,instructions,instructions_enabled,instructions_running,ref_cycles,ref_cycles_enabled,ref_cycles_running,branches,branches_enabled,branches_running,branch_misses,branch_misses_enabled,branch_misses_running,uops_issued_any,uops_issued_any_enabled,uops_issued_any_running,uops_retired_all,uops_retired_all_enabled,uops_retired_all_running,port0_active_cycles,port0_active_cycles_enabled,port0_active_cycles_running,port1_active_cycles,port1_active_cycles_enabled,port1_active_cycles_running,port5_active_cycles,port5_active_cycles_enabled,port5_active_cycles_running
add_latency,warm,expanded,0,0,1000000000,1,1000000000,718708754,327442636,4,4,0,0,3000000001,501793726,327496917,162495780,1788204686,327496484,195495764,485366310,327495292,228493090,697946315,327493515,228509329,232,327491209,228577918,1400048843,327488034,229576055,1406605994,327484000,230564824,134017835,327479068,131903623,133581589,327474211,130919514,132992226,327469756,129921915
add_latency,warm,basic,0,0,100000,1,100000,68838,31407,4,4,0,0,300001,101382,49342,49342,300674,48493,48493,70092,47330,47330,100272,45766,45766,23,43525,43525,,,,,,,,,,,,,,,
empty,warm,basic,0,0,1000000000,0,0,707326226,322256854,4,4,0,0,0,1003534965,322288900,322288900,2000000674,322288446,322288446,691475246,322287871,322287871,1000000272,322277529,322277529,31,322275493,322275493,,,,,,,,,,,,,,,
shift_throughput,warm,basic,0,0,1000000000,8,8000000000,3194995664,1455634357,4,4,0,0,0,4514714160,1455657643,1455657643,10000000702,1455657928,1455657928,3122581286,1455657442,1455657442,1000000272,1455656442,1455656442,25,1455654170,1455654170,,,,,,,,,,,,,,,
add_throughput_1,warm,basic,0,0,1000000000,1,1000000000,709805340,323386319,4,4,0,0,3000000001,1004162214,323408925,323408925,3000000676,323409021,323409021,692621556,323408971,323408971,1000000272,323407768,323407768,29,323405942,323405942,,,,,,,,,,,,,,,
empty,warm,basic,0,0,1000,0,0,750,394,4,4,0,0,0,2337,18537,18537,2674,17440,17440,2112,16333,16333,1272,14716,14716,25,12432,12432,,,,,,,,,,,,,,,
xor_throughput,warm,basic,0,0,1000000000,8,8000000000,1651566644,752451035,4,4,0,0,0,2341235268,752475546,752475546,10000000703,752474420,752474420,1613028626,752473789,752473789,1000000272,752472446,752472446,30,752470126,752470126,,,,,,,,,,,,,,,
page_state_probe,page_cold,basic,0,0,1,0,0,2239172,1020299,4,4,1027,0,0,741801,1054065,1054065,7866,1050698,1050698,512644,1048773,1048773,2329,1046749,1046749,53,1044048,1044048,,,,,,,,,,,,,,,
add_throughput_4,warm,basic,0,0,1000000000,4,4000000000,1072158036,488473554,4,4,0,0,12000000004,1511505936,488496602,488496602,6000000685,488496783,488496783,1050125186,488496437,488496437,1000000272,488495465,488495465,1179,488494080,488494080,,,,,,,,,,,,,,,
page_state_probe,warm,basic,0,0,1,0,0,30262,13903,4,4,3,0,130560,47583,49577,49577,6842,45916,45916,34936,43646,43646,1305,42301,42301,59,39500,39500,,,,,,,,,,,,,,,
