round,mode,state,perf_profile,iterations,warmups
0,add_latency,warm,expanded,1000000000,1
0,add_latency,warm,basic,100000,1
0,empty,warm,basic,1000000000,1
0,shift_throughput,warm,basic,1000000000,1
0,add_throughput_1,warm,basic,1000000000,1
0,empty,warm,basic,1000,1
0,xor_throughput,warm,basic,1000000000,1
0,page_state_probe,page_cold,basic,1,0
0,add_throughput_4,warm,basic,1000000000,1
0,page_state_probe,warm,basic,1,0
0,add_throughput_2,warm,basic,1000000000,1
0,add_throughput_8,warm,basic,1000000000,1
0,xor_break,warm,basic,1000000000,1
0,imul_throughput_8,warm,basic,1000000000,1
0,add_latency,warm,none,1000000000,1
0,empty,warm,basic,10000000,1
0,add_latency,warm,basic,10000000,1
0,timer_only,warm,none,1,0
0,shift_latency,warm,basic,1000000000,1
0,and_zero_control,warm,basic,1000000000,1
0,page_state_probe,cache_evicted,basic,1,0
0,add_latency,warm,basic,1000000000,1
0,add_latency,warm,basic,1000,1
0,imul_latency,warm,basic,1000000000,1
0,empty,warm,basic,100000,1
1,page_state_probe,page_cold,basic,1,0
1,add_latency,warm,basic,1000000000,1
1,add_throughput_8,warm,basic,1000000000,1
1,empty,warm,basic,100000,1
1,add_throughput_4,warm,basic,1000000000,1
1,add_latency,warm,basic,10000000,1
1,add_latency,warm,expanded,1000000000,1
1,add_throughput_1,warm,basic,1000000000,1
1,empty,warm,basic,1000000000,1
1,imul_latency,warm,basic,1000000000,1
1,add_throughput_2,warm,basic,1000000000,1
1,empty,warm,basic,1000,1
1,page_state_probe,warm,basic,1,0
1,timer_only,warm,none,1,0
1,and_zero_control,warm,basic,1000000000,1
1,empty,warm,basic,10000000,1
1,add_latency,warm,basic,100000,1
1,page_state_probe,cache_evicted,basic,1,0
1,xor_break,warm,basic,1000000000,1
1,add_latency,warm,basic,1000,1
1,imul_throughput_8,warm,basic,1000000000,1
1,add_latency,warm,none,1000000000,1
1,xor_throughput,warm,basic,1000000000,1
1,shift_throughput,warm,basic,1000000000,1
1,shift_latency,warm,basic,1000000000,1
2,add_throughput_1,warm,basic,1000000000,1
2,and_zero_control,warm,basic,1000000000,1
2,xor_break,warm,basic,1000000000,1
2,page_state_probe,page_cold,basic,1,0
2,page_state_probe,warm,basic,1,0
2,add_latency,warm,basic,1000000000,1
2,add_latency,warm,expanded,1000000000,1
2,shift_throughput,warm,basic,1000000000,1
2,imul_latency,warm,basic,1000000000,1
2,xor_throughput,warm,basic,1000000000,1
2,add_latency,warm,basic,100000,1
2,add_latency,warm,none,1000000000,1
2,add_latency,warm,basic,10000000,1
2,add_throughput_8,warm,basic,1000000000,1
2,timer_only,warm,none,1,0
2,page_state_probe,cache_evicted,basic,1,0
2,empty,warm,basic,10000000,1
2,imul_throughput_8,warm,basic,1000000000,1
2,shift_latency,warm,basic,1000000000,1
2,empty,warm,basic,100000,1
2,add_throughput_4,warm,basic,1000000000,1
2,empty,warm,basic,1000,1
2,add_latency,warm,basic,1000,1
2,empty,warm,basic,1000000000,1
2,add_throughput_2,warm,basic,1000000000,1
3,page_state_probe,cache_evicted,basic,1,0
3,add_latency,warm,basic,1000,1
3,add_latency,warm,basic,1000000000,1
3,xor_throughput,warm,basic,1000000000,1
3,empty,warm,basic,10000000,1
3,empty,warm,basic,100000,1
3,imul_throughput_8,warm,basic,1000000000,1
3,add_latency,warm,basic,10000000,1
3,add_latency,warm,expanded,1000000000,1
3,shift_latency,warm,basic,1000000000,1
3,imul_latency,warm,basic,1000000000,1
3,page_state_probe,warm,basic,1,0
3,add_throughput_4,warm,basic,1000000000,1
3,add_latency,warm,none,1000000000,1
3,add_throughput_2,warm,basic,1000000000,1
3,add_throughput_1,warm,basic,1000000000,1
3,timer_only,warm,none,1,0
3,add_latency,warm,basic,100000,1
3,shift_throughput,warm,basic,1000000000,1
3,page_state_probe,page_cold,basic,1,0
3,empty,warm,basic,1000,1
3,add_throughput_8,warm,basic,1000000000,1
3,empty,warm,basic,1000000000,1
3,xor_break,warm,basic,1000000000,1
3,and_zero_control,warm,basic,1000000000,1
4,shift_latency,warm,basic,1000000000,1
4,xor_break,warm,basic,1000000000,1
4,empty,warm,basic,1000000000,1
4,and_zero_control,warm,basic,1000000000,1
4,add_latency,warm,none,1000000000,1
4,empty,warm,basic,1000,1
4,imul_latency,warm,basic,1000000000,1
4,imul_throughput_8,warm,basic,1000000000,1
4,xor_throughput,warm,basic,1000000000,1
