mode,state,perf_profile,round,repetition,iterations,target_instructions_per_iteration,dynamic_target_instructions,tsc_ticks,wall_ns,cpu_before,cpu_after,minor_faults,major_faults,checksum,cycles,cycles_enabled,cycles_running,instructions,instructions_enabled,instructions_running,ref_cycles,ref_cycles_enabled,ref_cycles_running,branches,branches_enabled,branches_running,branch_misses,branch_misses_enabled,branch_misses_running,uops_issued_any,uops_issued_any_enabled,uops_issued_any_running,uops_retired_all,uops_retired_all_enabled,uops_retired_all_running,port0_active_cycles,port0_active_cycles_enabled,port0_active_cycles_running,port1_active_cycles,port1_active_cycles_enabled,port1_active_cycles_running,port5_active_cycles,port5_active_cycles_enabled,port5_active_cycles_running
empty,warm,basic,0,0,12000000,0,0,8677542,3953554,4,4,0,0,0,12064786,3972570,3972570,24000674,3971777,3971777,8375642,3970567,3970567,12000272,3969148,3969148,26,3967169,3967169,,,,,,,,,,,,,,,
add_latency,warm,basic,0,0,800,128,102400,70416,32142,4,4,0,0,307201,103710,49976,49976,104674,49239,49239,71720,48132,48132,1072,46494,46494,25,44245,44245,,,,,,,,,,,,,,,
imul_throughput_8,warm,basic,0,0,12000000,128,1536000000,1098699918,500565996,4,4,0,0,9257036380270100488,1541163400,500588263,500588263,1560000702,500588020,500588020,1073586074,500587652,500587652,12000272,500586538,500586538,40,500584663,500584663,,,,,,,,,,,,,,,
add_latency,warm,basic,0,0,12000000,128,1536000000,1087424676,495428924,4,4,0,0,4608000001,1541192858,495451849,495451849,1560000674,495451682,495451682,1061938812,495450752,495450752,12000272,495449679,495449679,26,495447679,495447679,,,,,,,,,,,,,,,
add_latency,warm,expanded,0,0,12000000,128,1536000000,1108489386,505026073,4,4,0,0,4608000001,764481105,505079438,250797560,931844343,505079381,301806367,749353660,505078253,352792227,8390919,505076591,353804063,15,505074464,354779596,1088729787,505071284,355068458,1089073659,505067756,355069840,147560666,505063314,201276021,148774114,505058552,200305247,155439283,505054109,200003104
shift_throughput,warm,basic,0,0,12000000,128,1536000000,548362998,249833362,4,4,0,0,0,776610595,249855252,249855252,1560000702,249854817,249854817,535713398,249854454,249854454,12000272,249853378,249853378,28,249851581,249851581,,,,,,,,,,,,,,,
empty,warm,basic,0,0,80000,0,0,55090,25162,4,4,0,0,0,81442,43189,43189,160674,42344,42344,56298,41166,41166,80272,39580,39580,23,37266,37266,,,,,,,,,,,,,,,
and_zero_control,warm,basic,0,0,12000000,384,4608000000,5448400804,2482281535,4,4,0,0,1,7705439901,2482303760,2482303760,4632000674,2482304274,2482304274,5323083964,2482304170,2482304170,12000272,2482302988,2482302988,77,2482301024,2482301024,,,,,,,,,,,,,,,
add_throughput_4,warm,basic,0,0,12000000,128,1536000000,281196610,128112732,4,4,0,0,4608000004,398210915,128132516,128132516,1560000683,128132061,128132061,274313138,128131042,128131042,12000272,128129609,128129609,50,128127623,128127623,,,,,,,,,,,,,,,
shift_latency,warm,basic,0,0,12000000,128,1536000000,1097699522,500110199,4,4,0,0,0,1540773523,500132952,500132952,1560000674,500132981,500132981,1074447352,500133326,500133326,12000272,500132380,500132380,51,500130697,500130697,,,,,,,,,,,,,,,
page_state_probe,page_cold,basic,0,0,1,0,0,2245810,1023315,4,4,1027,0,0,735408,1056019,1056019,7866,1052568,1052568,507980,1050895,1050895,2329,1048924,1048924,54,1046344,1046344,,,,,,,,,,,,,,,
timer_only,warm,none,0,0,1,0,0,64,124,4,4,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
empty,warm,basic,0,0,8,0,0,50,82,4,4,0,0,0,1296,17972,17972,690,17182,17182,1386,16065,16065,280,14467,14467,24,12144,12144,,,,,,,,,,,,,,,
add_latency,warm,basic,0,0,80000,128,10240000,7565874,3447085,4,4,0,0,30720001,10325775,3465352,3465352,10400674,3464615,3464615,7148548,3463492,3463492,80272,3461962,3461962,25,3459639,3459639,,,,,,,,,,,,,,,
empty,warm,basic,0,0,800,0,0,622,335,4,4,0,0,0,2147,18273,18273,2274,17422,17422,1848,16239,16239,1072,14584,14584,18,12320,12320,,,,,,,,,,,,,,,
xor_break,warm,basic,0,0,12000000,384,4608000000,1086535690,495023997,4,4,0,0,1,1540966328,495046111,495046111,4632000674,495056512,495056512,1062447298,495056316,495056316,12000272,495055133,495055133,37,495053607,495053607,,,,,,,,,,,,,,,
add_latency,warm,basic,0,0,8,128,1024,718,381,4,4,0,0,3073,2336,18167,18167,1714,17413,17413,1980,16296,16296,280,14704,14704,21,12472,12472,,,,,,,,,,,,,,,
add_latency,warm,none,0,0,12000000,128,1536000000,1097174566,499871098,4,4,0,0,4608000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add_throughput_8,warm,basic,0,0,12000000,128,1536000000,280409316,127754045,4,4,0,0,4608000008,397394996,127783458,127783458,1560000703,127773756,127773756,273839830,127773004,127773004,12000272,127771892,127771892,26,127769951,127769951,,,,,,,,,,,,,,,
page_state_probe,warm,basic,0,0,1,0,0,28836,13287,4,4,3,0,130560,46632,46311,46311,6842,42787,42787,33088,41078,41078,1305,39134,39134,57,36602,36602,,,,,,,,,,,,,,,
xor_throughput,warm,basic,0,0,12000000,128,1536000000,279314614,127255298,4,4,0,0,0,397252753,127274490,127274490,1560000702,127273429,127273429,273531940,127272371,127272371,12000272,127270921,127270921,84,127268598,127268598,,,,,,,,,,,,,,,
add_throughput_2,warm,basic,0,0,12000000,128,1536000000,553660438,252246738,4,4,0,0,4608000002,785917300,252267210,252267210,1560000681,252265824,252265824,541121790,252264846,252264846,12000272,252263286,252263286,24,252261118,252261118,,,,,,,,,,,,,,,
imul_latency,warm,basic,0,0,12000000,128,1536000000,3272622008,1491000794,4,4,0,0,5482421456486662145,4624724729,1491023168,1491023168,1560000674,1491023773,1491023773,3189900978,1491023179,1491023179,12000272,1491022141,1491022141,78,1491020226,1491020226,,,,,,,,,,,,,,,
page_state_probe,cache_evicted,basic,0,0,1,0,0,37044,17319,4,4,3,0,130560,60842,56761,56761,6842,53877,53877,44550,51561,51561,1305,49636,49636,62,47020,47020,,,,,,,,,,,,,,,
add_throughput_1,warm,basic,0,0,12000000,128,1536000000,1087427234,495430148,4,4,0,0,4608000001,1541106016,495452449,495452449,1560000676,495452601,495452601,1062486084,495452689,495452689,12000272,495451429,495451429,26,495449600,495449600,,,,,,,,,,,,,,,
page_state_probe,page_cold,basic,1,0,1,0,0,2223008,1012936,4,4,1027,0,0,735603,1045683,1045683,7866,1042493,1042493,508156,1040669,1040669,2329,1038689,1038689,58,1036087,1036087,,,,,,,,,,,,,,,
imul_latency,warm,basic,1,0,12000000,128,1536000000,3263076542,1486651894,4,4,0,0,5482421456486662145,4622983172,1486674228,1486674228,1560000674,1486674131,1486674131,3185933190,1486673661,1486673661,12000272,1486672413,1486672413,72,1486671063,1486671063,,,,,,,,,,,,,,,
add_throughput_4,warm,basic,1,0,12000000,128,1536000000,281035204,128039445,4,4,0,0,4608000004,398246807,128060983,128060983,1560000683,128062749,128062749,274950192,128062371,128062371,12000272,128061430,128061430,36,128059677,128059677,,,,,,,,,,,,,,,
add_latency,warm,basic,1,0,12000000,128,1536000000,1085570694,494584201,4,4,0,0,4608000001,1540938792,494606452,494606452,1560000674,494605909,494605909,1061332558,494605271,494605271,12000272,494613805,494613805,29,494611770,494611770,,,,,,,,,,,,,,,
timer_only,warm,none,1,0,1,0,0,86,135,4,4,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add_throughput_1,warm,basic,1,0,12000000,128,1536000000,1086894208,495187245,4,4,0,0,4608000001,1541090752,495209964,495209964,1560000676,495209396,495209396,1062003118,495209338,495209338,12000272,495208193,495208193,27,495206310,495206310,,,,,,,,,,,,,,,
xor_throughput,warm,basic,1,0,12000000,128,1536000000,281248502,128136680,4,4,0,0,0,397287481,128157789,128157789,1560000702,128158873,128158873,275596266,128158662,128158662,12000272,128157594,128157594,86,128156000,128156000,,,,,,,,,,,,,,,
xor_break,warm,basic,1,0,12000000,384,4608000000,1086882298,495181762,4,4,0,0,1,1541126588,495204565,495204565,4632000674,495204077,495204077,1061891776,495203562,495203562,12000272,495202213,495202213,35,495200122,495200122,,,,,,,,,,,,,,,
shift_latency,warm,basic,1,0,12000000,128,1536000000,1085391330,494502400,4,4,0,0,0,1540910621,494524838,494524838,1560000674,494523243,494523243,1061229906,494522345,494522345,12000272,494521048,494521048,77,494529105,494529105,,,,,,,,,,,,,,,
empty,warm,basic,1,0,8,0,0,26,65,4,4,0,0,0,1297,17993,17993,690,17091,17091,1430,15967,15967,280,14450,14450,20,12188,12188,,,,,,,,,,,,,,,
empty,warm,basic,1,0,12000000,0,0,8509641,3877077,4,4,0,0,0,12043838,3907058,3907058,24000674,3906435,3906435,8302800,3905327,3905327,12000272,3892612,3892612,22,3889929,3889929,,,,,,,,,,,,,,,
page_state_probe,warm,basic,1,0,1,0,0,26856,12375,4,4,3,0,130560,44503,42760,42760,6842,41300,41300,31790,39746,39746,1305,37854,37854,53,35294,35294,,,,,,,,,,,,,,,
page_state_probe,cache_evicted,basic,1,0,1,0,0,37356,17243,4,4,3,0,130560,61051,57466,57466,6842,54540,54540,43142,52684,52684,1305,50591,50591,57,47923,47923,,,,,,,,,,,,,,,
add_latency,warm,none,1,0,12000000,128,1536000000,1088368564,495859007,4,4,0,0,4608000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add_latency,warm,basic,1,0,8,128,1024,786,418,4,4,0,0,3073,2449,18620,18620,1714,17540,17540,2112,16433,16433,280,14823,14823,22,12533,12533,,,,,,,,,,,,,,,
shift_throughput,warm,basic,1,0,12000000,128,1536000000,546772554,249108663,4,4,0,0,0,776431418,249129397,249129397,1560000702,249128052,249128052,534802114,249127217,249127217,12000272,249125642,249125642,21,249123163,249123163,,,,,,,,,,,,,,,
empty,warm,basic,1,0,80000,0,0,55046,25120,4,4,0,0,0,81249,42968,42968,160674,42180,42180,56452,41135,41135,80272,39593,39593,20,37333,37333,,,,,,,,,,,,,,,
imul_throughput_8,warm,basic,1,0,12000000,128,1536000000,1099726980,501033946,4,4,0,0,9257036380270100488,1540942395,501056479,501056479,1560000702,501056585,501056585,1075743636,501056146,501056146,12000272,501055191,501055191,52,501053364,501053364,,,,,,,,,,,,,,,
add_throughput_8,warm,basic,1,0,12000000,128,1536000000,280536688,127812080,4,4,0,0,4608000008,397433410,127843969,127843969,1560000703,127831712,127831712,273746924,127830657,127830657,12000272,127829067,127829067,28,127826685,127826685,,,,,,,,,,,,,,,
add_throughput_2,warm,basic,1,0,12000000,128,1536000000,553413322,252134209,4,4,0,0,4608000002,785854250,252154064,252154064,1560000681,252152924,252152924,541107600,252151816,252151816,12000272,252150356,252150356,24,252148116,252148116,,,,,,,,,,,,,,,
add_latency,warm,expanded,1,0,12000000,128,1536000000,1096125170,499392938,4,4,0,0,4608000001,766264221,499446477,249449844,933009595,499446459,299444233,742119466,499445669,349446497,8392454,499444299,349439089,51,499442119,349440131,1085999534,499439254,349435382,1086441418,499435584,349896707,147867101,499430818,200020019,149471457,499425381,199986609,156248013,499420664,199548683
empty,warm,basic,1,0,800,0,0,632,331,4,4,0,0,0,2317,18385,18385,2274,17501,17501,2112,16418,16418,1072,14806,14806,19,12564,12564,,,,,,,,,,,,,,,
add_latency,warm,basic,1,0,800,128,102400,70414,32145,4,4,0,0,307201,103828,50267,50267,104674,49444,49444,71874,48302,48302,1072,46677,46677,20,44371,44371,,,,,,,,,,,,,,,
add_latency,warm,basic,1,0,80000,128,10240000,7252110,3304176,4,4,0,0,30720001,10276144,3322327,3322327,10400674,3321661,3321661,7083868,3320598,3320598,80272,3319015,3319015,26,3316687,3316687,,,,,,,,,,,,,,,
and_zero_control,warm,basic,1,0,12000000,384,4608000000,5448439796,2482299304,4,4,0,0,1,7705264749,2482322699,2482322699,4632000674,2482322854,2482322854,5323913210,2482322408,2482322408,12000272,2482321065,2482321065,70,2482319036,2482319036,,,,,,,,,,,,,,,
empty,warm,basic,2,0,80000,0,0,77186,35238,4,4,0,0,0,85284,53344,53344,160674,52600,52600,59598,51608,51608,80272,50026,50026,27,47828,47828,,,,,,,,,,,,,,,
add_latency,warm,expanded,2,0,12000000,128,1536000000,1092365864,497680079,4,4,0,0,4608000001,766081997,497757381,247741924,932336714,497746278,297745752,739628626,497744904,347728633,8374040,497743044,347798355,48,497740294,347753017,1081671782,497736643,348230215,1084908855,497731896,349203948,148746632,497726374,199946761,150669414,497720659,199513476,157133658,497715483,198516942
xor_break,warm,basic,2,0,12000000,384,4608000000,1097848272,500178052,4,4,0,0,1,1540977895,500200370,500200370,4632000674,500200524,500200524,1073954838,500200282,500200282,12000272,500199387,500199387,34,500197611,500197611,,,,,,,,,,,,,,,
add_latency,warm,none,2,0,12000000,128,1536000000,1086062930,494808542,4,4,0,0,4608000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add_latency,warm,basic,2,0,8,128,1024,720,388,4,4,0,0,3073,2476,18451,18451,1714,17523,17523,2222,16451,16451,280,14895,14895,22,12627,12627,,,,,,,,,,,,,,,
xor_throughput,warm,basic,2,0,12000000,128,1536000000,280397780,127748789,4,4,0,0,0,397432725,127768429,127768429,1560000702,127767009,127767009,273754316,127765976,127765976,12000272,127764455,127764455,81,127762155,127762155,,,,,,,,,,,,,,,
empty,warm,basic,2,0,800,0,0,614,336,4,4,0,0,0,2149,18398,18398,2274,17639,17639,1936,16505,16505,1072,14872,14872,21,12583,12583,,,,,,,,,,,,,,,
add_latency,warm,basic,2,0,80000,128,10240000,7273340,3313809,4,4,0,0,30720001,10275903,3332177,3332177,10400674,3331427,3331427,7083868,3330364,3330364,80272,3328758,3328758,27,3326516,3326516,,,,,,,,,,,,,,,
add_latency,warm,basic,2,0,800,128,102400,70416,32142,4,4,0,0,307201,103753,50045,50045,104674,49190,49190,71830,48091,48091,1072,46543,46543,23,44295,44295,,,,,,,,,,,,,,,
page_state_probe,warm,basic,2,0,1,0,0,24712,11392,4,4,3,0,130560,40680,40758,40758,6842,39659,39659,29216,38074,38074,1305,36077,36077,67,33535,33535,,,,,,,,,,,,,,,
empty,warm,basic,2,0,8,0,0,88,100,4,4,0,0,0,1609,18141,18141,690,17337,17337,1650,16201,16201,280,14637,14637,23,12426,12426,,,,,,,,,,,,,,,
add_latency,warm,basic,2,0,12000000,128,1536000000,1097449942,499996511,4,4,0,0,4608000001,1540765272,500019593,500019593,1560000674,500019321,500019321,1074185376,500018941,500018941,12000272,500017858,500017858,27,500016152,500016152,,,,,,,,,,,,,,,
add_throughput_4,warm,basic,2,0,12000000,128,1536000000,280139914,127631300,4,4,0,0,4608000004,397963775,127650601,127650601,1560000683,127649643,127649643,273981268,127648541,127648541,12000272,127647009,127647009,38,127644883,127644883,,,,,,,,,,,,,,,
imul_throughput_8,warm,basic,2,0,12000000,128,1536000000,1088035964,495707529,4,4,0,0,9257036380270100488,1541052026,495730864,495730864,1560000702,495730392,495730392,1063281868,495729644,495729644,12000272,495728435,495728435,47,495726617,495726617,,,,,,,,,,,,,,,
shift_latency,warm,basic,2,0,12000000,128,1536000000,1098448720,500451478,4,4,0,0,0,1541085897,500474462,500474462,1560000674,500474078,500474078,1073590716,500473576,500473576,12000272,500472279,500472279,58,500470242,500470242,,,,,,,,,,,,,,,
add_throughput_2,warm,basic,2,0,12000000,128,1536000000,554363754,252567237,4,4,0,0,4608000002,786010143,252588593,252588593,1560000681,252587581,252587581,541470116,252586679,252586679,12000272,252585539,252585539,30,252583522,252583522,,,,,,,,,,,,,,,
and_zero_control,warm,basic,2,0,12000000,384,4608000000,5454523132,2485070852,4,4,0,0,1,7706292555,2485093144,2485093144,4632000674,2485093485,2485093485,5324424754,2485093263,2485093263,12000272,2485092130,2485092130,62,2485090321,2485090321,,,,,,,,,,,,,,,
