round,sample_id,compiler,footprint_bytes,passes,target_operations,shuffle_key
1,r01-o01-gcc13_auto-32768,gcc13_auto,32768,195313,100000000,0166450792
1,r01-o02-clang18_auto-6291456,clang18_auto,6291456,102,10000000,0225700531
1,r01-o03-gcc13_scalar-1048576,gcc13_scalar,1048576,1221,20000000,0395249673
1,r01-o04-clang18_scalar-36864,clang18_scalar,36864,173612,100000000,0459017001
1,r01-o05-gcc13_auto-36864,gcc13_auto,36864,173612,100000000,0483861763
1,r01-o06-gcc13_auto-536870912,gcc13_auto,536870912,1,4000000,0486297619
1,r01-o07-gcc13_scalar-8388608,gcc13_scalar,8388608,62,8000000,0605790670
1,r01-o08-clang18_scalar-6291456,clang18_scalar,6291456,102,10000000,0613673119
1,r01-o09-clang18_scalar-8388608,clang18_scalar,8388608,62,8000000,0726653972
1,r01-o10-gcc13_auto-1048576,gcc13_auto,1048576,1221,20000000,0852245435
1,r01-o11-clang18_auto-262144,clang18_auto,262144,9766,40000000,0899601460
1,r01-o12-gcc13_scalar-36864,gcc13_scalar,36864,173612,100000000,0915574513
1,r01-o13-gcc13_auto-262144,gcc13_auto,262144,9766,40000000,0937028243
1,r01-o14-clang18_scalar-262144,clang18_scalar,262144,9766,40000000,0989744739
1,r01-o15-clang18_scalar-32768,clang18_scalar,32768,195313,100000000,1009857205
1,r01-o16-clang18_auto-32768,clang18_auto,32768,195313,100000000,1085839302
1,r01-o17-clang18_auto-536870912,clang18_auto,536870912,1,4000000,1194466667
1,r01-o18-clang18_auto-1048576,clang18_auto,1048576,1221,20000000,1308692538
1,r01-o19-clang18_auto-8388608,clang18_auto,8388608,62,8000000,1463475961
1,r01-o20-gcc13_auto-6291456,gcc13_auto,6291456,102,10000000,1464471015
1,r01-o21-gcc13_scalar-6291456,gcc13_scalar,6291456,102,10000000,1518541646
1,r01-o22-clang18_scalar-1048576,clang18_scalar,1048576,1221,20000000,1542650953
1,r01-o23-clang18_auto-36864,clang18_auto,36864,173612,100000000,1620869172
1,r01-o24-gcc13_scalar-32768,gcc13_scalar,32768,195313,100000000,1669685219
1,r01-o25-gcc13_scalar-262144,gcc13_scalar,262144,9766,40000000,1704090461
1,r01-o26-gcc13_scalar-536870912,gcc13_scalar,536870912,1,4000000,1973545366
1,r01-o27-gcc13_auto-8388608,gcc13_auto,8388608,62,8000000,1984094018
1,r01-o28-clang18_scalar-536870912,clang18_scalar,536870912,1,4000000,2076105039
2,r02-o01-clang18_auto-32768,clang18_auto,32768,195313,100000000,0135442109
2,r02-o02-clang18_scalar-36864,clang18_scalar,36864,173612,100000000,0250902719
2,r02-o03-gcc13_scalar-32768,gcc13_scalar,32768,195313,100000000,0282607837
2,r02-o04-clang18_scalar-536870912,clang18_scalar,536870912,1,4000000,0402693212
2,r02-o05-gcc13_auto-36864,gcc13_auto,36864,173612,100000000,0527055368
2,r02-o06-clang18_auto-6291456,clang18_auto,6291456,102,10000000,0744174682
2,r02-o07-gcc13_auto-32768,gcc13_auto,32768,195313,100000000,0946774083
2,r02-o08-gcc13_scalar-36864,gcc13_scalar,36864,173612,100000000,0985822071
2,r02-o09-clang18_auto-262144,clang18_auto,262144,9766,40000000,1064533580
2,r02-o10-gcc13_auto-1048576,gcc13_auto,1048576,1221,20000000,1079938161
2,r02-o11-gcc13_scalar-8388608,gcc13_scalar,8388608,62,8000000,1097111453
2,r02-o12-gcc13_scalar-1048576,gcc13_scalar,1048576,1221,20000000,1111734764
2,r02-o13-clang18_scalar-32768,clang18_scalar,32768,195313,100000000,1132268686
2,r02-o14-clang18_auto-8388608,clang18_auto,8388608,62,8000000,1256552348
2,r02-o15-gcc13_auto-536870912,gcc13_auto,536870912,1,4000000,1347418531
2,r02-o16-gcc13_scalar-262144,gcc13_scalar,262144,9766,40000000,1488915702
2,r02-o17-gcc13_scalar-6291456,gcc13_scalar,6291456,102,10000000,1501200624
2,r02-o18-gcc13_scalar-536870912,gcc13_scalar,536870912,1,4000000,1510264440
2,r02-o19-clang18_scalar-262144,clang18_scalar,262144,9766,40000000,1523115632
2,r02-o20-clang18_auto-536870912,clang18_auto,536870912,1,4000000,1529547455
2,r02-o21-clang18_scalar-6291456,clang18_scalar,6291456,102,10000000,1534275501
2,r02-o22-gcc13_auto-262144,gcc13_auto,262144,9766,40000000,1614637093
2,r02-o23-clang18_auto-1048576,clang18_auto,1048576,1221,20000000,1617795292
2,r02-o24-clang18_auto-36864,clang18_auto,36864,173612,100000000,1664863416
2,r02-o25-clang18_scalar-1048576,clang18_scalar,1048576,1221,20000000,1676922353
2,r02-o26-gcc13_auto-8388608,gcc13_auto,8388608,62,8000000,1720212743
