sample_id,round,compiler,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r01-o01-gcc13_auto-32768,1,gcc13_auto,32768,195313,100000256,364865354,223978264113942993,223978264113942993,800852962,900002587,800852976,364892325,364892325,1
r01-o02-clang18_auto-6291456,1,clang18_auto,6291456,102,10027008,519267909,21543721854647272,21543721854647272,1139756082,43869248,1139756068,519298528,519298528,1
r01-o03-gcc13_scalar-1048576,1,gcc13_scalar,1048576,1221,20004864,437790302,43098968983893989,43098968983893989,960917055,180044059,960917078,437817723,437817723,1
r01-o04-clang18_scalar-36864,1,clang18_scalar,36864,173612,100000512,620991378,220423592280896003,220423592280896003,1363030079,437503329,1363030086,621019322,621019322,1
r01-o05-gcc13_auto-36864,1,gcc13_auto,36864,173612,100000512,1002349416,220423592280896003,220423592280896003,2200077298,900004891,2200077308,1002376219,1002376219,1
r01-o06-gcc13_auto-536870912,1,gcc13_auto,536870912,1,8388608,842831677,18017347997925624,18017347997925624,1849950870,75497755,1849950872,842867354,842867354,1
r01-o07-gcc13_scalar-8388608,1,gcc13_scalar,8388608,62,8126464,453722274,17444193244271551,17444193244271551,995886328,73138459,995886364,453751474,453751474,1
r01-o08-clang18_scalar-6291456,1,clang18_scalar,6291456,102,10027008,553928478,21543721854647272,21543721854647272,1215832587,43869249,1215832596,553960869,553960869,1
r01-o09-clang18_scalar-8388608,1,clang18_scalar,8388608,62,8126464,422738826,17444193244271551,17444193244271551,927883337,35554369,927883352,422770285,422770285,1
r01-o10-gcc13_auto-1048576,1,gcc13_auto,1048576,1221,20004864,436228419,43098968983893989,43098968983893989,957489267,180044059,957489302,436256917,436256917,1
r01-o11-clang18_auto-262144,1,clang18_auto,262144,9766,40001536,567181842,85449381942251735,85449381942251735,1244923070,175007808,1244923108,567209364,567209364,1
r01-o12-gcc13_scalar-36864,1,gcc13_scalar,36864,173612,100000512,1002352483,220423592280896003,220423592280896003,2200084121,900004891,2200084106,1002380223,1002380223,1
r01-o13-gcc13_auto-262144,1,gcc13_auto,262144,9766,40001536,623525311,85449381942251735,85449381942251735,1368590344,360014107,1368590322,623553927,623553927,1
r01-o14-clang18_scalar-262144,1,clang18_scalar,262144,9766,40001536,498015072,85449381942251735,85449381942251735,1093107236,175007809,1093107268,498042515,498042515,1
r01-o15-clang18_scalar-32768,1,clang18_scalar,32768,195313,100000256,289028405,223978264113942993,223978264113942993,634398667,437502209,634398688,289056080,289056080,1
r01-o16-clang18_auto-32768,1,clang18_auto,32768,195313,100000256,286885313,223978264113942993,223978264113942993,629694868,437502208,629694868,286912426,286912426,1
r01-o17-clang18_auto-536870912,1,clang18_auto,536870912,1,8388608,824237675,18017347997925624,18017347997925624,1809140661,36701248,1809140652,824274720,824274720,1
r01-o18-clang18_auto-1048576,1,clang18_auto,1048576,1221,20004864,391484224,43098968983893989,43098968983893989,859280946,87522368,859280928,391512024,391512024,1
r01-o19-clang18_auto-8388608,1,clang18_auto,8388608,62,8126464,511183543,17444193244271551,17444193244271551,1122012933,35554368,1122012936,511219504,511219504,1
r01-o20-gcc13_auto-6291456,1,gcc13_auto,6291456,102,10027008,406945045,21543721854647272,21543721854647272,893214930,90243355,893214894,406975458,406975458,1
r01-o21-gcc13_scalar-6291456,1,gcc13_scalar,6291456,102,10027008,412435508,21543721854647272,21543721854647272,905265504,90243355,905265526,412465782,412465782,1
r01-o22-clang18_scalar-1048576,1,clang18_scalar,1048576,1221,20004864,392461522,43098968983893989,43098968983893989,861426263,87522369,861426280,392490190,392490190,1
r01-o23-clang18_auto-36864,1,clang18_auto,36864,173612,100000512,620955759,220423592280896003,220423592280896003,1362951755,437503328,1362951766,620984137,620984137,1
r01-o24-gcc13_scalar-32768,1,gcc13_scalar,32768,195313,100000256,368024646,223978264113942993,223978264113942993,807787244,900002587,807787288,368052120,368052120,1
r01-o25-gcc13_scalar-262144,1,gcc13_scalar,262144,9766,40001536,636038465,85449381942251735,85449381942251735,1396055279,360014107,1396055254,636065883,636065883,1
r01-o26-gcc13_scalar-536870912,1,gcc13_scalar,536870912,1,8388608,852949456,18017347997925624,18017347997925624,1872157967,75497755,1872158002,852983594,852983594,1
