compiler,footprint_bytes,repetitions,median_ns_per_operation,p10_ns_per_operation,p90_ns_per_operation,median_cycles_per_operation,p10_cycles_per_operation,p90_cycles_per_operation,median_instructions_per_operation,median_ref_cycles_per_operation
clang18_auto,32768,15,2.868090000,2.863280000,2.870710000,6.295270000,6.284710000,6.301020000,4.375010000,6.295270000
clang18_auto,36864,15,6.217420000,6.209530000,6.223810000,13.646800000,13.629400000,13.660800000,4.375010000,13.646800000
clang18_auto,262144,15,12.660500000,8.908490000,14.179000000,27.788900000,19.553500000,31.121900000,4.375030000,27.788900000
clang18_auto,1048576,15,19.721000000,19.630600000,19.778500000,43.286200000,43.087800000,43.412500000,4.375050000,43.286200000
clang18_auto,6291456,15,51.786900000,42.276400000,79.504300000,113.669000000,92.793700000,174.506000000,4.375110000,113.669000000
clang18_auto,8388608,15,62.343800000,47.604900000,77.086800000,136.840000000,104.490000000,169.200000000,4.375130000,136.840000000
clang18_auto,536870912,15,98.588900000,98.288100000,100.129000000,216.395000000,215.735000000,219.775000000,4.375130000,216.395000000
clang18_scalar,32768,15,2.874260000,2.864630000,2.890280000,6.308820000,6.287680000,6.343970000,4.375010000,6.308820000
clang18_scalar,36864,15,6.211170000,6.209780000,6.217890000,13.633100000,13.630000000,13.647800000,4.375010000,13.633100000
clang18_scalar,262144,15,9.564840000,8.159670000,13.008100000,20.994200000,17.909900000,28.551900000,4.375030000,20.994200000
clang18_scalar,1048576,15,19.674300000,19.540100000,20.716400000,43.183800000,42.889200000,45.471200000,4.375050000,43.183800000
clang18_scalar,6291456,15,45.312500000,40.824500000,64.483000000,99.457700000,89.607000000,141.536000000,4.375110000,99.457700000
clang18_scalar,8388608,15,54.808100000,51.617700000,66.965700000,120.300000000,113.297000000,146.985000000,4.375130000,120.300000000
clang18_scalar,536870912,15,98.624400000,98.131500000,123.772000000,216.473000000,215.391000000,271.670000000,4.375130000,216.473000000
gcc13_auto,32768,15,3.654520000,3.648640000,3.679110000,8.021400000,8.008510000,8.075370000,9.000000000,8.021400000
gcc13_auto,36864,15,10.023500000,10.023400000,10.023700000,22.000700000,22.000600000,22.001300000,9.000000000,22.000700000
gcc13_auto,262144,15,13.991800000,11.947200000,15.893600000,30.711000000,26.223200000,34.885200000,9.000010000,30.711000000
gcc13_auto,1048576,15,21.858000000,21.685200000,21.908500000,47.976700000,47.597400000,48.087400000,9.000010000,47.976700000
gcc13_auto,6291456,15,44.482600000,41.645300000,60.162400000,97.636000000,91.408300000,132.052000000,9.000030000,97.636000000
gcc13_auto,8388608,15,59.733200000,53.744700000,73.967700000,131.110000000,117.966000000,162.353000000,9.000030000,131.110000000
gcc13_auto,536870912,15,100.639000000,100.469000000,101.962000000,220.894000000,220.521000000,223.798000000,9.000030000,220.894000000
gcc13_scalar,32768,15,3.661030000,3.650080000,3.680240000,8.035690000,8.011650000,8.077850000,9.000000000,8.035690000
gcc13_scalar,36864,15,10.023500000,10.023400000,10.023600000,22.000700000,22.000600000,22.000900000,9.000000000,22.000700000
gcc13_scalar,262144,15,12.685200000,11.790500000,15.900400000,27.843000000,25.879300000,34.900000000,9.000010000,27.843000000
gcc13_scalar,1048576,15,21.830600000,21.718600000,21.923300000,47.916400000,47.670700000,48.120100000,9.000010000,47.916400000
gcc13_scalar,6291456,15,46.973100000,41.132500000,61.458300000,103.103000000,90.282700000,134.896000000,9.000030000,103.103000000
gcc13_scalar,8388608,15,59.307200000,55.517300000,79.299100000,130.175000000,121.856000000,174.055000000,9.000030000,130.175000000
gcc13_scalar,536870912,15,101.679000000,100.756000000,103.172000000,223.179000000,221.152000000,226.454000000,9.000030000,223.179000000
