sample_id,round,language,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r01-o01-cpp-32768,1,cpp,32768,195313,100000256,365359541,223978264113942993,223978264113942993,801937912,900002587,801937950,365388185,365388185,1
r01-o02-go-6291456,1,go,6291456,102,10027008,503668081,21543721854647272,21543721854647272,1102180818,240712912,1102180816,503075787,503075787,true
r01-o03-c-1048576,1,c,1048576,1221,20004864,436162460,43098968983893989,43098968983893989,957344208,180044059,957344190,436189616,436189616,1
r01-o04-rust-36864,1,rust,36864,173612,100000512,619172247,220423592280896003,220423592280896003,1359035528,900004894,1359035546,619199508,619199508,1
r01-o05-cpp-36864,1,cpp,36864,173612,100000512,1002349382,220423592280896003,220423592280896003,2200077334,900004891,2200077330,1002376463,1002376463,1
r01-o06-cpp-536870912,1,cpp,536870912,1,8388608,854280512,18017347997925624,18017347997925624,1875079669,75497755,1875079668,854313860,854313860,1
r01-o07-c-8388608,1,c,8388608,62,8126464,455083092,17444193244271551,17444193244271551,998873302,73138459,998873304,455111658,455111658,1
r01-o08-rust-6291456,1,rust,6291456,102,10027008,417439177,21543721854647272,21543721854647272,916248493,90243358,916248476,417470805,417470805,1
r01-o09-rust-8388608,1,rust,8388608,62,8126464,436157714,17444193244271551,17444193244271551,957334233,73138462,957334268,436189282,436189282,1
r01-o10-cpp-1048576,1,cpp,1048576,1221,20004864,436714124,43098968983893989,43098968983893989,958554833,180044059,958554850,436741158,436741158,1
r01-o11-go-262144,1,go,262144,9766,40001536,571124100,85449381942251735,85449381942251735,1249204520,960092004,1249204858,570322675,570322675,true
r01-o12-c-36864,1,c,36864,173612,100000512,1002352957,220423592280896003,220423592280896003,2200084942,900004891,2200084964,1002379289,1002379289,1
r01-o13-cpp-262144,1,cpp,262144,9766,40001536,505053759,85449381942251735,85449381942251735,1108554751,360014107,1108554744,505080582,505080582,1
r01-o14-rust-262144,1,rust,262144,9766,40001536,373393371,85449381942251735,85449381942251735,819571212,360014110,819571192,373421131,373421131,1
r01-o15-rust-32768,1,rust,32768,195313,100000256,273757436,223978264113942993,223978264113942993,600878697,900002590,600878674,273783086,273783086,1
r01-o16-go-32768,1,go,32768,195313,100000256,783532607,223978264113942993,223978264113942993,1715311012,2400079192,1715312236,782731674,782731674,true
r01-o17-go-536870912,1,go,536870912,1,8388608,882926821,18017347997925624,18017347997925624,1931404274,201403841,1931404200,881727270,881727270,true
r01-o18-go-1048576,1,go,1048576,1221,20004864,497095336,43098968983893989,43098968983893989,1087288189,480162582,1087288356,496409299,496409299,true
r01-o19-go-8388608,1,go,8388608,62,8126464,482004295,17444193244271551,17444193244271551,1054402408,195097092,1054402404,481415442,481415442,true
r01-o20-cpp-6291456,1,cpp,6291456,102,10027008,681899341,21543721854647272,21543721854647272,1496716136,90243355,1496716144,681928102,681928102,1
r01-o21-c-6291456,1,c,6291456,102,10027008,623076445,21543721854647272,21543721854647272,1367606606,90243355,1367606592,623108825,623108825,1
r01-o22-rust-1048576,1,rust,1048576,1221,20004864,389388841,43098968983893989,43098968983893989,854680184,180044062,854680178,389416584,389416584,1
r01-o23-go-36864,1,go,36864,173612,100000512,1148674895,220423592280896003,220423592280896003,2514961636,2400117997,2514962274,1147560703,1147560703,true
r01-o24-c-32768,1,c,32768,195313,100000256,364829271,223978264113942993,223978264113942993,800773292,900002587,800773292,364854166,364854166,1
r01-o25-c-262144,1,c,262144,9766,40001536,493952780,85449381942251735,85449381942251735,1084188608,360014107,1084188600,493978085,493978085,1
r01-o26-c-536870912,1,c,536870912,1,8388608,853650129,18017347997925624,18017347997925624,1873696141,75497755,1873696154,853684248,853684248,1
r01-o27-cpp-8388608,1,cpp,8388608,62,8126464,477598429,17444193244271551,17444193244271551,1048293201,73138459,1048293224,477630328,477630328,1
r01-o28-rust-536870912,1,rust,536870912,1,8388608,834575706,18017347997925624,18017347997925624,1831736889,75497760,1831736852,834597277,834597277,1
r02-o01-go-32768,2,go,32768,195313,100000256,783701684,223978264113942993,223978264113942993,1715668120,2400079726,1715669164,782907536,782907536,true
r02-o02-rust-36864,2,rust,36864,173612,100000512,617544931,220423592280896003,220423592280896003,1355463865,900004894,1355463868,617571965,617571965,1
r02-o03-c-32768,2,c,32768,195313,100000256,366707743,223978264113942993,223978264113942993,804896888,900002587,804896884,366734496,366734496,1
r02-o04-rust-536870912,2,rust,536870912,1,8388608,824637394,18017347997925624,18017347997925624,1810015476,75497758,1810015482,824673747,824673747,1
r02-o05-cpp-36864,2,cpp,36864,173612,100000512,1002352642,220423592280896003,220423592280896003,2200084372,900004891,2200084392,1002379847,1002379847,1
r02-o06-go-6291456,2,go,6291456,102,10027008,503424397,21543721854647272,21543721854647272,1101656129,240710835,1101656160,502836829,502836829,true
r02-o07-cpp-32768,2,cpp,32768,195313,100000256,365397175,223978264113942993,223978264113942993,802020122,900002587,802020142,365423654,365423654,1
r02-o08-c-36864,2,c,36864,173612,100000512,1002356212,220423592280896003,220423592280896003,2200092288,900004891,2200092312,1002384008,1002384008,1
r02-o09-go-262144,2,go,262144,9766,40001536,557737686,85449381942251735,85449381942251735,1220013298,960088802,1220013454,556996150,556996150,true
r02-o10-cpp-1048576,2,cpp,1048576,1221,20004864,440064919,43098968983893989,43098968983893989,965910238,180044059,965910242,440094065,440094065,1
r02-o11-c-8388608,2,c,8388608,62,8126464,439382599,17444193244271551,17444193244271551,964412239,73138459,964412196,439411352,439411352,1
r02-o12-c-1048576,2,c,1048576,1221,20004864,436914206,43098968983893989,43098968983893989,958994224,180044059,958994212,436941186,436941186,1
r02-o13-rust-32768,2,rust,32768,195313,100000256,275604781,223978264113942993,223978264113942993,604933459,900002590,604933450,275632329,275632329,1
r02-o14-go-8388608,2,go,8388608,62,8126464,457410016,17444193244271551,17444193244271551,1000191813,195094326,1000191808,456890288,456890288,true
r02-o15-cpp-536870912,2,cpp,536870912,1,8388608,856587795,18017347997925624,18017347997925624,1880143486,75497755,1880143518,856621341,856621341,1
r02-o16-c-262144,2,c,262144,9766,40001536,469770144,85449381942251735,85449381942251735,1031110187,360014107,1031110190,469797059,469797059,1
r02-o17-c-6291456,2,c,6291456,102,10027008,491964293,21543721854647272,21543721854647272,1079824612,90243355,1079824614,491994765,491994765,1
r02-o18-c-536870912,2,c,536870912,1,8388608,878471605,18017347997925624,18017347997925624,1927678357,75497763,1927678368,878338153,878338153,1
r02-o19-rust-262144,2,rust,262144,9766,40001536,361320984,85449381942251735,85449381942251735,793073167,360014110,793073160,361348791,361348791,1
r02-o20-go-536870912,2,go,536870912,1,8388608,883026914,18017347997925624,18017347997925624,1931728029,201402376,1931727974,881840380,881840380,true
r02-o21-rust-6291456,2,rust,6291456,102,10027008,581498791,21543721854647272,21543721854647272,1276346301,90243358,1276346324,581533616,581533616,1
r02-o22-cpp-262144,2,cpp,262144,9766,40001536,498452877,85449381942251735,85449381942251735,1094066260,360014107,1094066226,498478818,498478818,1
r02-o23-go-1048576,2,go,1048576,1221,20004864,515229731,43098968983893989,43098968983893989,1127308793,480164402,1127308974,514601672,514601672,true
r02-o24-go-36864,2,go,36864,173612,100000512,1144153579,220423592280896003,220423592280896003,2505165822,2400118996,2505166708,1143088425,1143088425,true
r02-o25-rust-1048576,2,rust,1048576,1221,20004864,395427551,43098968983893989,43098968983893989,867934476,180044062,867934474,395453683,395453683,1
r02-o26-cpp-8388608,2,cpp,8388608,62,8126464,457504597,17444193244271551,17444193244271551,1004188558,73138459,1004188548,457535023,457535023,1
r02-o27-rust-8388608,2,rust,8388608,62,8126464,539686255,17444193244271551,17444193244271551,1184570993,73138462,1184570992,539716989,539716989,1
r02-o28-cpp-6291456,2,cpp,6291456,102,10027008,604839355,21543721854647272,21543721854647272,1327576204,90243355,1327576228,604868743,604868743,1
r03-o01-rust-36864,3,rust,36864,173612,100000512,619227260,220423592280896003,220423592280896003,1359156147,900004894,1359156172,619252704,619252704,1
r03-o02-cpp-536870912,3,cpp,536870912,1,8388608,859902907,18017347997925624,18017347997925624,1887419885,75497755,1887419886,859935260,859935260,1
r03-o03-cpp-262144,3,cpp,262144,9766,40001536,635315909,85449381942251735,85449381942251735,1394469408,360014107,1394469428,635343359,635343359,1
r03-o04-cpp-6291456,3,cpp,6291456,102,10027008,446354212,21543721854647272,21543721854647272,979714226,90243355,979714208,446384135,446384135,1
r03-o05-rust-6291456,3,rust,6291456,102,10027008,614007563,21543721854647272,21543721854647272,1347585684,90243361,1347585690,614021409,614021409,1
r03-o06-cpp-36864,3,cpp,36864,173612,100000512,1002355412,220423592280896003,220423592280896003,2200090495,900004891,2200090508,1002382000,1002382000,1
