language,footprint_bytes,repetitions,median_ns_per_operation,p10_ns_per_operation,p90_ns_per_operation,median_cycles_per_operation,p10_cycles_per_operation,p90_cycles_per_operation,median_instructions_per_operation,median_ref_cycles_per_operation
c,32768,15,3.652950000,3.647070000,3.672460000,8.017950000,8.005040000,8.060790000,9.000000000,8.017950000
c,36864,15,10.023500000,10.023400000,10.023600000,22.000800000,22.000600000,22.001000000,9.000000000,22.000800000
c,262144,15,12.889800000,11.954400000,15.909100000,28.292100000,26.238900000,34.919200000,9.000010000,28.292100000
c,1048576,15,21.826200000,21.651100000,22.277600000,47.906800000,47.522500000,48.897700000,9.000010000,47.906800000
c,6291456,15,54.753600000,43.980700000,64.861000000,120.180000000,96.534400000,142.365000000,9.000030000,120.180000000
c,8388608,15,57.867200000,54.068100000,71.978000000,127.014000000,118.676000000,157.986000000,9.000030000,127.014000000
c,536870912,15,101.260000000,100.476000000,104.722000000,222.258000000,220.537000000,229.797000000,9.000030000,222.259000000
cpp,32768,15,3.653960000,3.651060000,3.744100000,8.020180000,8.013800000,8.218020000,9.000000000,8.020180000
cpp,36864,15,10.023500000,10.023400000,10.023600000,22.000800000,22.000600000,22.001100000,9.000000000,22.000800000
cpp,262144,15,12.961800000,12.077300000,15.882300000,28.450100000,26.506600000,34.860400000,9.000010000,28.450100000
cpp,1048576,15,21.830400000,21.640400000,23.348400000,47.916100000,47.499100000,51.248000000,9.000010000,47.916100000
cpp,6291456,15,49.432900000,44.129700000,63.942700000,108.501000000,96.861400000,140.349000000,9.000030000,108.501000000
cpp,8388608,15,58.770800000,50.510200000,72.407700000,128.997000000,110.866000000,158.929000000,9.000030000,128.997000000
cpp,536870912,15,101.952000000,100.658000000,102.905000000,223.776000000,220.936000000,225.868000000,9.000030000,223.776000000
go,32768,15,7.837240000,7.835310000,7.844760000,17.156500000,17.153100000,17.161000000,24.000700000,17.156500000
go,36864,15,11.426100000,11.157200000,11.486700000,25.022500000,24.434100000,25.149500000,24.001100000,25.022500000
go,262144,15,14.686400000,13.901500000,18.861100000,32.137800000,30.419500000,41.283200000,24.001400000,32.137800000
go,1048576,15,25.084800000,24.834900000,25.757900000,54.891500000,54.351500000,56.336400000,24.002400000,54.891500000
go,6291456,15,62.418300000,50.206800000,125.596000000,136.594000000,109.869000000,159.888000000,24.007300000,136.594000000
go,8388608,15,60.443500000,54.351200000,88.398100000,132.299000000,118.951000000,192.981000000,24.007400000,132.299000000
go,536870912,15,104.081000000,103.574000000,106.041000000,227.895000000,226.791000000,232.087000000,24.009300000,227.895000000
rust,32768,15,2.737950000,2.736200000,2.753550000,6.009610000,6.005770000,6.043860000,9.000000000,6.009610000
rust,36864,15,6.191690000,6.175420000,6.199090000,13.590300000,13.554600000,13.606500000,9.000000000,13.590300000
rust,262144,15,11.062600000,8.999310000,13.290900000,24.281600000,19.752800000,29.172600000,9.000010000,24.281600000
rust,1048576,15,19.578300000,19.448100000,19.766600000,42.972800000,42.687200000,43.386200000,9.000010000,42.972800000
rust,6291456,15,49.723600000,41.631500000,66.713500000,109.140000000,91.378100000,146.431000000,9.000030000,109.140000000
rust,8388608,15,56.535100000,49.229900000,74.346600000,124.091000000,108.056000000,163.185000000,9.000040000,124.091000000
rust,536870912,15,98.909300000,98.100300000,100.650000000,217.098000000,215.323000000,220.919000000,9.000030000,217.098000000
