sample_id,round,compiler,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r01-o01-gcc13_auto-32768,1,gcc13_auto,32768,36622,300007424,684478718,6888,6888,1502377776,1200029979,1502377778,684506861,684506861,1
r01-o02-clang18_auto-6291456,1,clang18_auto,6291456,13,20447232,585672463,161020,161020,1285510786,28116096,1285510798,585709626,585709626,1
r01-o03-gcc13_scalar-1048576,1,gcc13_scalar,1048576,153,40108032,653957249,220523,220523,1435385576,160432411,1435385578,653984399,653984399,1
r01-o04-clang18_scalar-36864,1,clang18_scalar,36864,21702,200005632,550585710,8675,8675,1208495828,275008896,1208495816,550613356,550613356,1
r01-o05-gcc13_auto-36864,1,gcc13_auto,36864,21702,200005632,539792055,8675,8675,1184802361,800022811,1184802366,539818612,539818612,1
r01-o06-gcc13_auto-536870912,1,gcc13_auto,536870912,1,134217728,13997997871,10873113,10873113,30724447117,536871195,30724447094,13998033290,13998033290,1
r01-o07-gcc13_scalar-8388608,1,gcc13_scalar,8388608,8,16777216,866906880,688651,688651,1902793403,67109147,1902793420,866939576,866939576,1
r01-o08-clang18_scalar-6291456,1,clang18_scalar,6291456,13,20447232,724490160,161020,161020,1590202961,28116096,1590202966,724523352,724523352,1
r01-o09-clang18_scalar-8388608,1,clang18_scalar,8388608,8,16777216,896188013,688651,688651,1967065584,23069824,1967065584,896221763,896221763,1
r01-o10-gcc13_auto-1048576,1,gcc13_auto,1048576,153,40108032,654169860,220523,220523,1435852613,160432411,1435852616,654197976,654197976,1
r01-o11-clang18_auto-262144,1,clang18_auto,262144,1221,80019456,558092116,63890,63890,1224972130,110027904,1224972122,558121250,558121250,1
r01-o12-gcc13_scalar-36864,1,gcc13_scalar,36864,21702,200005632,539398861,8675,8675,1183939279,800022811,1183939262,539425457,539425457,1
r01-o13-gcc13_auto-262144,1,gcc13_auto,262144,1221,80019456,523457099,63890,63890,1148948651,320078107,1148948636,523484316,523484316,1
r01-o14-clang18_scalar-262144,1,clang18_scalar,262144,1221,80019456,503725826,63890,63890,1105642172,110027904,1105642186,503754114,503754114,1
r01-o15-clang18_scalar-32768,1,clang18_scalar,32768,36622,300007424,701627804,6888,6888,1540020509,412511360,1540020482,701655762,701655762,1
r01-o16-clang18_auto-32768,1,clang18_auto,32768,36622,300007424,701680584,6888,6888,1540136805,412511360,1540136818,701708859,701708859,1
r01-o17-clang18_auto-536870912,1,clang18_auto,536870912,1,134217728,13108764157,10873113,10873113,28772656040,184550528,28772656044,13108798862,13108798862,1
r01-o18-clang18_auto-1048576,1,clang18_auto,1048576,153,40108032,656433297,220523,220523,1440822697,55149696,1440822724,656462804,656462804,1
r01-o19-clang18_auto-8388608,1,clang18_auto,8388608,8,16777216,716842455,688651,688651,1573417240,23069824,1573417230,716878845,716878845,1
r01-o20-gcc13_auto-6291456,1,gcc13_auto,6291456,13,20447232,585068647,161020,161020,1284182222,81789211,1284182218,585103708,585103708,1
r01-o21-gcc13_scalar-6291456,1,gcc13_scalar,6291456,13,20447232,683580649,161020,161020,1500406873,81789211,1500406864,683613212,683613212,1
r01-o22-clang18_scalar-1048576,1,clang18_scalar,1048576,153,40108032,655770686,220523,220523,1439368232,55149696,1439368238,655799249,655799249,1
r01-o23-clang18_auto-36864,1,clang18_auto,36864,21702,200005632,550660848,8675,8675,1208660334,275008896,1208660354,550688311,550688311,1
r01-o24-gcc13_scalar-32768,1,gcc13_scalar,32768,36622,300007424,684854286,6888,6888,1503202023,1200029979,1503202052,684881196,684881196,1
r01-o25-gcc13_scalar-262144,1,gcc13_scalar,262144,1221,80019456,483426563,63890,63890,1061084772,320078107,1061084750,483454696,483454696,1
r01-o26-gcc13_scalar-536870912,1,gcc13_scalar,536870912,1,134217728,13097279162,10873113,10873113,28747443967,536871195,28747443956,13097312208,13097312208,1
r01-o27-gcc13_auto-8388608,1,gcc13_auto,8388608,8,16777216,710760078,688651,688651,1560064948,67109147,1560064924,710797598,710797598,1
r01-o28-clang18_scalar-536870912,1,clang18_scalar,536870912,1,134217728,14214265608,10873113,10873113,31199139287,184550528,31199139312,14214301525,14214301525,1
r02-o01-clang18_auto-32768,2,clang18_auto,32768,36622,300007424,702648647,6888,6888,1542261387,412511360,1542261380,702676306,702676306,1
r02-o02-clang18_scalar-36864,2,clang18_scalar,36864,21702,200005632,550700443,8675,8675,1208747406,275008896,1208747386,550728416,550728416,1
r02-o03-gcc13_scalar-32768,2,gcc13_scalar,32768,36622,300007424,684463093,6888,6888,1502343265,1200029979,1502343238,684490145,684490145,1
r02-o04-clang18_scalar-536870912,2,clang18_scalar,536870912,1,134217728,13138792074,10873113,10873113,28838563997,184550528,28838564018,13138826345,13138826345,1
r02-o05-gcc13_auto-36864,2,gcc13_auto,36864,21702,200005632,539549859,8675,8675,1184270749,800022811,1184270736,539578090,539578090,1
r02-o06-clang18_auto-6291456,2,clang18_auto,6291456,13,20447232,782793823,161020,161020,1718175016,28116096,1718174986,782829940,782829940,1
r02-o07-gcc13_auto-32768,2,gcc13_auto,32768,36622,300007424,684377609,6888,6888,1502155713,1200029979,1502155688,684404864,684404864,1
r02-o08-gcc13_scalar-36864,2,gcc13_scalar,36864,21702,200005632,539891912,8675,8675,1185021481,800022811,1185021486,539918931,539918931,1
r02-o09-clang18_auto-262144,2,clang18_auto,262144,1221,80019456,517174035,63890,63890,1135160462,110027904,1135160466,517202283,517202283,1
r02-o10-gcc13_auto-1048576,2,gcc13_auto,1048576,153,40108032,654995776,220523,220523,1437665211,160432411,1437665196,655024379,655024379,1
r02-o11-gcc13_scalar-8388608,2,gcc13_scalar,8388608,8,16777216,708672612,688651,688651,1555427057,67109149,1555427082,708705778,708705778,1
r02-o12-gcc13_scalar-1048576,2,gcc13_scalar,1048576,153,40108032,653628878,220523,220523,1434665892,160432411,1434665892,653657648,653657648,1
r02-o13-clang18_scalar-32768,2,clang18_scalar,32768,36622,300007424,702244213,6888,6888,1541373260,412511360,1541373262,702272179,702272179,1
r02-o14-clang18_auto-8388608,2,clang18_auto,8388608,8,16777216,751871891,688651,688651,1650304370,23069824,1650304370,751907883,751907883,1
r02-o15-gcc13_auto-536870912,2,gcc13_auto,536870912,1,134217728,13142731050,10873113,10873113,28847207422,536871195,28847207444,13142766275,13142766275,1
r02-o16-gcc13_scalar-262144,2,gcc13_scalar,262144,1221,80019456,467342326,63890,63890,1025781096,320078107,1025781130,467370161,467370161,1
r02-o17-gcc13_scalar-6291456,2,gcc13_scalar,6291456,13,20447232,890148432,161020,161020,1953806674,81789211,1953806668,890181017,890181017,1
r02-o18-gcc13_scalar-536870912,2,gcc13_scalar,536870912,1,134217728,14106020480,10873113,10873113,30961547831,536871195,30961547804,14106053798,14106053798,1
