compiler,footprint_bytes,repetitions,median_ns_per_operation,p10_ns_per_operation,p90_ns_per_operation,median_cycles_per_operation,p10_cycles_per_operation,p90_cycles_per_operation,median_instructions_per_operation,median_ref_cycles_per_operation
clang18_auto,32768,15,2.340120000,2.338010000,2.342550000,5.136390000,5.131760000,5.141730000,1.375000000,5.136390000
clang18_auto,36864,15,2.752920000,2.752630000,2.753720000,6.042450000,6.041830000,6.044220000,1.375010000,6.042450000
clang18_auto,262144,15,6.117820000,5.759820000,7.304660000,13.428200000,12.642400000,16.033200000,1.375010000,13.428200000
clang18_auto,1048576,15,16.383200000,16.359600000,16.480900000,35.959900000,35.908000000,36.147000000,1.375030000,35.959900000
clang18_auto,6291456,15,31.127300000,28.643100000,39.651600000,68.322200000,62.869700000,87.032200000,1.375060000,68.322200000
clang18_auto,8388608,15,44.389600000,42.396000000,47.570400000,97.432000000,93.056200000,104.414000000,1.375070000,97.432000000
clang18_auto,536870912,15,97.945900000,97.667100000,100.830000000,214.983000000,214.371000000,221.315000000,1.375010000,214.983000000
clang18_scalar,32768,15,2.339320000,2.337990000,2.344680000,5.134640000,5.131700000,5.146400000,1.375000000,5.134640000
clang18_scalar,36864,15,2.752940000,2.752560000,2.755390000,6.042500000,6.041660000,6.047880000,1.375010000,6.042500000
clang18_scalar,262144,15,6.117920000,5.938130000,6.955400000,13.428400000,13.033800000,15.266600000,1.375010000,13.428400000
clang18_scalar,1048576,15,16.372800000,16.350100000,16.396400000,35.937000000,35.887300000,35.988800000,1.375030000,35.937000000
clang18_scalar,6291456,15,31.604800000,26.874000000,35.432200000,69.370300000,58.986600000,77.771100000,1.375060000,69.370300000
clang18_scalar,8388608,15,44.867200000,42.622900000,53.417000000,98.480300000,93.554100000,117.246000000,1.375070000,98.480300000
clang18_scalar,536870912,15,98.007800000,97.781900000,105.491000000,215.119000000,214.623000000,231.545000000,1.375010000,215.119000000
gcc13_auto,32768,15,2.281730000,2.281190000,2.293850000,5.008230000,5.007020000,5.034830000,4.000000000,5.008230000
gcc13_auto,36864,15,2.697850000,2.696780000,2.698880000,5.921580000,5.919220000,5.923840000,4.000000000,5.921580000
gcc13_auto,262144,15,6.200630000,5.854240000,6.560210000,13.609900000,12.849600000,14.399200000,4.000000000,13.609900000
gcc13_auto,1048576,15,16.300400000,16.296100000,16.358400000,35.778200000,35.768700000,35.905400000,4.000010000,35.778200000
gcc13_auto,6291456,15,31.652800000,27.518800000,46.494300000,69.475400000,60.401700000,102.051000000,4.000010000,69.475400000
gcc13_auto,8388608,15,46.239800000,41.409000000,51.521700000,101.493000000,90.889500000,113.086000000,4.000020000,101.493000000
gcc13_auto,536870912,15,97.865700000,97.602400000,104.293000000,214.807000000,214.229000000,228.915000000,4.000000000,214.807000000
gcc13_scalar,32768,15,2.282450000,2.281270000,2.285050000,5.009810000,5.007210000,5.015520000,4.000000000,5.009810000
gcc13_scalar,36864,15,2.698000000,2.697170000,2.699380000,5.921900000,5.920080000,5.924940000,4.000000000,5.921900000
gcc13_scalar,262144,15,6.036040000,5.840360000,6.549060000,13.248600000,12.819100000,14.374700000,4.000000000,13.248600000
gcc13_scalar,1048576,15,16.314400000,16.295400000,16.333500000,35.808800000,35.767100000,35.850800000,4.000010000,35.808800000
gcc13_scalar,6291456,15,31.312300000,26.948100000,43.533900000,68.728200000,59.149100000,95.553600000,4.000010000,68.728200000
gcc13_scalar,8388608,15,45.134300000,42.247800000,51.671700000,99.066400000,92.730800000,113.415000000,4.000020000,99.066400000
gcc13_scalar,536870912,15,98.058700000,97.646100000,105.098000000,215.231000000,214.325000000,230.682000000,4.000000000,215.231000000
