sample_id,round,language,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r01-o01-cpp-32768,1,cpp,32768,36622,300007424,684566311,6888,6888,1502570756,1200029979,1502570784,684595038,684595038,1
r01-o02-go-6291456,1,go,6291456,13,20447232,677191080,161020,161020,1478839466,122742599,1478839516,676254445,676254445,true
r01-o03-c-1048576,1,c,1048576,153,40108032,654344154,220523,220523,1436234765,160432409,1436234756,654369826,654369826,1
r01-o04-rust-36864,1,rust,36864,21702,200005632,570958939,8675,8675,1253210794,1200034075,1253210816,570983512,570983512,1
r01-o05-cpp-36864,1,cpp,36864,21702,200005632,539590898,8675,8675,1184360570,800022811,1184360562,539614349,539614349,1
r01-o06-cpp-536870912,1,cpp,536870912,1,134217728,13146691193,10873113,10873113,28855899432,536871195,28855899468,13146723720,13146723720,1
r01-o07-c-8388608,1,c,8388608,8,16777216,814375658,688651,688651,1787492174,67109145,1787492168,814409856,814409856,1
r01-o08-rust-6291456,1,rust,6291456,13,20447232,744243926,161020,161020,1633558824,122683675,1633558806,744280036,744280036,1
r01-o09-rust-8388608,1,rust,8388608,8,16777216,734463093,688651,688651,1612090473,100663579,1612090458,734498303,734498303,1
r01-o10-cpp-1048576,1,cpp,1048576,153,40108032,655066601,220523,220523,1437820796,160432411,1437820846,655095930,655095930,1
r01-o11-go-262144,1,go,262144,1221,80019456,500455368,63890,63890,1094570581,480161744,1094570730,499764103,499764103,true
r01-o12-c-36864,1,c,36864,21702,200005632,540234452,8675,8675,1185773443,800022809,1185773446,540260863,540260863,1
r01-o13-cpp-262144,1,cpp,262144,1221,80019456,524555079,63890,63890,1151358438,320078107,1151358450,524582472,524582472,1
r01-o14-rust-262144,1,rust,262144,1221,80019456,568423620,63890,63890,1247646218,480117019,1247646202,568450829,568450829,1
r01-o15-rust-32768,1,rust,32768,36622,300007424,731516944,6888,6888,1605622587,1800044827,1605622612,731543902,731543902,1
r01-o16-go-32768,1,go,32768,36622,300007424,685862959,6888,6888,1501262411,1800104342,1501263676,685131001,685131001,true
r01-o17-go-536870912,1,go,536870912,1,134217728,13164489006,10873113,10873113,28795400098,806389664,28795398610,13151790195,13151790195,true
r01-o18-go-1048576,1,go,1048576,153,40108032,666819095,220523,220523,1460083467,240707704,1460083438,666208340,666208340,true
r01-o19-go-8388608,1,go,8388608,8,16777216,725713681,688651,688651,1586400972,100725587,1586400794,724622600,724622600,true
r01-o20-cpp-6291456,1,cpp,6291456,13,20447232,556944868,161020,161020,1222452266,81789211,1222452286,556976726,556976726,1
r01-o21-c-6291456,1,c,6291456,13,20447232,732585890,161020,161020,1607970026,81789209,1607970034,732616874,732616874,1
r01-o22-rust-1048576,1,rust,1048576,153,40108032,661092138,220523,220523,1451046080,240648475,1451046080,661119840,661119840,1
r01-o23-go-36864,1,go,36864,21702,200005632,541132134,8675,8675,1184126125,1200082022,1184127010,540479264,540479264,true
r01-o24-c-32768,1,c,32768,36622,300007424,684092614,6888,6888,1501529962,1200029977,1501529964,684118796,684118796,1
r01-o25-c-262144,1,c,262144,1221,80019456,509521207,63890,63890,1118360111,320078105,1118360100,509547771,509547771,1
r01-o26-c-536870912,1,c,536870912,1,134217728,13294081745,10873113,10873113,29179409910,536871193,29179409908,13294115490,13294115490,1
r01-o27-cpp-8388608,1,cpp,8388608,8,16777216,1160978688,688651,688651,2548256231,67109147,2548256238,1161012216,1161012216,1
r01-o28-rust-536870912,1,rust,536870912,1,134217728,13176499348,10873113,10873113,28921325792,805306651,28921325774,13176532525,13176532525,1
r02-o01-go-32768,2,go,32768,36622,300007424,686081924,6888,6888,1501554229,1800104063,1501555242,685294649,685294649,true
r02-o02-rust-36864,2,rust,36864,21702,200005632,571307773,8675,8675,1253977851,1200034075,1253977846,571335111,571335111,1
r02-o03-c-32768,2,c,32768,36622,300007424,683507841,6888,6888,1500246592,1200029977,1500246572,683533947,683533947,1
r02-o04-rust-536870912,2,rust,536870912,1,134217728,13136517331,10873113,10873113,28833568657,805306651,28833568654,13136552901,13136552901,1
r02-o05-cpp-36864,2,cpp,36864,21702,200005632,539436632,8675,8675,1184022132,800022811,1184022114,539463309,539463309,1
r02-o06-go-6291456,2,go,6291456,13,20447232,640231700,161020,161020,1400474326,122738785,1400474526,639380917,639380917,true
r02-o07-cpp-32768,2,cpp,32768,36622,300007424,684394396,6888,6888,1502192458,1200029979,1502192494,684420954,684420954,1
r02-o08-c-36864,2,c,36864,21702,200005632,540649218,8675,8675,1186683620,800022809,1186683652,540674932,540674932,1
r02-o09-go-262144,2,go,262144,1221,80019456,529617915,63890,63890,1158247893,480163353,1158248190,528840783,528840783,true
r02-o10-cpp-1048576,2,cpp,1048576,153,40108032,653584162,220523,220523,1434566707,160432411,1434566716,653610759,653610759,1
r02-o11-c-8388608,2,c,8388608,8,16777216,712818023,688651,688651,1564581854,67109145,1564581876,712851276,712851276,1
r02-o12-c-1048576,2,c,1048576,153,40108032,654092689,220523,220523,1435683154,160432409,1435683194,654121170,654121170,1
r02-o13-rust-32768,2,rust,32768,36622,300007424,731437619,6888,6888,1605448306,1800044827,1605448306,731463865,731463865,1
r02-o14-go-8388608,2,go,8388608,8,16777216,772103614,688651,688651,1689582853,100728933,1689582774,771102337,771102337,true
r02-o15-cpp-536870912,2,cpp,536870912,1,134217728,13385080911,10873113,10873113,29379144930,536871195,29379144916,13385113216,13385113216,1
r02-o16-c-262144,2,c,262144,1221,80019456,554232480,63890,63890,1216498404,320078105,1216498382,554261886,554261886,1
r02-o17-c-6291456,2,c,6291456,13,20447232,1274156571,161020,161020,2796672883,81789209,2796672912,1274189669,1274189669,1
r02-o18-c-536870912,2,c,536870912,1,134217728,13107653729,10873113,10873113,28770215686,536871193,28770215672,13107687075,13107687075,1
r02-o19-rust-262144,2,rust,262144,1221,80019456,444618247,63890,63890,975903931,480117019,975903918,444645688,444645688,1
r02-o20-go-536870912,2,go,536870912,1,134217728,13167269154,10873113,10873113,28797573029,806388475,28797569262,13154736267,13154736267,true
r02-o21-rust-6291456,2,rust,6291456,13,20447232,715273065,161020,161020,1569970595,122683675,1569970600,715307547,715307547,1
r02-o22-cpp-262144,2,cpp,262144,1221,80019456,537194729,63890,63890,1179101407,320078107,1179101418,537221281,537221281,1
r02-o23-go-1048576,2,go,1048576,153,40108032,655404681,220523,220523,1435393015,240706049,1435392926,654882944,654882944,true
r02-o24-go-36864,2,go,36864,21702,200005632,541295961,8675,8675,1184408174,1200082201,1184408962,540627872,540627872,true
r02-o25-rust-1048576,2,rust,1048576,153,40108032,660372575,220523,220523,1449466192,240648475,1449466194,660399744,660399744,1
r02-o26-cpp-8388608,2,cpp,8388608,8,16777216,715454317,688651,688651,1570367447,67109147,1570367480,715487368,715487368,1
r02-o27-rust-8388608,2,rust,8388608,8,16777216,780501893,688651,688651,1713142647,100663579,1713142662,780537410,780537410,1
r02-o28-cpp-6291456,2,cpp,6291456,13,20447232,653814401,161020,161020,1435073044,81789211,1435073068,653847379,653847379,1
r03-o01-rust-36864,3,rust,36864,21702,200005632,570920026,8675,8675,1253125677,1200034075,1253125698,570946431,570946431,1
r03-o02-cpp-536870912,3,cpp,536870912,1,134217728,13215389191,10873113,10873113,29006685693,536871195,29006685686,13215422096,13215422096,1
r03-o03-cpp-262144,3,cpp,262144,1221,80019456,454481553,63890,63890,997553249,320078107,997553260,454510560,454510560,1
r03-o04-cpp-6291456,3,cpp,6291456,13,20447232,1265332891,161020,161020,2777304693,81789211,2777304728,1265364549,1265364549,1
r03-o05-rust-6291456,3,rust,6291456,13,20447232,1205998862,161020,161020,2647072121,122683675,2647072120,1206032566,1206032566,1
r03-o06-cpp-36864,3,cpp,36864,21702,200005632,539956490,8675,8675,1185163250,800022811,1185163232,539984157,539984157,1
r03-o07-rust-8388608,3,rust,8388608,8,16777216,1048729905,688651,688651,2301853198,100663582,2301853158,1048764641,1048764641,1
r03-o08-rust-536870912,3,rust,536870912,1,134217728,13155787031,10873113,10873113,28875864373,805306651,28875864380,13155821409,13155821409,1
r03-o09-c-32768,3,c,32768,36622,300007424,683760887,6888,6888,1500801843,1200029977,1500801852,683787888,683787888,1
r03-o10-c-536870912,3,c,536870912,1,134217728,13104036484,10873113,10873113,28762276170,536871193,28762276158,13104069666,13104069666,1
r03-o11-go-8388608,3,go,8388608,8,16777216,792812954,688651,688651,1733095604,100730349,1733095562,791727106,791727106,true
r03-o12-c-36864,3,c,36864,21702,200005632,540102318,8675,8675,1185483313,800022809,1185483310,540128799,540128799,1
r03-o13-go-262144,3,go,262144,1221,80019456,415615717,63890,63890,909489191,480155016,909489284,415208985,415208985,true
r03-o14-rust-32768,3,rust,32768,36622,300007424,686125330,6888,6888,1505991646,1800044827,1505991674,686151695,686151695,1
r03-o15-go-6291456,3,go,6291456,13,20447232,683333128,161020,161020,1495194475,122740744,1495194316,682449710,682449710,true
r03-o16-c-262144,3,c,262144,1221,80019456,467810664,63890,63890,1026809236,320078105,1026809212,467837377,467837377,1
r03-o17-cpp-1048576,3,cpp,1048576,153,40108032,653582939,220523,220523,1434563799,160432411,1434563790,653610231,653610231,1
r03-o18-go-32768,3,go,32768,36622,300007424,686253745,6888,6888,1501828549,1800104128,1501829582,685445799,685445799,true
r03-o19-cpp-8388608,3,cpp,8388608,8,16777216,714114676,688651,688651,1567426857,67109147,1567426850,714146975,714146975,1
r03-o20-c-6291456,3,c,6291456,13,20447232,612021072,161020,161020,1343340538,81789209,1343340548,612053362,612053362,1
r03-o21-c-8388608,3,c,8388608,8,16777216,788725796,688651,688651,1731193123,67109145,1731193156,788758631,788758631,1
r03-o22-go-36864,3,go,36864,21702,200005632,541249691,8675,8675,1184429667,1200081759,1184430632,540611344,540611344,true
r03-o23-cpp-32768,3,cpp,32768,36622,300007424,684388772,6888,6888,1502180239,1200029979,1502180262,684415206,684415206,1
r03-o24-rust-1048576,3,rust,1048576,153,40108032,654215280,220523,220523,1435951625,240648475,1435951638,654242510,654242510,1
r03-o25-c-1048576,3,c,1048576,153,40108032,653799986,220523,220523,1435040294,160432409,1435040266,653827635,653827635,1
r03-o26-go-536870912,3,go,536870912,1,134217728,14160367254,10873113,10873113,30970674403,806469461,30970673624,14144645700,14144645700,true
r03-o27-go-1048576,3,go,1048576,153,40108032,655516216,220523,220523,1435415673,240705716,1435415564,654926532,654926532,true
r03-o28-rust-262144,3,rust,262144,1221,80019456,569711661,63890,63890,1250473686,480117019,1250473708,569739353,569739353,1
r04-o01-go-536870912,4,go,536870912,1,134217728,13203253996,10873113,10873113,28899141298,806390400,28899140336,13189405220,13189405220,true
r04-o02-go-1048576,4,go,1048576,153,40108032,654937507,220523,220523,1434438596,240705669,1434438544,654433176,654433176,true
r04-o03-cpp-32768,4,cpp,32768,36622,300007424,684856227,6888,6888,1503206079,1200029979,1503206100,684882756,684882756,1
r04-o04-go-32768,4,go,32768,36622,300007424,686021215,6888,6888,1501621630,1800105911,1501622496,685278668,685278668,true
r04-o05-c-1048576,4,c,1048576,153,40108032,653712822,220523,220523,1434849100,160432409,1434849108,653739981,653739981,1
r04-o06-rust-262144,4,rust,262144,1221,80019456,608541551,63890,63890,1335701808,480117019,1335701796,608569295,608569295,1
r04-o07-c-536870912,4,c,536870912,1,134217728,13110671241,10873113,10873113,28776838952,536871193,28776838970,13110704565,13110704565,1
r04-o08-cpp-36864,4,cpp,36864,21702,200005632,540302570,8675,8675,1185852906,800022819,1185852954,540330235,540330235,1
r04-o09-cpp-6291456,4,cpp,6291456,13,20447232,628963976,161020,161020,1380528483,81789211,1380528490,628995669,628995669,1
r04-o10-cpp-262144,4,cpp,262144,1221,80019456,550351606,63890,63890,1207979689,320078107,1207979674,550378618,550378618,1
r04-o11-go-8388608,4,go,8388608,8,16777216,767837428,688651,688651,1678290973,100729080,1678290812,766744700,766744700,true
r04-o12-cpp-536870912,4,cpp,536870912,1,134217728,14020974051,10873113,10873113,30774878510,536871195,30774878508,14021006776,14021006776,1
