sample_id,event,value,unit,time_running_pct
r1-c-avx2-double-1048576,cycles,205037971,,100.00
r1-c-avx2-double-1048576,instructions,170677105,,100.00
r1-c-avx2-double-1048576,ref-cycles,205037976,,100.00
r1-c-avx2-double-262144,cycles,203212673,,100.00
r1-c-avx2-double-262144,instructions,169245950,,100.00
r1-c-avx2-double-262144,ref-cycles,203212680,,100.00
r1-c-avx2-double-32768,cycles,196073944,,100.00
r1-c-avx2-double-32768,instructions,169945947,,100.00
r1-c-avx2-double-32768,ref-cycles,196073944,,100.00
r1-c-avx2-double-67108864,cycles,459285635,,100.00
r1-c-avx2-double-67108864,instructions,303219820,,100.00
r1-c-avx2-double-67108864,ref-cycles,459285618,,100.00
r1-c-avx2-double-8388608,cycles,277284138,,100.00
r1-c-avx2-double-8388608,instructions,185404022,,100.00
r1-c-avx2-double-8388608,ref-cycles,277284128,,100.00
r1-c-avx2-float-1048576,cycles,205048959,,100.00
r1-c-avx2-float-1048576,instructions,171223447,,100.00
r1-c-avx2-float-1048576,ref-cycles,205048932,,100.00
r1-c-avx2-float-262144,cycles,202902500,,100.00
r1-c-avx2-float-262144,instructions,169445970,,100.00
r1-c-avx2-float-262144,ref-cycles,202902502,,100.00
r1-c-avx2-float-32768,cycles,197018479,,100.00
r1-c-avx2-float-32768,instructions,170487393,,100.00
r1-c-avx2-float-32768,ref-cycles,197018448,,100.00
r1-c-avx2-float-67108864,cycles,461776982,,100.00
r1-c-avx2-float-67108864,instructions,336763986,,100.00
r1-c-avx2-float-67108864,ref-cycles,461776964,,100.00
r1-c-avx2-float-8388608,cycles,277573877,,100.00
r1-c-avx2-float-8388608,instructions,189591494,,100.00
r1-c-avx2-float-8388608,ref-cycles,277573868,,100.00
r1-c-avx2-int-1048576,cycles,171416493,,100.00
r1-c-avx2-int-1048576,instructions,270828456,,100.00
r1-c-avx2-int-1048576,ref-cycles,171416498,,100.00
r1-c-avx2-int-262144,cycles,133908539,,100.00
r1-c-avx2-int-262144,instructions,269830324,,100.00
r1-c-avx2-int-262144,ref-cycles,133908522,,100.00
r1-c-avx2-int-32768,cycles,80777497,,100.00
r1-c-avx2-int-32768,instructions,271043463,,100.00
r1-c-avx2-int-32768,ref-cycles,80777510,,100.00
r1-c-avx2-int-67108864,cycles,459973194,,100.00
