round,language,implementation,value_type,footprint_bytes,passes
1,go,scalar,float,32768,65536
1,go,scalar,float,262144,8192
1,go,scalar,float,1048576,2048
1,go,scalar,float,8388608,256
1,go,scalar,float,67108864,32
1,c,scalar,double,32768,65536
1,c,scalar,double,262144,8192
1,c,scalar,double,1048576,2048
1,c,scalar,double,8388608,256
1,c,scalar,double,67108864,32
1,cpp,scalar,short,32768,65536
1,cpp,scalar,short,262144,8192
1,cpp,scalar,short,1048576,2048
1,cpp,scalar,short,8388608,256
1,cpp,scalar,short,67108864,32
1,rust,scalar,double,32768,65536
1,rust,scalar,double,262144,8192
1,rust,scalar,double,1048576,2048
1,rust,scalar,double,8388608,256
1,rust,scalar,double,67108864,32
1,cpp,avx2,short,32768,65536
1,cpp,avx2,short,262144,8192
1,cpp,avx2,short,1048576,2048
1,cpp,avx2,short,8388608,256
1,cpp,avx2,short,67108864,32
1,rust,scalar,int,32768,65536
1,rust,scalar,int,262144,8192
1,rust,scalar,int,1048576,2048
1,rust,scalar,int,8388608,256
1,rust,scalar,int,67108864,32
1,cpp,avx2,float,32768,65536
1,cpp,avx2,float,262144,8192
1,cpp,avx2,float,1048576,2048
1,cpp,avx2,float,8388608,256
1,cpp,avx2,float,67108864,32
1,go,scalar,double,32768,65536
1,go,scalar,double,262144,8192
1,go,scalar,double,1048576,2048
1,go,scalar,double,8388608,256
1,go,scalar,double,67108864,32
1,cpp,scalar,double,32768,65536
1,cpp,scalar,double,262144,8192
1,cpp,scalar,double,1048576,2048
1,cpp,scalar,double,8388608,256
1,cpp,scalar,double,67108864,32
1,c,scalar,int,32768,65536
1,c,scalar,int,262144,8192
1,c,scalar,int,1048576,2048
1,c,scalar,int,8388608,256
1,c,scalar,int,67108864,32
1,cpp,avx2,string16,32768,65536
1,cpp,avx2,string16,262144,8192
1,cpp,avx2,string16,1048576,2048
1,cpp,avx2,string16,8388608,256
1,cpp,avx2,string16,67108864,32
1,c,avx2,int,32768,65536
1,c,avx2,int,262144,8192
1,c,avx2,int,1048576,2048
1,c,avx2,int,8388608,256
1,c,avx2,int,67108864,32
1,go,scalar,short,32768,65536
1,go,scalar,short,262144,8192
1,go,scalar,short,1048576,2048
1,go,scalar,short,8388608,256
1,go,scalar,short,67108864,32
1,cpp,scalar,float,32768,65536
1,cpp,scalar,float,262144,8192
1,cpp,scalar,float,1048576,2048
1,cpp,scalar,float,8388608,256
1,cpp,scalar,float,67108864,32
1,go,scalar,string16,32768,65536
1,go,scalar,string16,262144,8192
1,go,scalar,string16,1048576,2048
1,go,scalar,string16,8388608,256
1,go,scalar,string16,67108864,32
1,c,avx2,float,32768,65536
1,c,avx2,float,262144,8192
1,c,avx2,float,1048576,2048
1,c,avx2,float,8388608,256
1,c,avx2,float,67108864,32
1,c,avx2,string16,32768,65536
1,c,avx2,string16,262144,8192
1,c,avx2,string16,1048576,2048
1,c,avx2,string16,8388608,256
1,c,avx2,string16,67108864,32
1,cpp,avx2,int,32768,65536
1,cpp,avx2,int,262144,8192
1,cpp,avx2,int,1048576,2048
1,cpp,avx2,int,8388608,256
1,cpp,avx2,int,67108864,32
1,go,scalar,int,32768,65536
1,go,scalar,int,262144,8192
1,go,scalar,int,1048576,2048
1,go,scalar,int,8388608,256
1,go,scalar,int,67108864,32
1,cpp,scalar,int,32768,65536
1,cpp,scalar,int,262144,8192
1,cpp,scalar,int,1048576,2048
1,cpp,scalar,int,8388608,256
1,cpp,scalar,int,67108864,32
1,c,scalar,short,32768,65536
1,c,scalar,short,262144,8192
1,c,scalar,short,1048576,2048
1,c,scalar,short,8388608,256
1,c,scalar,short,67108864,32
1,cpp,avx2,double,32768,65536
1,cpp,avx2,double,262144,8192
1,cpp,avx2,double,1048576,2048
1,cpp,avx2,double,8388608,256
1,cpp,avx2,double,67108864,32
1,cpp,scalar,string16,32768,65536
1,cpp,scalar,string16,262144,8192
1,cpp,scalar,string16,1048576,2048
1,cpp,scalar,string16,8388608,256
1,cpp,scalar,string16,67108864,32
1,c,avx2,short,32768,65536
1,c,avx2,short,262144,8192
1,c,avx2,short,1048576,2048
1,c,avx2,short,8388608,256
1,c,avx2,short,67108864,32
1,c,scalar,float,32768,65536
1,c,scalar,float,262144,8192
1,c,scalar,float,1048576,2048
1,c,scalar,float,8388608,256
1,c,scalar,float,67108864,32
1,rust,scalar,float,32768,65536
1,rust,scalar,float,262144,8192
1,rust,scalar,float,1048576,2048
1,rust,scalar,float,8388608,256
1,rust,scalar,float,67108864,32
1,rust,scalar,short,32768,65536
1,rust,scalar,short,262144,8192
1,rust,scalar,short,1048576,2048
1,rust,scalar,short,8388608,256
1,rust,scalar,short,67108864,32
1,c,avx2,double,32768,65536
1,c,avx2,double,262144,8192
1,c,avx2,double,1048576,2048
1,c,avx2,double,8388608,256
1,c,avx2,double,67108864,32
1,rust,scalar,string16,32768,65536
1,rust,scalar,string16,262144,8192
1,rust,scalar,string16,1048576,2048
1,rust,scalar,string16,8388608,256
1,rust,scalar,string16,67108864,32
1,c,scalar,string16,32768,65536
1,c,scalar,string16,262144,8192
1,c,scalar,string16,1048576,2048
1,c,scalar,string16,8388608,256
1,c,scalar,string16,67108864,32
2,go,scalar,double,32768,65536
2,go,scalar,double,262144,8192
2,go,scalar,double,1048576,2048
2,go,scalar,double,8388608,256
2,go,scalar,double,67108864,32
2,cpp,scalar,string16,32768,65536
2,cpp,scalar,string16,262144,8192
2,cpp,scalar,string16,1048576,2048
2,cpp,scalar,string16,8388608,256
2,cpp,scalar,string16,67108864,32
2,c,scalar,int,32768,65536
2,c,scalar,int,262144,8192
2,c,scalar,int,1048576,2048
2,c,scalar,int,8388608,256
2,c,scalar,int,67108864,32
2,go,scalar,float,32768,65536
2,go,scalar,float,262144,8192
2,go,scalar,float,1048576,2048
2,go,scalar,float,8388608,256
2,go,scalar,float,67108864,32
2,c,avx2,int,32768,65536
2,c,avx2,int,262144,8192
2,c,avx2,int,1048576,2048
2,c,avx2,int,8388608,256
2,c,avx2,int,67108864,32
2,cpp,scalar,double,32768,65536
2,cpp,scalar,double,262144,8192
2,cpp,scalar,double,1048576,2048
2,cpp,scalar,double,8388608,256
2,cpp,scalar,double,67108864,32
2,cpp,avx2,double,32768,65536
2,cpp,avx2,double,262144,8192
2,cpp,avx2,double,1048576,2048
2,cpp,avx2,double,8388608,256
2,cpp,avx2,double,67108864,32
2,cpp,scalar,int,32768,65536
2,cpp,scalar,int,262144,8192
2,cpp,scalar,int,1048576,2048
2,cpp,scalar,int,8388608,256
2,cpp,scalar,int,67108864,32
2,rust,scalar,double,32768,65536
2,rust,scalar,double,262144,8192
2,rust,scalar,double,1048576,2048
2,rust,scalar,double,8388608,256
2,rust,scalar,double,67108864,32
2,go,scalar,int,32768,65536
2,go,scalar,int,262144,8192
2,go,scalar,int,1048576,2048
2,go,scalar,int,8388608,256
2,go,scalar,int,67108864,32
2,go,scalar,string16,32768,65536
2,go,scalar,string16,262144,8192
2,go,scalar,string16,1048576,2048
2,go,scalar,string16,8388608,256
2,go,scalar,string16,67108864,32
2,cpp,scalar,float,32768,65536
2,cpp,scalar,float,262144,8192
2,cpp,scalar,float,1048576,2048
2,cpp,scalar,float,8388608,256
2,cpp,scalar,float,67108864,32
2,rust,scalar,float,32768,65536
2,rust,scalar,float,262144,8192
2,rust,scalar,float,1048576,2048
2,rust,scalar,float,8388608,256
2,rust,scalar,float,67108864,32
2,c,scalar,short,32768,65536
2,c,scalar,short,262144,8192
2,c,scalar,short,1048576,2048
2,c,scalar,short,8388608,256
2,c,scalar,short,67108864,32
2,cpp,avx2,string16,32768,65536
2,cpp,avx2,string16,262144,8192
2,cpp,avx2,string16,1048576,2048
2,cpp,avx2,string16,8388608,256
2,cpp,avx2,string16,67108864,32
2,c,scalar,string16,32768,65536
2,c,scalar,string16,262144,8192
2,c,scalar,string16,1048576,2048
2,c,scalar,string16,8388608,256
2,c,scalar,string16,67108864,32
2,cpp,avx2,int,32768,65536
2,cpp,avx2,int,262144,8192
2,cpp,avx2,int,1048576,2048
2,cpp,avx2,int,8388608,256
2,cpp,avx2,int,67108864,32
2,c,avx2,short,32768,65536
2,c,avx2,short,262144,8192
2,c,avx2,short,1048576,2048
2,c,avx2,short,8388608,256
2,c,avx2,short,67108864,32
2,c,avx2,string16,32768,65536
2,c,avx2,string16,262144,8192
2,c,avx2,string16,1048576,2048
2,c,avx2,string16,8388608,256
2,c,avx2,string16,67108864,32
2,c,avx2,float,32768,65536
2,c,avx2,float,262144,8192
2,c,avx2,float,1048576,2048
2,c,avx2,float,8388608,256
2,c,avx2,float,67108864,32
2,cpp,scalar,short,32768,65536
2,cpp,scalar,short,262144,8192
2,cpp,scalar,short,1048576,2048
2,cpp,scalar,short,8388608,256
2,cpp,scalar,short,67108864,32
2,cpp,avx2,float,32768,65536
2,cpp,avx2,float,262144,8192
2,cpp,avx2,float,1048576,2048
2,cpp,avx2,float,8388608,256
2,cpp,avx2,float,67108864,32
2,c,avx2,double,32768,65536
2,c,avx2,double,262144,8192
2,c,avx2,double,1048576,2048
2,c,avx2,double,8388608,256
2,c,avx2,double,67108864,32
2,rust,scalar,int,32768,65536
2,rust,scalar,int,262144,8192
2,rust,scalar,int,1048576,2048
2,rust,scalar,int,8388608,256
2,rust,scalar,int,67108864,32
2,rust,scalar,string16,32768,65536
2,rust,scalar,string16,262144,8192
2,rust,scalar,string16,1048576,2048
2,rust,scalar,string16,8388608,256
2,rust,scalar,string16,67108864,32
2,rust,scalar,short,32768,65536
2,rust,scalar,short,262144,8192
2,rust,scalar,short,1048576,2048
2,rust,scalar,short,8388608,256
2,rust,scalar,short,67108864,32
2,go,scalar,short,32768,65536
2,go,scalar,short,262144,8192
2,go,scalar,short,1048576,2048
2,go,scalar,short,8388608,256
2,go,scalar,short,67108864,32
2,c,scalar,float,32768,65536
2,c,scalar,float,262144,8192
