sample_id,round,language,implementation,value_type,footprint_bytes,passes,elapsed_ns,checksum
r1-go-scalar-float-32768,1,go,scalar,float,32768,65536,735889836,1266679808
r1-go-scalar-float-262144,1,go,scalar,float,262144,8192,735902230,1266679808
r1-go-scalar-float-1048576,1,go,scalar,float,1048576,2048,736638694,1266679808
r1-go-scalar-float-8388608,1,go,scalar,float,8388608,256,769099914,1266679808
r1-go-scalar-float-67108864,1,go,scalar,float,67108864,32,812815469,1266679808
r1-c-scalar-double-32768,1,c,scalar,double,32768,65536,366930912,4733283208366391296
r1-c-scalar-double-262144,1,c,scalar,double,262144,8192,366931715,4733283208366391296
r1-c-scalar-double-1048576,1,c,scalar,double,1048576,2048,366908812,4733283208366391296
r1-c-scalar-double-8388608,1,c,scalar,double,8388608,256,384559712,4733283208366391296
r1-c-scalar-double-67108864,1,c,scalar,double,67108864,32,391585197,4733283208366391296
r1-cpp-scalar-short-32768,1,cpp,scalar,short,32768,65536,644236536,0
r1-cpp-scalar-short-262144,1,cpp,scalar,short,262144,8192,632197564,0
r1-cpp-scalar-short-1048576,1,cpp,scalar,short,1048576,2048,634840788,0
r1-cpp-scalar-short-8388608,1,cpp,scalar,short,8388608,256,669393166,0
r1-cpp-scalar-short-67108864,1,cpp,scalar,short,67108864,32,675181331,0
r1-rust-scalar-double-32768,1,rust,scalar,double,32768,65536,366960822,4733283208366391296
r1-rust-scalar-double-262144,1,rust,scalar,double,262144,8192,367113801,4733283208366391296
r1-rust-scalar-double-1048576,1,rust,scalar,double,1048576,2048,367615794,4733283208366391296
r1-rust-scalar-double-8388608,1,rust,scalar,double,8388608,256,401924073,4733283208366391296
r1-rust-scalar-double-67108864,1,rust,scalar,double,67108864,32,446310997,4733283208366391296
r1-cpp-avx2-short-32768,1,cpp,avx2,short,32768,65536,36566066,0
r1-cpp-avx2-short-262144,1,cpp,avx2,short,262144,8192,61820757,0
r1-cpp-avx2-short-1048576,1,cpp,avx2,short,1048576,2048,76765389,0
r1-cpp-avx2-short-8388608,1,cpp,avx2,short,8388608,256,137681488,0
r1-cpp-avx2-short-67108864,1,cpp,avx2,short,67108864,32,160696858,0
r1-rust-scalar-int-32768,1,rust,scalar,int,32768,65536,312580472,536870912
r1-rust-scalar-int-262144,1,rust,scalar,int,262144,8192,316084729,536870912
r1-rust-scalar-int-1048576,1,rust,scalar,int,1048576,2048,319160226,536870912
r1-rust-scalar-int-8388608,1,rust,scalar,int,8388608,256,355203069,536870912
r1-rust-scalar-int-67108864,1,rust,scalar,int,67108864,32,405968216,536870912
r1-cpp-avx2-float-32768,1,cpp,avx2,float,32768,65536,89238920,1308622848
