language,implementation,value_type,footprint_bytes,repetitions,median_ns_per_element,min_ns_per_element,max_ns_per_element
c,avx2,double,32768,15,0.330981000,0.330926000,0.331472000
c,avx2,double,262144,15,0.341984000,0.341312000,0.342647000
c,avx2,double,1048576,15,0.343280000,0.343230000,0.344138000
c,avx2,double,8388608,15,0.510441000,0.445603000,0.655580000
c,avx2,double,67108864,15,0.598397000,0.593551000,0.657135000
c,avx2,float,32768,15,0.166226000,0.166216000,0.166306000
c,avx2,float,262144,15,0.171074000,0.170881000,0.171514000
c,avx2,float,1048576,15,0.171674000,0.171648000,0.171963000
c,avx2,float,8388608,15,0.257689000,0.222998000,0.318522000
c,avx2,float,67108864,15,0.299479000,0.298059000,0.326897000
c,avx2,int,32768,15,0.067694600,0.067435300,0.068575100
c,avx2,int,262144,15,0.111328000,0.095368600,0.127674000
c,avx2,int,1048576,15,0.142968000,0.142910000,0.143218000
c,avx2,int,8388608,15,0.255249000,0.220989000,0.280433000
c,avx2,int,67108864,15,0.299241000,0.298229000,0.305158000
c,avx2,short,32768,15,0.034083300,0.033178700,0.034696300
c,avx2,short,262144,15,0.054128100,0.048832400,0.068787100
c,avx2,short,1048576,15,0.071507700,0.071482700,0.071755600
c,avx2,short,8388608,15,0.128262000,0.108282000,0.159834000
c,avx2,short,67108864,15,0.149572000,0.149224000,0.163014000
c,avx2,string16,32768,15,0.358756000,0.358392000,0.362964000
c,avx2,string16,262144,15,0.526989000,0.477648000,0.542171000
c,avx2,string16,1048576,15,0.625683000,0.625435000,0.627429000
c,avx2,string16,8388608,15,0.989291000,0.930825000,1.176660000
c,avx2,string16,67108864,15,1.221900000,1.214900000,1.245880000
c,scalar,double,32768,15,1.366920000,1.366870000,1.367350000
c,scalar,double,262144,15,1.366880000,1.366850000,1.367030000
c,scalar,double,1048576,15,1.366930000,1.366820000,1.367580000
c,scalar,double,8388608,15,1.436310000,1.425830000,1.448620000
c,scalar,double,67108864,15,1.454490000,1.452440000,1.458770000
c,scalar,float,32768,15,1.367020000,1.366830000,1.369300000
c,scalar,float,262144,15,1.366840000,1.366830000,1.366930000
c,scalar,float,1048576,15,1.366920000,1.366820000,1.369010000
c,scalar,float,8388608,15,1.399830000,1.389020000,1.403930000
c,scalar,float,67108864,15,1.406330000,1.405560000,1.409000000
c,scalar,int,32768,15,0.580890000,0.579624000,0.583343000
c,scalar,int,262144,15,0.590071000,0.589543000,0.590868000
c,scalar,int,1048576,15,0.595212000,0.594731000,0.595490000
c,scalar,int,8388608,15,0.661394000,0.648433000,0.677764000
c,scalar,int,67108864,15,0.667160000,0.665708000,0.675932000
