language,implementation,value_type,footprint_bytes,repetitions,median_cycles_per_element,median_instructions_per_element,median_ref_cycles_per_element
c,avx2,double,32768,15,0.730465000,0.633102000,0.730465000
c,avx2,double,262144,15,0.756383000,0.630494000,0.756383000
c,avx2,double,1048576,15,0.763826000,0.635822000,0.763826000
c,avx2,double,8388608,15,1.174820000,0.690597000,1.174820000
c,avx2,double,67108864,15,1.720230000,1.129590000,1.720230000
c,avx2,float,32768,15,0.366844000,0.317561000,0.366844000
c,avx2,float,262144,15,0.378371000,0.315599000,0.378371000
c,avx2,float,1048576,15,0.381941000,0.318926000,0.381941000
c,avx2,float,8388608,15,0.592996000,0.353152000,0.592996000
c,avx2,float,67108864,15,0.861875000,0.627271000,0.861875000
c,avx2,int,32768,15,0.150534000,0.504874000,0.150534000
c,avx2,int,262144,15,0.247251000,0.502615000,0.247251000
c,avx2,int,1048576,15,0.318781000,0.504470000,0.318781000
c,avx2,int,8388608,15,0.586836000,0.525098000,0.586836000
c,avx2,int,67108864,15,0.853587000,0.689777000,0.853587000
c,avx2,short,32768,15,0.075820600,0.253355000,0.075820600
c,avx2,short,262144,15,0.120422000,0.251427000,0.120422000
c,avx2,short,1048576,15,0.159454000,0.252268000,0.159454000
c,avx2,short,8388608,15,0.294747000,0.262515000,0.294747000
c,avx2,short,67108864,15,0.426866000,0.344927000,0.426866000
c,avx2,string16,32768,15,0.795569000,2.515590000,0.795569000
c,avx2,string16,262144,15,1.168600000,2.509950000,1.168600000
c,avx2,string16,1048576,15,1.393460000,2.517780000,1.393460000
c,avx2,string16,8388608,15,2.278360000,2.600090000,2.278360000
c,avx2,string16,67108864,15,3.465940000,3.259120000,3.465940000
c,scalar,double,32768,15,3.004430000,2.505970000,3.004430000
c,scalar,double,262144,15,3.005990000,2.505210000,3.005990000
c,scalar,double,1048576,15,3.010710000,2.510800000,3.010710000
c,scalar,double,8388608,15,3.207200000,2.565620000,3.207200000
c,scalar,double,67108864,15,3.598520000,3.004590000,3.598520000
c,scalar,float,32768,15,3.002540000,2.503010000,3.002540000
c,scalar,float,262144,15,3.003030000,2.502850000,3.003030000
c,scalar,float,1048576,15,3.005530000,2.506370000,3.005530000
c,scalar,float,8388608,15,3.099990000,2.540620000,3.099990000
c,scalar,float,67108864,15,3.291120000,2.814840000,3.291120000
c,scalar,int,32768,15,1.277060000,4.002170000,1.277060000
c,scalar,int,262144,15,1.298070000,4.002280000,1.298070000
c,scalar,int,1048576,15,1.311590000,4.004380000,1.311590000
c,scalar,int,8388608,15,1.478240000,4.025020000,1.478240000
c,scalar,int,67108864,15,1.661020000,4.189770000,1.661020000
c,scalar,short,32768,15,1.299760000,4.001040000,1.299760000
c,scalar,short,262144,15,1.294130000,4.001140000,1.294130000
c,scalar,short,1048576,15,1.299740000,4.002200000,1.299740000
c,scalar,short,8388608,15,1.382170000,4.012500000,1.382170000
c,scalar,short,67108864,15,1.477250000,4.094920000,1.477250000
c,scalar,string16,32768,15,9.099520000,36.009400000,9.099520000
c,scalar,string16,262144,15,10.941600000,36.009100000,10.941600000
c,scalar,string16,1048576,15,11.051900000,36.017600000,11.051900000
c,scalar,string16,8388608,15,11.655300000,36.100300000,11.655300000
c,scalar,string16,67108864,15,12.409900000,36.759200000,12.409900000
cpp,avx2,double,32768,15,0.730447000,0.633181000,0.730447000
cpp,avx2,double,262144,15,0.756948000,0.630492000,0.756948000
cpp,avx2,double,1048576,15,0.763853000,0.635815000,0.763853000
cpp,avx2,double,8388608,15,1.184180000,0.690651000,1.184180000
cpp,avx2,double,67108864,15,1.719910000,1.129540000,1.719910000
cpp,avx2,float,32768,15,0.366825000,0.317559000,0.366825000
cpp,avx2,float,262144,15,0.378950000,0.315615000,0.378950000
cpp,avx2,float,1048576,15,0.381989000,0.318924000,0.381989000
cpp,avx2,float,8388608,15,0.592589000,0.353156000,0.592589000
cpp,avx2,float,67108864,15,0.861450000,0.627301000,0.861450000
cpp,avx2,int,32768,15,0.150796000,0.504863000,0.150796000
cpp,avx2,int,262144,15,0.234820000,0.502620000,0.234820000
cpp,avx2,int,1048576,15,0.318878000,0.504470000,0.318878000
cpp,avx2,int,8388608,15,0.515245000,0.525024000,0.515245000
cpp,avx2,int,67108864,15,0.853773000,0.689785000,0.853773000
cpp,avx2,short,32768,15,0.076244400,0.253351000,0.076244400
cpp,avx2,short,262144,15,0.118137000,0.251413000,0.118137000
cpp,avx2,short,1048576,15,0.159489000,0.252284000,0.159489000
cpp,avx2,short,8388608,15,0.293523000,0.262514000,0.293523000
cpp,avx2,short,67108864,15,0.426923000,0.344894000,0.426923000
cpp,avx2,string16,32768,15,1.198490000,3.515700000,1.198490000
cpp,avx2,string16,262144,15,1.366310000,3.509950000,1.366310000
cpp,avx2,string16,1048576,15,1.497110000,3.517780000,1.497110000
cpp,avx2,string16,8388608,15,2.541560000,3.599990000,2.541560000
cpp,avx2,string16,67108864,15,3.523790000,4.259090000,3.523790000
cpp,scalar,double,32768,15,3.004480000,2.505890000,3.004480000
cpp,scalar,double,262144,15,3.006040000,2.505230000,3.006040000
cpp,scalar,double,1048576,15,3.011130000,2.510790000,3.011130000
cpp,scalar,double,8388608,15,3.207220000,2.565680000,3.207220000
cpp,scalar,double,67108864,15,3.599080000,3.004550000,3.599080000
cpp,scalar,float,32768,15,3.002350000,2.503000000,3.002350000
cpp,scalar,float,262144,15,3.003060000,2.502860000,3.003060000
cpp,scalar,float,1048576,15,3.005780000,2.506360000,3.005780000
cpp,scalar,float,8388608,15,3.100010000,2.540640000,3.100010000
cpp,scalar,float,67108864,15,3.291990000,2.814850000,3.291990000
cpp,scalar,int,32768,15,1.275830000,4.002210000,1.275830000
cpp,scalar,int,262144,15,1.299080000,4.002270000,1.299080000
cpp,scalar,int,1048576,15,1.311350000,4.004390000,1.311350000
cpp,scalar,int,8388608,15,1.460840000,4.025020000,1.460840000
cpp,scalar,int,67108864,15,1.660570000,4.189800000,1.660570000
cpp,scalar,short,32768,15,1.298370000,4.001030000,1.298370000
cpp,scalar,short,262144,15,1.296960000,4.001130000,1.296960000
cpp,scalar,short,1048576,15,1.299720000,4.002190000,1.299720000
cpp,scalar,short,8388608,15,1.382370000,4.012510000,1.382370000
cpp,scalar,short,67108864,15,1.476510000,4.094900000,1.476510000
cpp,scalar,string16,32768,15,9.101550000,36.009300000,9.101550000
cpp,scalar,string16,262144,15,10.942800000,36.009100000,10.942800000
cpp,scalar,string16,1048576,15,11.051500000,36.017600000,11.051500000
cpp,scalar,string16,8388608,15,11.661600000,36.100100000,11.661600000
cpp,scalar,string16,67108864,15,12.410300000,36.759300000,12.410300000
go,scalar,double,32768,15,3.017210000,6.017090000,3.017210000
go,scalar,double,262144,15,3.019680000,6.016860000,3.019680000
go,scalar,double,1048576,15,3.024460000,6.021990000,3.024460000
go,scalar,double,8388608,15,3.255690000,6.079510000,3.255700000
go,scalar,double,67108864,15,3.606540000,6.466340000,3.606540000
go,scalar,float,32768,15,3.011870000,6.010590000,3.011870000
go,scalar,float,262144,15,3.012650000,6.010800000,3.012650000
go,scalar,float,1048576,15,3.015390000,6.014120000,3.015390000
go,scalar,float,8388608,15,3.146460000,6.052120000,3.146460000
go,scalar,float,67108864,15,3.325630000,6.315770000,3.325630000
go,scalar,int,32768,15,1.437110000,5.008400000,1.437110000
go,scalar,int,262144,15,1.523610000,5.008640000,1.523610000
go,scalar,int,1048576,15,1.538780000,5.011710000,1.538780000
go,scalar,int,8388608,15,1.731210000,5.045640000,1.731210000
go,scalar,int,67108864,15,1.932730000,5.280880000,1.932730000
go,scalar,short,32768,15,1.433110000,5.005550000,1.433100000
go,scalar,short,262144,15,1.501860000,5.005540000,1.501860000
go,scalar,short,1048576,15,1.510590000,5.007780000,1.510590000
go,scalar,short,8388608,15,1.613900000,5.032190000,1.613900000
go,scalar,short,67108864,15,1.720160000,5.204470000,1.720160000
go,scalar,string16,32768,15,22.908100000,80.060800000,22.908100000
go,scalar,string16,262144,15,23.575400000,80.063800000,23.575400000
go,scalar,string16,1048576,15,23.801800000,80.096800000,23.801800000
go,scalar,string16,8388608,15,24.528100000,80.401600000,24.528100000
go,scalar,string16,67108864,15,25.681300000,82.664300000,25.681300000
rust,scalar,double,32768,15,3.006420000,4.006020000,3.006420000
rust,scalar,double,262144,15,3.007920000,4.006400000,3.007920000
rust,scalar,double,1048576,15,3.013150000,4.010940000,3.013140000
rust,scalar,double,8388608,15,3.286240000,4.054550000,3.286240000
rust,scalar,double,67108864,15,3.646710000,4.401820000,3.646710000
rust,scalar,float,32768,15,3.004360000,4.002990000,3.004360000
rust,scalar,float,262144,15,3.003950000,4.003230000,3.003950000
rust,scalar,float,1048576,15,3.006610000,4.005600000,3.006610000
rust,scalar,float,8388608,15,3.141430000,4.027940000,3.141430000
