sample_id,event,value,unit,time_enabled,time_running
r01-o001-cpp-avx2-string16-32768,cycles,135952785,count,61967287,61967287
r01-o001-cpp-avx2-string16-32768,instructions,471269765,count,61967287,61967287
r01-o001-cpp-avx2-string16-32768,ref-cycles,135952806,count,61967287,61967287
r01-o002-cpp_native-scalar-double-1048576,cycles,805472012,count,366999029,366999029
r01-o002-cpp_native-scalar-double-1048576,instructions,671109393,count,366999029,366999029
r01-o002-cpp_native-scalar-double-1048576,ref-cycles,805472030,count,366999029,366999029
r01-o003-cpp-scalar-float-67108864,cycles,1680322197,count,765612542,765612542
r01-o003-cpp-scalar-float-67108864,instructions,2147484230,count,765612542,765612542
r01-o003-cpp-scalar-float-67108864,ref-cycles,1680322226,count,765612542,765612542
r01-o004-rust_unroll-u2-float-67108864,cycles,1678439967,count,764755736,764755736
r01-o004-rust_unroll-u2-float-67108864,instructions,3221226072,count,764755736,764755736
r01-o004-rust_unroll-u2-float-67108864,ref-cycles,1678439994,count,764755736,764755736
r01-o005-rust-avx2-short-262144,cycles,168493970,count,76791370,76791370
r01-o005-rust-avx2-short-262144,instructions,403005720,count,76791370,76791370
r01-o005-rust-avx2-short-262144,ref-cycles,168493974,count,76791370,76791370
r01-o006-c-scalar-int-1048576,cycles,698398877,count,318215566,318215566
r01-o006-c-scalar-int-1048576,instructions,2147494217,count,318215566,318215566
r01-o006-c-scalar-int-1048576,ref-cycles,698398844,count,318215566,318215566
r01-o007-c-scalar-float-67108864,cycles,1680324393,count,765605352,765605352
r01-o007-c-scalar-float-67108864,instructions,2147484229,count,765605352,765605352
r01-o007-c-scalar-float-67108864,ref-cycles,1680324382,count,765605352,765605352
r01-o008-rust_unroll-u8-float-67108864,cycles,1665716524,count,758959151,758959151
r01-o008-rust_unroll-u8-float-67108864,instructions,2415919674,count,758959151,758959151
r01-o008-rust_unroll-u8-float-67108864,ref-cycles,1665716514,count,758959151,758959151
r01-o009-rust_unroll-u8-double-1048576,cycles,805503814,count,367014844,367014844
r01-o009-rust_unroll-u8-double-1048576,instructions,1207978263,count,367014844,367014844
r01-o009-rust_unroll-u8-double-1048576,ref-cycles,805503842,count,367014844,367014844
r01-o010-c-avx2-float-262144,cycles,202828967,count,92441322,92441322
r01-o010-c-avx2-float-262144,instructions,268829031,count,92441322,92441322
r01-o010-c-avx2-float-262144,ref-cycles,202828956,count,92441322,92441322
r01-o011-cpp_unroll-u8-double-67108864,cycles,840930930,count,383188458,383188458
r01-o011-cpp_unroll-u8-double-67108864,instructions,369099326,count,383188458,383188458
r01-o011-cpp_unroll-u8-double-67108864,ref-cycles,840930904,count,383188458,383188458
r01-o012-cpp-scalar-double-262144,cycles,805349931,count,366943426,366943426
r01-o012-cpp-scalar-double-262144,instructions,1073799551,count,366943426,366943426
r01-o012-cpp-scalar-double-262144,ref-cycles,805349930,count,366943426,366943426
r01-o013-rust_unroll-u8-double-32768,cycles,805393198,count,366963388,366963388
r01-o013-rust_unroll-u8-double-32768,instructions,1208549655,count,366963388,366963388
r01-o013-rust_unroll-u8-double-32768,ref-cycles,805393204,count,366963388,366963388
r01-o014-cpp-avx2-int-67108864,cycles,356973145,count,162672508,162672508
r01-o014-cpp-avx2-int-67108864,instructions,268436689,count,162672508,162672508
r01-o014-cpp-avx2-int-67108864,ref-cycles,356973144,count,162672508,162672508
r01-o015-cpp-avx2-float-67108864,cycles,364362459,count,166042575,166042575
r01-o015-cpp-avx2-float-67108864,instructions,268437351,count,166042575,166042575
r01-o015-cpp-avx2-float-67108864,ref-cycles,364362482,count,166042575,166042575
r01-o016-go-scalar-float-262144,cycles,1610865582,count,735343209,735343209
r01-o016-go-scalar-float-262144,instructions,2684484337,count,735343209,735343209
r01-o016-go-scalar-float-262144,ref-cycles,1610866026,count,735343209,735343209
r01-o017-c-avx2-int-67108864,cycles,353469945,count,161073340,161073340
r01-o017-c-avx2-int-67108864,instructions,268436689,count,161073340,161073340
r01-o017-c-avx2-int-67108864,ref-cycles,353469952,count,161073340,161073340
r01-o018-cpp_unroll-u1-double-262144,cycles,805332961,count,366935677,366935677
r01-o018-cpp_unroll-u1-double-262144,instructions,1073799441,count,366935677,366935677
r01-o018-cpp_unroll-u1-double-262144,ref-cycles,805332968,count,366935677,366935677
r01-o019-rust-scalar-double-8388608,cycles,864132108,count,393729871,393729871
r01-o019-rust-scalar-double-8388608,instructions,1073743387,count,393729871,393729871
r01-o019-rust-scalar-double-8388608,ref-cycles,864132126,count,393729871,393729871
r01-o020-cpp-avx2-string16-67108864,cycles,362477700,count,165206172,165206172
r01-o020-cpp-avx2-string16-67108864,instructions,469763175,count,165206172,165206172
r01-o020-cpp-avx2-string16-67108864,ref-cycles,362477742,count,165206172,165206172
r01-o021-clangpp-scalar-double-262144,cycles,805371513,count,366954047,366954047
r01-o021-clangpp-scalar-double-262144,instructions,369173690,count,366954047,366954047
r01-o021-clangpp-scalar-double-262144,ref-cycles,805371512,count,366954047,366954047
r01-o022-c-scalar-float-32768,cycles,1610676133,count,733872988,733872988
r01-o022-c-scalar-float-32768,instructions,2147942758,count,733872988,733872988
r01-o022-c-scalar-float-32768,ref-cycles,1610676144,count,733872988,733872988
r01-o023-c-scalar-short-262144,cycles,1391126569,count,633820872,633820872
r01-o023-c-scalar-short-262144,instructions,4295008557,count,633820872,633820872
r01-o023-c-scalar-short-262144,ref-cycles,1391126572,count,633820872,633820872
r01-o024-c-avx2-double-262144,cycles,202958453,count,92525260,92525260
r01-o024-c-avx2-double-262144,instructions,268607875,count,92525260,92525260
r01-o024-c-avx2-double-262144,ref-cycles,202958448,count,92525260,92525260
r01-o025-cpp-avx2-short-67108864,cycles,353576566,count,161122325,161122325
r01-o025-cpp-avx2-short-67108864,instructions,268437206,count,161122325,161122325
r01-o025-cpp-avx2-short-67108864,ref-cycles,353576586,count,161122325,161122325
r01-o026-cpp_unroll-u1-float-67108864,cycles,1681312280,count,766063184,766063184
r01-o026-cpp_unroll-u1-float-67108864,instructions,2147484147,count,766063184,766063184
r01-o026-cpp_unroll-u1-float-67108864,ref-cycles,1681312270,count,766063184,766063184
r01-o027-clangpp-scalar-short-67108864,cycles,1172547895,count,534244653,534244653
r01-o027-clangpp-scalar-short-67108864,instructions,1476396429,count,534244653,534244653
r01-o027-clangpp-scalar-short-67108864,ref-cycles,1172547904,count,534244653,534244653
r01-o028-rust_unroll-u1-double-67108864,cycles,881196600,count,401531652,401531652
r01-o028-rust_unroll-u1-double-67108864,instructions,1073742270,count,401531652,401531652
r01-o028-rust_unroll-u1-double-67108864,ref-cycles,881196624,count,401531652,401531652
r01-o029-c-avx2-int-1048576,cycles,168578753,count,76830818,76830818
r01-o029-c-avx2-int-1048576,instructions,268491121,count,76830818,76830818
r01-o029-c-avx2-int-1048576,ref-cycles,168578762,count,76830818,76830818
r01-o030-rust-scalar-string16-32768,cycles,1217003265,count,554491125,554491125
r01-o030-rust-scalar-string16-32768,instructions,4698145045,count,554491125,554491125
r01-o030-rust-scalar-string16-32768,ref-cycles,1217003260,count,554491125,554491125
r01-o031-cpp_native-scalar-string16-67108864,cycles,1557325324,count,709574581,709574581
r01-o031-cpp_native-scalar-string16-67108864,instructions,4697620976,count,709574581,709574581
r01-o031-cpp_native-scalar-string16-67108864,ref-cycles,1557325330,count,709574581,709574581
r01-o032-clangpp-scalar-string16-8388608,cycles,1537890722,count,700721942,700721942
r01-o032-clangpp-scalar-string16-8388608,instructions,4697623223,count,700721942,700721942
r01-o032-clangpp-scalar-string16-8388608,ref-cycles,1537890684,count,700721942,700721942
r01-o033-c-avx2-int-8388608,cycles,260491882,count,118711211,118711211
r01-o033-c-avx2-int-8388608,instructions,268442737,count,118711211,118711211
r01-o033-c-avx2-int-8388608,ref-cycles,260491880,count,118711211,118711211
r01-o034-rust-avx2-short-67108864,cycles,361142069,count,164568544,164568544
r01-o034-rust-avx2-short-67108864,instructions,402654840,count,164568544,164568544
r01-o034-rust-avx2-short-67108864,ref-cycles,361142078,count,164568544,164568544
r01-o035-cpp-avx2-string16-8388608,cycles,317266970,count,144579136,144579136
r01-o035-cpp-avx2-string16-8388608,instructions,469768325,count,144579136,144579136
r01-o035-cpp-avx2-string16-8388608,ref-cycles,317266950,count,144579136,144579136
r01-o036-go-scalar-short-1048576,cycles,1614002727,count,736785031,736785031
r01-o036-go-scalar-short-1048576,instructions,5368784359,count,736785031,736785031
r01-o036-go-scalar-short-1048576,ref-cycles,1614003666,count,736785031,736785031
r01-o037-cpp-avx2-float-262144,cycles,202674073,count,92371884,92371884
r01-o037-cpp-avx2-float-262144,instructions,268829031,count,92371884,92371884
r01-o037-cpp-avx2-float-262144,ref-cycles,202674032,count,92371884,92371884
r01-o038-cpp-scalar-string16-8388608,cycles,2088421972,count,951541548,951541548
r01-o038-cpp-scalar-string16-8388608,instructions,4831840640,count,951541548,951541548
r01-o038-cpp-scalar-string16-8388608,ref-cycles,2088421984,count,951541548,951541548
r01-o039-clangpp-scalar-short-8388608,cycles,1159727844,count,528430542,528430542
r01-o039-clangpp-scalar-short-8388608,instructions,1476398447,count,528430542,528430542
r01-o039-clangpp-scalar-short-8388608,ref-cycles,1159727822,count,528430542,528430542
r01-o040-c-avx2-string16-8388608,cycles,345441058,count,157415818,157415818
r01-o040-c-avx2-string16-8388608,instructions,469768325,count,157415818,157415818
r01-o040-c-avx2-string16-8388608,ref-cycles,345441074,count,157415818,157415818
r01-o041-clangpp-scalar-string16-32768,cycles,1219286746,count,555533048,555533048
r01-o041-clangpp-scalar-string16-32768,instructions,4698014901,count,555533048,555533048
r01-o041-clangpp-scalar-string16-32768,ref-cycles,1219286728,count,555533048,555533048
r01-o042-cpp_unroll-u2-float-1048576,cycles,1610687626,count,733881275,733881275
r01-o042-cpp_unroll-u2-float-1048576,instructions,1610633492,count,733881275,733881275
r01-o042-cpp_unroll-u2-float-1048576,ref-cycles,1610687628,count,733881275,733881275
r01-o043-cpp-avx2-int-32768,cycles,79521728,count,36255899,36255899
r01-o043-cpp-avx2-int-32768,instructions,270205297,count,36255899,36255899
r01-o043-cpp-avx2-int-32768,ref-cycles,79521750,count,36255899,36255899
r01-o044-cpp-avx2-double-8388608,cycles,314253320,count,143213673,143213673
r01-o044-cpp-avx2-double-8388608,instructions,268441217,count,143213673,143213673
r01-o044-cpp-avx2-double-8388608,ref-cycles,314253280,count,143213673,143213673
r01-o045-rust_unroll-u8-float-8388608,cycles,1658535351,count,755686061,755686061
r01-o045-rust_unroll-u8-float-8388608,instructions,2415921690,count,755686061,755686061
r01-o045-rust_unroll-u8-float-8388608,ref-cycles,1658535340,count,755686061,755686061
r01-o046-cpp_unroll-u2-double-1048576,cycles,805381844,count,366958855,366958855
r01-o046-cpp_unroll-u2-double-1048576,instructions,671107356,count,366958855,366958855
r01-o046-cpp_unroll-u2-double-1048576,ref-cycles,805381830,count,366958855,366958855
r01-o047-go-scalar-int-8388608,cycles,908880273,count,415818820,415818820
r01-o047-go-scalar-int-8388608,instructions,2684792565,count,415818820,415818820
r01-o047-go-scalar-int-8388608,ref-cycles,908880148,count,415818820,415818820
r01-o048-cpp-scalar-int-8388608,cycles,778670396,count,354794347,354794347
r01-o048-cpp-scalar-int-8388608,instructions,2147485257,count,354794347,354794347
r01-o048-cpp-scalar-int-8388608,ref-cycles,778670376,count,354794347,354794347
