sample_id,round,variant,implementation,value_type,footprint_bytes,passes,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r01-o001-cpp-avx2-string16-32768,1,cpp,avx2,string16,32768,65536,61938094,2147483648,2147483648,135952785,471269765,135952806,61967287,61967287,1
r01-o002-cpp_native-scalar-double-1048576,1,cpp_native,scalar,double,1048576,2048,366969789,0,0,805472012,671109393,805472030,366999029,366999029,1
r01-o003-cpp-scalar-float-67108864,1,cpp,scalar,float,67108864,32,765729463,0,0,1680322197,2147484230,1680322226,765612542,765612542,1
r01-o004-rust_unroll-u2-float-67108864,1,rust_unroll,u2,float,67108864,32,764864056,0,0,1678439967,3221226072,1678439994,764755736,764755736,1
r01-o005-rust-avx2-short-262144,1,rust,avx2,short,262144,8192,76764023,0,0,168493970,403005720,168493974,76791370,76791370,1
r01-o006-c-scalar-int-1048576,1,c,scalar,int,1048576,2048,318187614,536870912,536870912,698398877,2147494217,698398844,318215566,318215566,1
r01-o007-c-scalar-float-67108864,1,c,scalar,float,67108864,32,765722331,0,0,1680324393,2147484229,1680324382,765605352,765605352,1
r01-o008-rust_unroll-u8-float-67108864,1,rust_unroll,u8,float,67108864,32,759070803,0,0,1665716524,2415919674,1665716514,758959151,758959151,1
r01-o009-rust_unroll-u8-double-1048576,1,rust_unroll,u8,double,1048576,2048,366984353,0,0,805503814,1207978263,805503842,367014844,367014844,1
r01-o010-c-avx2-float-262144,1,c,avx2,float,262144,8192,92414070,0,0,202828967,268829031,202828956,92441322,92441322,1
r01-o011-cpp_unroll-u8-double-67108864,1,cpp_unroll,u8,double,67108864,32,383293888,0,0,840930930,369099326,840930904,383188458,383188458,1
r01-o012-cpp-scalar-double-262144,1,cpp,scalar,double,262144,8192,366914385,0,0,805349931,1073799551,805349930,366943426,366943426,1
r01-o013-rust_unroll-u8-double-32768,1,rust_unroll,u8,double,32768,65536,366934079,0,0,805393198,1208549655,805393204,366963388,366963388,1
r01-o014-cpp-avx2-int-67108864,1,cpp,avx2,int,67108864,32,162634293,536870912,536870912,356973145,268436689,356973144,162672508,162672508,1
