variant,implementation,value_type,footprint_bytes,repetitions,median_ns_per_element,p10_ns_per_element,p90_ns_per_element,min_ns_per_element,max_ns_per_element
c,avx2,double,32768,15,0.336451000,0.336408000,0.337097000,0.336401000,0.338388000
c,avx2,double,262144,15,0.345092000,0.343763000,0.345995000,0.343687000,0.346001000
c,avx2,double,1048576,15,0.348293000,0.347631000,0.348742000,0.347592000,0.348895000
c,avx2,double,8388608,15,0.482754000,0.477638000,0.548425000,0.477575000,0.549731000
c,avx2,double,67108864,15,0.610627000,0.609364000,0.623338000,0.608757000,0.640330000
c,avx2,float,32768,15,0.169032000,0.168992000,0.169417000,0.168981000,0.170901000
c,avx2,float,262144,15,0.172693000,0.171896000,0.172950000,0.171807000,0.173384000
c,avx2,float,1048576,15,0.174188000,0.173809000,0.174450000,0.173798000,0.174908000
c,avx2,float,8388608,15,0.240335000,0.237865000,0.267517000,0.237791000,0.300421000
c,avx2,float,67108864,15,0.305088000,0.303998000,0.313101000,0.303731000,0.337551000
c,avx2,int,32768,15,0.067451000,0.067017600,0.068416500,0.066974300,0.069074400
c,avx2,int,262144,15,0.110804000,0.105721000,0.119418000,0.104531000,0.121580000
c,avx2,int,1048576,15,0.143154000,0.142986000,0.143435000,0.142966000,0.143517000
c,avx2,int,8388608,15,0.221269000,0.219092000,0.258936000,0.218970000,0.295208000
c,avx2,int,67108864,15,0.299810000,0.299390000,0.305157000,0.299155000,0.311673000
c,avx2,short,32768,15,0.034472100,0.034379200,0.034754100,0.034363900,0.034869700
c,avx2,short,262144,15,0.054338100,0.047462700,0.061503600,0.043688600,0.062313700
c,avx2,short,1048576,15,0.071549100,0.071486400,0.071630300,0.071473400,0.071656000
c,avx2,short,8388608,15,0.111118000,0.109918000,0.129306000,0.109238000,0.129402000
c,avx2,short,67108864,15,0.149951000,0.149626000,0.150780000,0.149617000,0.160409000
c,avx2,string16,32768,15,0.461418000,0.461338000,0.463650000,0.461327000,0.463960000
c,avx2,string16,262144,15,0.561119000,0.527925000,0.587318000,0.519412000,0.598774000
c,avx2,string16,1048576,15,0.647933000,0.647144000,0.649679000,0.646353000,0.650427000
c,avx2,string16,8388608,15,0.965667000,0.956993000,1.062350000,0.955670000,1.172580000
c,avx2,string16,67108864,15,1.225270000,1.223170000,1.228770000,1.222830000,1.233930000
c,scalar,double,32768,15,1.367540000,1.366940000,1.368450000,1.366920000,1.376050000
c,scalar,double,262144,15,1.366960000,1.366850000,1.367570000,1.366820000,1.367610000
c,scalar,double,1048576,15,1.367400000,1.366940000,1.368110000,1.366870000,1.368140000
c,scalar,double,8388608,15,1.468250000,1.463540000,1.476450000,1.463260000,1.487990000
c,scalar,double,67108864,15,1.494080000,1.492780000,1.495000000,1.491850000,1.495200000
c,scalar,float,32768,15,1.367560000,1.367020000,1.373580000,1.367010000,1.373970000
c,scalar,float,262144,15,1.367180000,1.366860000,1.367210000,1.366860000,1.367240000
c,scalar,float,1048576,15,1.367290000,1.366910000,1.367430000,1.366860000,1.367720000
c,scalar,float,8388608,15,1.406950000,1.402860000,1.419610000,1.399570000,1.423030000
c,scalar,float,67108864,15,1.426200000,1.425780000,1.427730000,1.425700000,1.435220000
c,scalar,int,32768,15,0.580750000,0.580513000,0.581706000,0.580406000,0.582822000
c,scalar,int,262144,15,0.588006000,0.587001000,0.588307000,0.586806000,0.588426000
c,scalar,int,1048576,15,0.593136000,0.592797000,0.593573000,0.592671000,0.593714000
c,scalar,int,8388608,15,0.650721000,0.649005000,0.658402000,0.646880000,0.679003000
c,scalar,int,67108864,15,0.668168000,0.666621000,0.673854000,0.666613000,0.686118000
c,scalar,short,32768,15,0.581082000,0.580734000,0.581523000,0.580674000,0.584395000
c,scalar,short,262144,15,0.590257000,0.590052000,0.590510000,0.589817000,0.590660000
c,scalar,short,1048576,15,0.592587000,0.592424000,0.594296000,0.592357000,0.594604000
c,scalar,short,8388608,15,0.624223000,0.618251000,0.630061000,0.617495000,0.635159000
c,scalar,short,67108864,15,0.628700000,0.628387000,0.629237000,0.627893000,0.629348000
c,scalar,string16,32768,15,6.838030000,6.836000000,6.846420000,6.834580000,6.927480000
c,scalar,string16,262144,15,6.837730000,6.836370000,6.839530000,6.836350000,6.841720000
c,scalar,string16,1048576,15,6.852400000,6.851910000,6.852950000,6.851730000,6.853650000
c,scalar,string16,8388608,15,7.089160000,7.040500000,7.098840000,7.036860000,7.156750000
c,scalar,string16,67108864,15,7.116270000,7.112110000,7.122050000,7.110370000,7.183990000
clangpp,scalar,double,32768,15,1.366940000,1.366810000,1.367580000,1.366800000,1.371200000
clangpp,scalar,double,262144,15,1.366910000,1.366830000,1.367570000,1.366820000,1.367580000
clangpp,scalar,double,1048576,15,1.367570000,1.366970000,1.367730000,1.366930000,1.368410000
clangpp,scalar,double,8388608,15,1.430800000,1.425850000,1.437560000,1.421750000,1.443390000
clangpp,scalar,double,67108864,15,1.452090000,1.451240000,1.452370000,1.450360000,1.452400000
clangpp,scalar,float,32768,15,1.367240000,1.366940000,1.367580000,1.366910000,1.372440000
clangpp,scalar,float,262144,15,1.367110000,1.366840000,1.367190000,1.366830000,1.367200000
clangpp,scalar,float,1048576,15,1.367240000,1.366940000,1.367360000,1.366930000,1.367700000
clangpp,scalar,float,8388608,15,1.391730000,1.388940000,1.398990000,1.388470000,1.404840000
clangpp,scalar,float,67108864,15,1.405330000,1.404830000,1.406310000,1.404540000,1.408680000
clangpp,scalar,int,32768,15,0.455809000,0.455617000,0.457073000,0.455611000,0.461825000
clangpp,scalar,int,262144,15,0.457106000,0.456451000,0.457563000,0.456436000,0.457588000
clangpp,scalar,int,1048576,15,0.461690000,0.461362000,0.462030000,0.461318000,0.462110000
clangpp,scalar,int,8388608,15,0.523199000,0.521279000,0.575851000,0.521122000,0.583392000
clangpp,scalar,int,67108864,15,0.563579000,0.562953000,0.569226000,0.562457000,0.574213000
clangpp,scalar,short,32768,15,0.455809000,0.455669000,0.455968000,0.455642000,0.456088000
clangpp,scalar,short,262144,15,0.455927000,0.455872000,0.456066000,0.455848000,0.456101000
clangpp,scalar,short,1048576,15,0.457665000,0.457611000,0.457805000,0.457592000,0.457833000
clangpp,scalar,short,8388608,15,0.488475000,0.486761000,0.495777000,0.486677000,0.499335000
clangpp,scalar,short,67108864,15,0.497435000,0.497340000,0.498293000,0.497226000,0.498850000
clangpp,scalar,string16,32768,15,4.146240000,4.144350000,4.154950000,4.138820000,4.191430000
clangpp,scalar,string16,262144,15,4.978090000,4.974450000,4.989030000,4.971940000,4.990040000
clangpp,scalar,string16,1048576,15,5.025590000,5.024250000,5.026920000,5.023270000,5.027390000
clangpp,scalar,string16,8388608,15,5.234020000,5.228560000,5.274250000,5.221640000,5.276800000
clangpp,scalar,string16,67108864,15,5.294340000,5.289530000,5.297900000,5.287790000,5.298880000
cpp,avx2,double,32768,15,0.336455000,0.336393000,0.336830000,0.336392000,0.336989000
cpp,avx2,double,262144,15,0.344368000,0.343603000,0.345771000,0.343014000,0.346950000
cpp,avx2,double,1048576,15,0.348123000,0.347435000,0.348357000,0.347274000,0.348358000
cpp,avx2,double,8388608,15,0.480420000,0.476857000,0.530749000,0.476658000,0.533380000
cpp,avx2,double,67108864,15,0.610720000,0.609309000,0.642707000,0.608696000,0.650300000
cpp,avx2,float,32768,15,0.169256000,0.168983000,0.171165000,0.168976000,0.171497000
cpp,avx2,float,262144,15,0.172397000,0.171931000,0.173109000,0.171838000,0.173176000
cpp,avx2,float,1048576,15,0.174167000,0.173717000,0.174212000,0.173673000,0.174506000
cpp,avx2,float,8388608,15,0.241768000,0.240181000,0.266938000,0.239991000,0.305550000
