variant,implementation,value_type,footprint_bytes,repetitions,median_cycles_per_element,p10_cycles_per_element,p90_cycles_per_element,median_instructions_per_element,p10_instructions_per_element,p90_instructions_per_element,median_ref_cycles_per_element
c,avx2,double,32768,15,0.738404000,0.738341000,0.739076000,1.005130000,1.005130000,1.005130000,0.738404000
c,avx2,double,262144,15,0.756028000,0.754485000,0.758974000,1.000640000,1.000640000,1.000640000,0.756028000
c,avx2,double,1048576,15,0.764374000,0.762977000,0.764936000,1.000160000,1.000160000,1.000160000,0.764374000
c,avx2,double,8388608,15,1.058290000,1.048330000,1.203700000,1.000020000,1.000020000,1.000020000,1.058290000
c,avx2,double,67108864,15,1.340230000,1.337460000,1.368130000,1.000000000,1.000000000,1.000000000,1.340230000
c,avx2,float,32768,15,0.370989000,0.370900000,0.371834000,0.505860000,0.505860000,0.505860000,0.370989000
c,avx2,float,262144,15,0.379024000,0.377272000,0.379587000,0.500733000,0.500733000,0.500733000,0.379024000
c,avx2,float,1048576,15,0.382160000,0.381474000,0.382580000,0.500184000,0.500184000,0.500184000,0.382160000
c,avx2,float,8388608,15,0.527123000,0.522071000,0.587156000,0.500024000,0.500024000,0.500024000,0.527123000
c,avx2,float,67108864,15,0.669339000,0.667228000,0.687210000,0.500004000,0.500004000,0.500004000,0.669339000
c,avx2,int,32768,15,0.148055000,0.147105000,0.150175000,0.503297000,0.503297000,0.503297000,0.148055000
c,avx2,int,262144,15,0.243212000,0.232056000,0.262119000,0.500413000,0.500413000,0.500413000,0.243212000
c,avx2,int,1048576,15,0.314186000,0.313848000,0.314509000,0.500104000,0.500104000,0.500104000,0.314186000
c,avx2,int,8388608,15,0.485674000,0.480894000,0.568351000,0.500014000,0.500014000,0.500014000,0.485674000
c,avx2,int,67108864,15,0.658036000,0.657144000,0.669064000,0.500002000,0.500002000,0.500002000,0.658036000
c,avx2,short,32768,15,0.075643900,0.075462500,0.076226500,0.252625000,0.252625000,0.252625000,0.075643900
c,avx2,short,262144,15,0.119271000,0.104180000,0.134999000,0.250328000,0.250328000,0.250328000,0.119271000
c,avx2,short,1048576,15,0.157047000,0.156910000,0.157226000,0.250082000,0.250082000,0.250082000,0.157047000
c,avx2,short,8388608,15,0.243897000,0.241265000,0.283819000,0.250011000,0.250011000,0.250011000,0.243897000
c,avx2,short,67108864,15,0.329135000,0.328421000,0.330954000,0.250002000,0.250002000,0.250002000,0.329135000
c,avx2,string16,32768,15,1.012800000,1.012630000,1.016740000,3.511230000,3.511230000,3.511230000,1.012800000
c,avx2,string16,262144,15,1.231640000,1.158780000,1.289140000,3.501410000,3.501410000,3.501410000,1.231640000
c,avx2,string16,1048576,15,1.422190000,1.420460000,1.424860000,3.500350000,3.500350000,3.500350000,1.422190000
c,avx2,string16,8388608,15,2.119190000,2.099230000,2.331800000,3.500050000,3.500050000,3.500050000,2.119190000
c,avx2,string16,67108864,15,2.688560000,2.684780000,2.697070000,3.500010000,3.500010000,3.500010000,2.688560000
c,scalar,double,32768,15,3.000640000,3.000200000,3.002550000,4.001710000,4.001710000,4.001710000,3.000640000
c,scalar,double,262144,15,3.000330000,3.000130000,3.000640000,4.000220000,4.000220000,4.000220000,3.000330000
c,scalar,double,1048576,15,3.001040000,3.000340000,3.001530000,4.000050000,4.000050000,4.000050000,3.001040000
c,scalar,double,8388608,15,3.222710000,3.210900000,3.240690000,4.000010000,4.000010000,4.000010000,3.222710000
c,scalar,double,67108864,15,3.279220000,3.275080000,3.280720000,4.000000000,4.000000000,4.000000000,3.279220000
c,scalar,float,32768,15,3.001160000,3.000260000,3.014170000,4.000860000,4.000860000,4.000860000,3.001160000
c,scalar,float,262144,15,3.000170000,3.000130000,3.000310000,4.000110000,4.000110000,4.000110000,3.000170000
c,scalar,float,1048576,15,3.000520000,3.000150000,3.000680000,4.000030000,4.000030000,4.000030000,3.000520000
c,scalar,float,8388608,15,3.087440000,3.078440000,3.115230000,4.000000000,4.000000000,4.000000000,3.087440000
c,scalar,float,67108864,15,3.129690000,3.129360000,3.133030000,4.000000000,4.000000000,4.000000000,3.129690000
c,scalar,int,32768,15,1.274590000,1.273950000,1.276800000,4.000610000,4.000610000,4.000610000,1.274590000
c,scalar,int,262144,15,1.290160000,1.288420000,1.291230000,4.000080000,4.000080000,4.000080000,1.290160000
c,scalar,int,1048576,15,1.301350000,1.301090000,1.302140000,4.000020000,4.000020000,4.000020000,1.301350000
c,scalar,int,8388608,15,1.427550000,1.424520000,1.444410000,4.000000000,4.000000000,4.000000000,1.427550000
c,scalar,int,67108864,15,1.466580000,1.463190000,1.479060000,4.000000000,4.000000000,4.000000000,1.466580000
c,scalar,short,32768,15,1.275080000,1.274530000,1.276030000,4.000310000,4.000310000,4.000310000,1.275080000
c,scalar,short,262144,15,1.295450000,1.294770000,1.296090000,4.000040000,4.000040000,4.000040000,1.295450000
c,scalar,short,1048576,15,1.300550000,1.300140000,1.304070000,4.000010000,4.000010000,4.000010000,1.300550000
c,scalar,short,8388608,15,1.369760000,1.357010000,1.382940000,4.000000000,4.000000000,4.000000000,1.369760000
c,scalar,short,67108864,15,1.379740000,1.378900000,1.380760000,4.000000000,4.000000000,4.000000000,1.379740000
c,scalar,string16,32768,15,15.006100000,15.001800000,15.024500000,36.003900000,36.003900000,36.003900000,15.006100000
c,scalar,string16,262144,15,15.005600000,15.002500000,15.009300000,36.000500000,36.000500000,36.000500000,15.005600000
c,scalar,string16,1048576,15,15.037600000,15.036500000,15.038800000,36.000100000,36.000100000,36.000100000,15.037600000
c,scalar,string16,8388608,15,15.557300000,15.450500000,15.578600000,36.000000000,36.000000000,36.000000000,15.557300000
c,scalar,string16,67108864,15,15.616600000,15.607600000,15.629300000,36.000000000,36.000000000,36.000000000,15.616600000
clangpp,scalar,double,32768,15,3.000270000,3.000040000,3.001740000,1.377200000,1.377200000,1.377200000,3.000270000
clangpp,scalar,double,262144,15,3.000240000,3.000100000,3.000300000,1.375280000,1.375280000,1.375280000,3.000240000
clangpp,scalar,double,1048576,15,3.000590000,3.000330000,3.000790000,1.375070000,1.375070000,1.375070000,3.000590000
clangpp,scalar,double,8388608,15,3.140500000,3.128590000,3.155350000,1.375010000,1.375010000,1.375010000,3.140500000
clangpp,scalar,double,67108864,15,3.186150000,3.185370000,3.187860000,1.375010000,1.375010000,1.375010000,3.186150000
clangpp,scalar,float,32768,15,3.000330000,3.000080000,3.001740000,1.376100000,1.376100000,1.376100000,3.000330000
clangpp,scalar,float,262144,15,3.000140000,3.000090000,3.000170000,1.375140000,1.375140000,1.375140000,3.000140000
clangpp,scalar,float,1048576,15,3.000340000,3.000180000,3.000490000,1.375040000,1.375040000,1.375040000,3.000340000
clangpp,scalar,float,8388608,15,3.054020000,3.047900000,3.069940000,1.375010000,1.375010000,1.375010000,3.054020000
clangpp,scalar,float,67108864,15,3.083890000,3.083210000,3.086020000,1.375000000,1.375000000,1.375000000,3.083890000
clangpp,scalar,int,32768,15,1.000330000,1.000050000,1.003250000,1.376100000,1.376100000,1.376100000,1.000330000
clangpp,scalar,int,262144,15,1.003320000,1.001880000,1.004170000,1.375140000,1.375140000,1.375140000,1.003320000
clangpp,scalar,int,1048576,15,1.013350000,1.012660000,1.013760000,1.375040000,1.375040000,1.375040000,1.013350000
clangpp,scalar,int,8388608,15,1.148020000,1.144180000,1.263230000,1.375010000,1.375010000,1.375010000,1.148020000
clangpp,scalar,int,67108864,15,1.236980000,1.235650000,1.249420000,1.375000000,1.375000000,1.375000000,1.236980000
clangpp,scalar,short,32768,15,1.000220000,1.000100000,1.000560000,1.375550000,1.375550000,1.375550000,1.000220000
clangpp,scalar,short,262144,15,1.000630000,1.000550000,1.000760000,1.375070000,1.375070000,1.375070000,1.000630000
clangpp,scalar,short,1048576,15,1.004440000,1.004130000,1.004560000,1.375020000,1.375020000,1.375020000,1.004440000
clangpp,scalar,short,8388608,15,1.071810000,1.068050000,1.088190000,1.375000000,1.375000000,1.375000000,1.071810000
clangpp,scalar,short,67108864,15,1.091570000,1.091380000,1.093370000,1.375000000,1.375000000,1.375000000,1.091570000
