sample_id,round,compiler,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r01-o01-clang18_scalar-6291456,1,clang18_scalar,6291456,1221,120029184,652754226,257963754663396029,257963754663396029,1432748585,630154337,1432748592,652789198,652789198,1
r01-o02-gcc13_scalar-262144,1,gcc13_scalar,262144,85450,350003200,527039035,756379970254730359,756379970254730359,1156810889,2712525119,1156810908,527068329,527068329,1
r01-o03-clang18_scalar-32768,1,clang18_scalar,32768,878907,450000384,282092983,995719398065972051,995719398065972051,619177085,2362503137,619177086,282122834,282122834,1
r01-o04-clang18_auto-6291456,1,clang18_auto,6291456,1221,120029184,771570739,257963754663396029,257963754663396029,1693541098,630154337,1693541102,771606556,771606556,1
r01-o05-clang18_auto-1048576,1,clang18_auto,1048576,15259,250003456,620488186,540782577536582989,540782577536582989,1361926779,1312519265,1361926764,620521933,620521933,1
r01-o06-clang18_scalar-536870912,1,clang18_scalar,536870912,3,25165824,308849507,54016160691990295,54016160691990295,677906121,132121697,677906130,308885419,308885419,1
r01-o07-clang18_auto-36864,1,clang18_auto,36864,781250,450000000,377216768,996272629659386701,996272629659386701,827965798,2362501121,827965820,377247486,377247486,1
r01-o08-gcc13_auto-32768,1,gcc13_auto,32768,878907,450000384,436460943,995719398065972051,995719398065972051,958000664,3487503295,958000648,436491501,436491501,1
r01-o09-gcc13_auto-262144,1,gcc13_auto,262144,85450,350003200,529451071,756379970254730359,756379970254730359,1162104928,2712525119,1162104922,529481726,529481726,1
r01-o10-gcc13_auto-536870912,1,gcc13_auto,536870912,3,25165824,316315445,54016160691990295,54016160691990295,694290980,195035455,694291004,316350506,316350506,1
r01-o11-gcc13_auto-1048576,1,gcc13_auto,1048576,15259,250003456,690822835,540782577536582989,540782577536582989,1516303035,1937527103,1516303030,690853383,690853383,1
r01-o12-clang18_scalar-8388608,1,clang18_scalar,8388608,916,120061952,761547168,257992015106286337,257992015106286337,1671538952,630326369,1671538924,761579998,761579998,1
r01-o13-clang18_scalar-1048576,1,clang18_scalar,1048576,15259,250003456,619339643,540782577536582989,540782577536582989,1359405537,1312519265,1359405542,619371005,619371005,1
r01-o14-clang18_auto-8388608,1,clang18_auto,8388608,916,120061952,915641032,257992015106286337,257992015106286337,2009761928,630326369,2009761930,915674382,915674382,1
r01-o15-gcc13_auto-8388608,1,gcc13_auto,8388608,916,120061952,824114145,257992015106286337,257992015106286337,1808867274,930480447,1808867280,824148619,824148619,1
r01-o16-gcc13_scalar-36864,1,gcc13_scalar,36864,781250,450000000,526800921,996272629659386701,996272629659386701,1156288279,3487500319,1156288254,526829483,526829483,1
r01-o17-clang18_auto-32768,1,clang18_auto,32768,878907,450000384,281922684,995719398065972051,995719398065972051,618803035,2362503137,618802998,281952783,281952783,1
