compiler,footprint_bytes,repetitions,median_ns_per_operation,p10_ns_per_operation,p90_ns_per_operation,median_cycles_per_operation,p10_cycles_per_operation,p90_cycles_per_operation,median_instructions_per_operation,median_ref_cycles_per_operation
clang18_auto,32768,15,0.627001000,0.626506000,0.629491000,1.376230000,1.375140000,1.381690000,5.250000000,1.376230000
clang18_auto,36864,15,0.839047000,0.837151000,0.839900000,1.841650000,1.837490000,1.843520000,5.250000000,1.841650000
clang18_auto,262144,15,1.209500000,1.088040000,1.726270000,2.654780000,2.388170000,3.789030000,5.250000000,2.654780000
clang18_auto,1048576,15,2.481730000,2.476000000,2.491520000,5.447230000,5.434640000,5.468700000,5.250000000,5.447230000
clang18_auto,6291456,15,5.195340000,4.622040000,8.611910000,11.403400000,10.145100000,18.902500000,5.250010000,11.403400000
clang18_auto,8388608,15,7.163740000,6.529350000,7.470400000,15.723900000,14.331400000,16.397000000,5.250010000,15.723900000
clang18_auto,536870912,15,12.306500000,12.276200000,12.584600000,27.011900000,26.945500000,27.622500000,5.250040000,27.011900000
clang18_scalar,32768,15,0.626598000,0.626464000,0.628134000,1.375340000,1.375050000,1.378710000,5.250000000,1.375340000
clang18_scalar,36864,15,0.838681000,0.835047000,0.839390000,1.840850000,1.832870000,1.842400000,5.250000000,1.840850000
clang18_scalar,262144,15,1.231680000,1.054350000,1.634430000,2.703450000,2.314240000,3.587450000,5.250000000,2.703450000
clang18_scalar,1048576,15,2.481640000,2.476220000,2.485040000,5.447030000,5.435120000,5.454480000,5.250000000,5.447030000
clang18_scalar,6291456,15,5.250010000,4.776550000,6.296000000,11.523400000,10.484200000,13.819300000,5.250010000,11.523400000
clang18_scalar,8388608,15,6.777260000,6.342950000,7.472710000,14.875600000,13.922300000,16.402000000,5.250010000,14.875600000
clang18_scalar,536870912,15,12.286800000,12.271100000,12.420700000,26.968800000,26.934400000,27.262800000,5.250040000,26.968800000
gcc13_auto,32768,15,0.968489000,0.968185000,0.970326000,2.125760000,2.125090000,2.129790000,7.750000000,2.125760000
gcc13_auto,36864,15,1.168520000,1.162910000,1.169640000,2.564830000,2.552490000,2.567280000,7.750000000,2.564830000
gcc13_auto,262144,15,1.566130000,1.512700000,1.908790000,3.437540000,3.320270000,4.189640000,7.750000000,3.437540000
gcc13_auto,1048576,15,2.766170000,2.763350000,2.769090000,6.071520000,6.065340000,6.077940000,7.750000000,6.071520000
gcc13_auto,6291456,15,6.039600000,4.970020000,9.902580000,13.256500000,10.908800000,21.735400000,7.750000000,13.256500000
gcc13_auto,8388608,15,7.245490000,6.602390000,7.877080000,15.903300000,14.491700000,17.289600000,7.750000000,15.903300000
gcc13_auto,536870912,15,12.574700000,12.566800000,12.996800000,27.600500000,27.583300000,28.527100000,7.750010000,27.600500000
gcc13_scalar,32768,15,0.968429000,0.968258000,0.978396000,2.125630000,2.125250000,2.147510000,7.750000000,2.125630000
gcc13_scalar,36864,15,1.166180000,1.164680000,1.170670000,2.559680000,2.556400000,2.569530000,7.750000000,2.559680000
gcc13_scalar,262144,15,1.505810000,1.382090000,1.920880000,3.305140000,3.033580000,4.216180000,7.750000000,3.305140000
gcc13_scalar,1048576,15,2.767120000,2.763770000,2.782200000,6.073610000,6.066270000,6.106720000,7.750000000,6.073610000
gcc13_scalar,6291456,15,5.430560000,5.066680000,6.842720000,11.919700000,11.121000000,15.019200000,7.750000000,11.919700000
gcc13_scalar,8388608,15,7.002120000,6.822080000,7.997130000,15.369100000,14.973900000,17.553100000,7.750000000,15.369100000
gcc13_scalar,536870912,15,12.645300000,12.569600000,13.368800000,27.755600000,27.589400000,29.343600000,7.750010000,27.755600000
