sample_id,round,variant,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r01-o01-gcc13_lane1-6291456,1,gcc13_lane1,6291456,102,10027008,446859041,21549733755203228,21549733755203228,980823260,90243355,980823228,446891876,446891876,1
r01-o02-gcc13_lane1-36864,1,gcc13_lane1,36864,173612,100000512,722514119,221395076082124221,221395076082124221,1585862621,900004891,1585862652,722543214,722543214,1
r01-o03-gcc13_lane8-1048576,1,gcc13_lane8,1048576,15259,250003456,691833180,540782577536582989,540782577536582989,1518520224,1937527103,1518520212,691863579,691863579,1
r01-o04-gcc13_lane8-32768,1,gcc13_lane8,32768,683594,350000128,338979967,774447998133594241,774447998133594241,744036835,2712501311,744036854,339009546,339009546,1
r01-o05-gcc13_lane8-6291456,1,gcc13_lane8,6291456,1221,120029184,776197935,257963754663396029,257963754663396029,1703694665,930226495,1703694674,776232373,776232373,1
r01-o06-gcc13_lane8-536870912,1,gcc13_lane8,536870912,3,25165824,316703564,54016160691990295,54016160691990295,695142683,195035455,695142690,316736246,316736246,1
r01-o07-gcc13_lane1-262144,1,gcc13_lane1,262144,9766,40001536,424388302,86445885965269521,86445885965269521,931500882,360014107,931500900,424415743,424415743,1
r01-o08-gcc13_lane8-36864,1,gcc13_lane8,36864,607639,350000064,407943692,774878977565100034,774878977565100034,895406978,2712500815,895406974,407974468,407974468,1
r01-o09-gcc13_lane8-262144,1,gcc13_lane8,262144,85450,350003200,538828866,756379970254730359,756379970254730359,1182688379,2712525119,1182688408,538857541,538857541,1
r01-o10-gcc13_lane1-8388608,1,gcc13_lane1,8388608,62,8126464,462468707,17462239205602153,17462239205602153,1015084810,73138459,1015084796,462501418,462501418,1
r01-o11-gcc13_lane1-1048576,1,gcc13_lane1,1048576,1221,20004864,420571501,43272497840938563,43272497840938563,923124425,180044059,923124466,420603166,420603166,1
r01-o12-gcc13_lane1-536870912,1,gcc13_lane1,536870912,1,8388608,854923105,18012249170480756,18012249170480756,1876489859,75497755,1876489846,854954349,854954349,1
r01-o13-gcc13_lane1-32768,1,gcc13_lane1,32768,195313,100000256,373642947,221271359518073939,221271359518073939,820119589,900002587,820119586,373672946,373672946,1
r01-o14-gcc13_lane8-8388608,1,gcc13_lane8,8388608,916,120061952,1173394955,257992015106286337,257992015106286337,2575509166,930480447,2575509134,1173428724,1173428724,1
r02-o01-gcc13_lane8-8388608,2,gcc13_lane8,8388608,916,120061952,974112037,257992015106286337,257992015106286337,2138099874,930480447,2138099832,974145621,974145621,1
r02-o02-gcc13_lane1-536870912,2,gcc13_lane1,536870912,1,8388608,835704736,18012249170480756,18012249170480756,1834307642,75497755,1834307662,835738459,835738459,1
r02-o03-gcc13_lane1-36864,2,gcc13_lane1,36864,173612,100000512,722226699,221395076082124221,221395076082124221,1585231586,900004891,1585231582,722256313,722256313,1
r02-o04-gcc13_lane1-32768,2,gcc13_lane1,32768,195313,100000256,366703686,221271359518073939,221271359518073939,804888665,900002587,804888700,366733656,366733656,1
r02-o05-gcc13_lane8-1048576,2,gcc13_lane8,1048576,15259,250003456,693470175,540782577536582989,540782577536582989,1522114208,1937527103,1522114198,693502216,693502216,1
r02-o06-gcc13_lane8-536870912,2,gcc13_lane8,536870912,3,25165824,318679274,54016160691990295,54016160691990295,699479294,195035455,699479286,318712008,318712008,1
r02-o07-gcc13_lane1-262144,2,gcc13_lane1,262144,9766,40001536,427609421,86445885965269521,86445885965269521,938571906,360014107,938571920,427640369,427640369,1
r02-o08-gcc13_lane8-262144,2,gcc13_lane8,262144,85450,350003200,659858819,756379970254730359,756379970254730359,1448339914,2712525119,1448339926,659889786,659889786,1
r02-o09-gcc13_lane8-6291456,2,gcc13_lane8,6291456,1221,120029184,678246309,257963754663396029,257963754663396029,1488698330,930226495,1488698354,678278418,678278418,1
r02-o10-gcc13_lane8-32768,2,gcc13_lane8,32768,683594,350000128,338968284,774447998133594241,774447998133594241,744011403,2712501311,744011422,338997591,338997591,1
r02-o11-gcc13_lane1-1048576,2,gcc13_lane1,1048576,1221,20004864,421331153,43272497840938563,43272497840938563,924791625,180044059,924791648,421363472,421363472,1
r02-o12-gcc13_lane1-8388608,2,gcc13_lane1,8388608,62,8126464,421381715,17462239205602153,17462239205602153,924902269,73138459,924902286,421413701,421413701,1
