variant,footprint_bytes,repetitions,median_ns_per_operation,p10_ns_per_operation,p90_ns_per_operation,median_cycles_per_operation,p10_cycles_per_operation,p90_cycles_per_operation,median_instructions_per_operation,median_ref_cycles_per_operation
gcc13_lane1,32768,15,3.670080000,3.657680000,3.759820000,8.055570000,8.028350000,8.252550000,9.000000000,8.055570000
gcc13_lane1,36864,15,7.225930000,7.217200000,7.241860000,15.860400000,15.841200000,15.895300000,9.000000000,15.860400000
gcc13_lane1,262144,15,10.605300000,9.300160000,15.726200000,23.277900000,20.413200000,34.517700000,9.000010000,23.277900000
gcc13_lane1,1048576,15,20.968000000,20.907500000,21.839300000,46.023300000,45.890400000,47.935700000,9.000010000,46.023300000
gcc13_lane1,6291456,15,44.565500000,39.882200000,61.453800000,97.818100000,87.538600000,134.887000000,9.000030000,97.818100000
gcc13_lane1,8388608,15,54.435100000,51.853000000,72.209400000,119.481000000,113.814000000,158.493000000,9.000030000,119.481000000
gcc13_lane1,536870912,15,100.220000000,98.996500000,102.159000000,219.974000000,217.290000000,224.231000000,9.000030000,219.974000000
gcc13_lane8,32768,15,0.968801000,0.968223000,0.983463000,2.126450000,2.125180000,2.158630000,7.750000000,2.126450000
gcc13_lane8,36864,15,1.166860000,1.164320000,1.172110000,2.561170000,2.555590000,2.572700000,7.750000000,2.561170000
gcc13_lane8,262144,15,1.559270000,1.271060000,1.988420000,3.422480000,2.789880000,4.364430000,7.750000000,3.422480000
gcc13_lane8,1048576,15,2.767680000,2.762440000,2.811710000,6.074850000,6.063330000,6.171480000,7.750000000,6.074850000
gcc13_lane8,6291456,15,6.389180000,5.417620000,8.058760000,14.023800000,11.891300000,17.688400000,7.750000000,14.023800000
gcc13_lane8,8388608,15,7.153950000,6.706120000,8.113410000,15.702400000,14.719400000,17.808300000,7.750000000,15.702400000
gcc13_lane8,536870912,15,12.617300000,12.562400000,16.441300000,27.694100000,27.573700000,36.087600000,7.750010000,27.694100000
