round,sample_id,language,footprint_bytes,passes,target_operations,shuffle_key
1,r01-o01-rust-6291456,rust,6291456,1221,120000000,0025717295
1,r01-o02-c-262144,c,262144,85450,350000000,0121193505
1,r01-o03-rust-32768,rust,32768,683594,350000000,0153768444
1,r01-o04-go-6291456,go,6291456,1221,120000000,0153998979
1,r01-o05-go-1048576,go,1048576,15259,250000000,0260103230
1,r01-o06-rust-536870912,rust,536870912,3,24000000,0282339722
1,r01-o07-go-36864,go,36864,607639,350000000,0328102030
1,r01-o08-cpp-32768,cpp,32768,683594,350000000,0349056586
1,r01-o09-cpp-262144,cpp,262144,85450,350000000,0386225427
1,r01-o10-cpp-536870912,cpp,536870912,3,24000000,0403690600
1,r01-o11-cpp-1048576,cpp,1048576,15259,250000000,0443292937
1,r01-o12-rust-8388608,rust,8388608,916,120000000,0510826905
1,r01-o13-rust-1048576,rust,1048576,15259,250000000,0666303219
1,r01-o14-go-8388608,go,8388608,916,120000000,0718296401
1,r01-o15-cpp-8388608,cpp,8388608,916,120000000,0751547556
1,r01-o16-c-36864,c,36864,607639,350000000,0846759907
1,r01-o17-go-32768,go,32768,683594,350000000,0853076292
1,r01-o18-go-536870912,go,536870912,3,24000000,0889496800
1,r01-o19-cpp-36864,cpp,36864,607639,350000000,0891217446
1,r01-o20-rust-262144,rust,262144,85450,350000000,1182047110
1,r01-o21-c-8388608,c,8388608,916,120000000,1243813042
1,r01-o22-c-6291456,c,6291456,1221,120000000,1253614968
1,r01-o23-cpp-6291456,cpp,6291456,1221,120000000,1453915162
1,r01-o24-rust-36864,rust,36864,607639,350000000,1564919162
1,r01-o25-c-1048576,c,1048576,15259,250000000,1645578420
1,r01-o26-c-32768,c,32768,683594,350000000,1669733490
1,r01-o27-c-536870912,c,536870912,3,24000000,1762091856
1,r01-o28-go-262144,go,262144,85450,350000000,2103029667
2,r02-o01-go-262144,go,262144,85450,350000000,0120478140
2,r02-o02-c-1048576,c,1048576,15259,250000000,0214579864
2,r02-o03-rust-32768,rust,32768,683594,350000000,0276179925
2,r02-o04-c-32768,c,32768,683594,350000000,0282656108
2,r02-o05-go-36864,go,36864,607639,350000000,0372096274
2,r02-o06-cpp-8388608,cpp,8388608,916,120000000,0487666281
