sample_id,round,language,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r01-o01-rust-6291456,1,rust,6291456,1221,120029184,645644372,257963754663396029,257963754663396029,1417140931,945230172,1417140934,645679837,645679837,1
r01-o02-c-262144,1,c,262144,85450,350003200,444583876,756379970254730359,756379970254730359,975829423,2187520337,975829426,444612816,444612816,1
r01-o03-rust-32768,1,rust,32768,683594,350000128,299743543,774447998133594241,774447998133594241,657917402,2756251356,657917436,299775645,299775645,1
r01-o04-go-6291456,1,go,6291456,1221,120029184,704658161,257963754663396029,257963754663396029,1542177280,2715729453,1542177252,703785020,703785020,true
r01-o05-go-1048576,1,go,1048576,15259,250003456,771119586,540782577536582989,540782577536582989,1688901606,5656409483,1688902204,770561104,770561104,true
r01-o06-rust-536870912,1,rust,536870912,3,25165824,324131239,54016160691990295,54016160691990295,711446236,198181212,711446230,324165785,324165785,1
r01-o07-go-36864,1,go,36864,607639,350000064,1018494414,774878977565100034,774878977565100034,2231418592,7918857148,2231419058,1017847031,1017847031,true
r01-o08-cpp-32768,1,cpp,32768,683594,350000128,338888340,774447998133594241,774447998133594241,743835975,2712501311,743835950,338916580,338916580,1
r01-o09-cpp-262144,1,cpp,262144,85450,350003200,492020714,756379970254730359,756379970254730359,1079949331,2712525119,1079949354,492050876,492050876,1
r01-o10-cpp-536870912,1,cpp,536870912,3,25165824,316391145,54016160691990295,54016160691990295,694456916,195035455,694456928,316424395,316424395,1
r01-o11-cpp-1048576,1,cpp,1048576,15259,250003456,693350631,540782577536582989,540782577536582989,1521851621,1937527103,1521851606,693380803,693380803,1
r01-o12-rust-8388608,1,rust,8388608,916,120061952,812217455,257992015106286337,257992015106286337,1782754919,945488220,1782754930,812252319,812252319,1
r01-o13-rust-1048576,1,rust,1048576,15259,250003456,623464392,540782577536582989,540782577536582989,1368456807,1968777564,1368456826,623494033,623494033,1
r01-o14-go-8388608,1,go,8388608,916,120061952,947442171,257992015106286337,257992015106286337,2073575257,2716488493,2073575262,946302864,946302864,true
r01-o15-cpp-8388608,1,cpp,8388608,916,120061952,886043467,257992015106286337,257992015106286337,1944796119,930480447,1944796106,886075253,886075253,1
r01-o16-c-36864,1,c,36864,607639,350000064,326230284,774878977565100034,774878977565100034,716052145,2187500737,716052128,326258336,326258336,1
r01-o17-go-32768,1,go,32768,683594,350000128,1019565406,774447998133594241,774447998133594241,2233356782,7918859853,2233357896,1018809201,1018809201,true
r01-o18-go-536870912,1,go,536870912,3,25165824,325328177,54016160691990295,54016160691990295,712205886,569407566,712205912,325008188,325008188,true
r01-o19-cpp-36864,1,cpp,36864,607639,350000064,407733432,774878977565100034,774878977565100034,894945678,2712500815,894945656,407762747,407762747,1
r01-o20-rust-262144,1,rust,262144,85450,350003200,439472724,756379970254730359,756379970254730359,964610535,2756275548,964610570,439503748,439503748,1
r01-o21-c-8388608,1,c,8388608,916,120061952,900260973,257992015106286337,257992015106286337,1976002621,750387537,1976002600,900293443,900293443,1
r01-o22-c-6291456,1,c,6291456,1221,120029184,607291129,257963754663396029,257963754663396029,1332958011,750182737,1332958000,607323430,607323430,1
r01-o23-cpp-6291456,1,cpp,6291456,1221,120029184,719724449,257963754663396029,257963754663396029,1579739525,930226495,1579739546,719757257,719757257,1
r01-o24-rust-36864,1,rust,36864,607639,350000064,299894226,774878977565100034,774878977565100034,658246725,2756250852,658246710,299922242,299922242,1
r01-o25-c-1048576,1,c,1048576,15259,250003456,620831949,540782577536582989,540782577536582989,1362679484,1562521937,1362679494,620863690,620863690,1
r01-o26-c-32768,1,c,32768,683594,350000128,277746110,774447998133594241,774447998133594241,609633069,2187501137,609633090,277772196,277772196,1
r01-o27-c-536870912,1,c,536870912,3,25165824,311891310,54016160691990295,54016160691990295,684580377,157286737,684580358,311924207,311924207,1
r01-o28-go-262144,1,go,262144,85450,350003200,1024220305,756379970254730359,756379970254730359,2243271669,7918928463,2243272262,1023409803,1023409803,true
r02-o01-go-262144,2,go,262144,85450,350003200,1020462381,756379970254730359,756379970254730359,2235121084,7918926951,2235121834,1019659666,1019659666,true
r02-o02-c-1048576,2,c,1048576,15259,250003456,622568186,540782577536582989,540782577536582989,1366490116,1562521937,1366490114,622597822,622597822,1
r02-o03-rust-32768,2,rust,32768,683594,350000128,299017322,774447998133594241,774447998133594241,656322256,2756251356,656322282,299045872,299045872,1
r02-o04-c-32768,2,c,32768,683594,350000128,277967711,774447998133594241,774447998133594241,610119834,2187501137,610119818,277994594,277994594,1
r02-o05-go-36864,2,go,36864,607639,350000064,1018665112,774878977565100034,774878977565100034,2231601164,7918857552,2231601856,1017946147,1017946147,true
r02-o06-cpp-8388608,2,cpp,8388608,916,120061952,827603064,257992015106286337,257992015106286337,1816524428,930480447,1816524446,827637185,827637185,1
r02-o07-go-8388608,2,go,8388608,916,120061952,842033593,257992015106286337,257992015106286337,1841450420,2716477218,1841450006,841033535,841033535,true
r02-o08-go-1048576,2,go,1048576,15259,250003456,772906458,540782577536582989,540782577536582989,1692610316,5656406494,1692610678,772250147,772250147,true
r02-o09-cpp-1048576,2,cpp,1048576,15259,250003456,692827811,540782577536582989,540782577536582989,1520703683,1937527103,1520703668,692857966,692857966,1
r02-o10-go-6291456,2,go,6291456,1221,120029184,805366237,257963754663396029,257963754663396029,1762473134,2715736169,1762473042,804391087,804391087,true
r02-o11-rust-536870912,2,rust,536870912,3,25165824,310643549,54016160691990295,54016160691990295,681841869,198181212,681841864,310678060,310678060,1
r02-o12-rust-1048576,2,rust,1048576,15259,250003456,621062921,540782577536582989,540782577536582989,1363186016,1968777564,1363186022,621092453,621092453,1
r02-o13-c-36864,2,c,36864,607639,350000064,326918158,774878977565100034,774878977565100034,717562864,2187500737,717562868,326947107,326947107,1
r02-o14-cpp-36864,2,cpp,36864,607639,350000064,410553560,774878977565100034,774878977565100034,901135245,2712500815,901135268,410583126,410583126,1
r02-o15-rust-6291456,2,rust,6291456,1221,120029184,732014134,257963754663396029,257963754663396029,1606715118,945230172,1606715088,732049804,732049804,1
r02-o16-cpp-262144,2,cpp,262144,85450,350003200,543275246,756379970254730359,756379970254730359,1192449050,2712525119,1192449104,543304263,543304263,1
r02-o17-cpp-32768,2,cpp,32768,683594,350000128,339345656,774447998133594241,774447998133594241,744839252,2712501311,744839282,339372313,339372313,1
r02-o18-go-536870912,2,go,536870912,3,25165824,323167441,54016160691990295,54016160691990295,707573024,569408712,707573020,322914486,322914486,true
r02-o19-c-6291456,2,c,6291456,1221,120029184,671960541,257963754663396029,257963754663396029,1474902122,750182737,1474902132,671993818,671993818,1
r02-o20-cpp-536870912,2,cpp,536870912,3,25165824,419377485,54016160691990295,54016160691990295,920503503,195035455,920503496,419411467,419411467,1
r02-o21-c-536870912,2,c,536870912,3,25165824,394639684,54016160691990295,54016160691990295,866157385,157286739,866157402,394676531,394676531,1
r02-o22-rust-36864,2,rust,36864,607639,350000064,301607015,774878977565100034,774878977565100034,662006684,2756250852,662006664,301637952,301637952,1
r02-o23-rust-8388608,2,rust,8388608,916,120061952,1252709768,257992015106286337,257992015106286337,2749598765,945488220,2749598764,1252744911,1252744911,1
r02-o24-rust-262144,2,rust,262144,85450,350003200,590749429,756379970254730359,756379970254730359,1296650279,2756275548,1296650278,590780371,590780371,1
r02-o25-c-8388608,2,c,8388608,916,120061952,906488420,257992015106286337,257992015106286337,1989671031,750387537,1989671024,906520035,906520035,1
r02-o26-cpp-6291456,2,cpp,6291456,1221,120029184,711628289,257963754663396029,257963754663396029,1561969087,930226495,1561969112,711660025,711660025,1
r02-o27-go-32768,2,go,32768,683594,350000128,1018158383,774447998133594241,774447998133594241,2230780712,7918859634,2230781344,1017498244,1017498244,true
r02-o28-c-262144,2,c,262144,85450,350003200,436449875,756379970254730359,756379970254730359,957975889,2187520337,957975876,436477913,436477913,1
r03-o01-c-8388608,3,c,8388608,916,120061952,789114589,257992015106286337,257992015106286337,1732045706,750387537,1732045722,789148836,789148836,1
r03-o02-rust-262144,3,rust,262144,85450,350003200,445309362,756379970254730359,756379970254730359,977421396,2756275548,977421390,445340873,445340873,1
r03-o03-cpp-6291456,3,cpp,6291456,1221,120029184,992161765,257963754663396029,257963754663396029,2177717432,930226495,2177717454,992194137,992194137,1
r03-o04-cpp-8388608,3,cpp,8388608,916,120061952,884139832,257992015106286337,257992015106286337,1940617565,930480447,1940617558,884172739,884172739,1
r03-o05-go-262144,3,go,262144,85450,350003200,1023858802,756379970254730359,756379970254730359,2242699634,7918927343,2242700504,1023126800,1023126800,true
r03-o06-go-8388608,3,go,8388608,916,120061952,874719816,257992015106286337,257992015106286337,1912978281,2716481126,1912977726,873720271,873720271,true
r03-o07-rust-32768,3,rust,32768,683594,350000128,299572428,774447998133594241,774447998133594241,657540194,2756251356,657540180,299601140,299601140,1
r03-o08-go-36864,3,go,36864,607639,350000064,1019196878,774878977565100034,774878977565100034,2231652730,7918857566,2231654766,1018541056,1018541056,true
r03-o09-rust-8388608,3,rust,8388608,916,120061952,801587615,257992015106286337,257992015106286337,1759423652,945488220,1759423644,801621756,801621756,1
r03-o10-c-536870912,3,c,536870912,3,25165824,310858238,54016160691990295,54016160691990295,682312703,157286737,682312708,310891410,310891410,1
r03-o11-go-1048576,3,go,1048576,15259,250003456,772321667,540782577536582989,540782577536582989,1691484111,5656405018,1691484542,771722281,771722281,true
r03-o12-cpp-1048576,3,cpp,1048576,15259,250003456,691357674,540782577536582989,540782577536582989,1517476907,1937527103,1517476928,691387560,691387560,1
r03-o13-c-1048576,3,c,1048576,15259,250003456,620189046,540782577536582989,540782577536582989,1361267723,1562521937,1361267710,620219064,620219064,1
r03-o14-rust-1048576,3,rust,1048576,15259,250003456,622382704,540782577536582989,540782577536582989,1366082735,1968777564,1366082740,622414283,622414283,1
r03-o15-cpp-36864,3,cpp,36864,607639,350000064,409250989,774878977565100034,774878977565100034,898275651,2712500815,898275620,409278860,409278860,1
r03-o16-c-36864,3,c,36864,607639,350000064,326285770,774878977565100034,774878977565100034,716175308,2187500737,716175328,326317638,326317638,1
r03-o17-c-32768,3,c,32768,683594,350000128,281142251,774447998133594241,774447998133594241,617087296,2187501137,617087328,281169848,281169848,1
