compiler,footprint_bytes,repetitions,median_ns_per_operation,p10_ns_per_operation,p90_ns_per_operation,median_cycles_per_operation,p10_cycles_per_operation,p90_cycles_per_operation,median_instructions_per_operation,median_ref_cycles_per_operation
clang18_auto,32768,15,3.187620000,3.186760000,3.194520000,6.996610000,6.994710000,7.011750000,6.250010000,6.996610000
clang18_auto,36864,15,8.170400000,8.168030000,8.172210000,17.933400000,17.928200000,17.937400000,6.250010000,17.933400000
clang18_auto,262144,15,14.256800000,10.705900000,15.738600000,31.292500000,23.498800000,34.545200000,6.250030000,31.292500000
clang18_auto,1048576,15,20.967500000,20.824300000,21.073200000,46.022100000,45.707900000,46.254100000,6.250050000,46.022100000
clang18_auto,6291456,15,49.600800000,42.543100000,59.221200000,108.870000000,93.379100000,129.986000000,6.250110000,108.870000000
clang18_auto,8388608,15,59.586700000,52.793200000,64.730200000,130.789000000,115.878000000,142.078000000,6.250130000,130.789000000
clang18_auto,536870912,15,107.290000000,106.860000000,112.283000000,235.494000000,234.549000000,246.453000000,6.250130000,235.494000000
clang18_scalar,32768,15,3.188100000,3.186900000,3.198420000,6.997680000,6.995030000,7.020320000,6.250010000,6.997680000
clang18_scalar,36864,15,8.170440000,8.169010000,8.173280000,17.933500000,17.930300000,17.939700000,6.250010000,17.933500000
clang18_scalar,262144,15,13.810000000,10.816600000,16.167100000,30.312000000,23.741700000,35.485500000,6.250030000,30.312000000
clang18_scalar,1048576,15,20.929500000,20.819200000,21.055200000,45.938700000,45.696800000,46.214600000,6.250050000,45.938700000
clang18_scalar,6291456,15,47.101400000,43.281300000,58.030200000,103.384000000,94.999400000,127.372000000,6.250110000,103.384000000
clang18_scalar,8388608,15,61.731700000,57.106400000,69.478200000,135.497000000,125.345000000,152.500000000,6.250130000,135.497000000
clang18_scalar,536870912,15,108.095000000,107.053000000,108.954000000,237.261000000,234.973000000,239.145000000,6.250130000,237.261000000
gcc13_auto,32768,15,3.400040000,3.399520000,3.406840000,7.462840000,7.461700000,7.477760000,12.000000000,7.462840000
gcc13_auto,36864,15,8.751930000,8.751280000,8.752510000,19.209800000,19.208400000,19.211100000,12.000000000,19.209800000
gcc13_auto,262144,15,11.248500000,10.460400000,14.951200000,24.689700000,22.959900000,32.816700000,12.000000000,24.689700000
gcc13_auto,1048576,15,21.052400000,20.876000000,21.258200000,46.208500000,45.821300000,46.660200000,12.000000000,46.208500000
gcc13_auto,6291456,15,45.425900000,42.830500000,53.339100000,99.706400000,94.009800000,117.075000000,12.000000000,99.706400000
gcc13_auto,8388608,15,59.271400000,56.367100000,69.071300000,130.096000000,123.722000000,151.606000000,12.000000000,130.096000000
gcc13_auto,536870912,15,107.253000000,107.080000000,111.451000000,235.413000000,235.032000000,244.627000000,12.000000000,235.413000000
gcc13_scalar,32768,15,3.399750000,3.399070000,3.400820000,7.462200000,7.460710000,7.464550000,12.000000000,7.462200000
gcc13_scalar,36864,15,8.751970000,8.751540000,8.752970000,19.209900000,19.208900000,19.212100000,12.000000000,19.209900000
gcc13_scalar,262144,15,11.312800000,10.724900000,15.092500000,24.830700000,23.540300000,33.126800000,12.000000000,24.830700000
gcc13_scalar,1048576,15,21.027200000,20.847200000,21.207900000,46.153100000,45.758100000,46.549800000,12.000000000,46.153100000
gcc13_scalar,6291456,15,50.574500000,44.451400000,72.129600000,111.007000000,97.567600000,158.319000000,12.000000000,111.007000000
gcc13_scalar,8388608,15,57.674700000,52.736700000,64.694600000,126.592000000,115.753000000,141.906000000,12.000000000,126.592000000
gcc13_scalar,536870912,15,108.581000000,107.636000000,130.580000000,238.328000000,236.252000000,286.612000000,12.000000000,238.328000000
