sample_id,round,language,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r01-o01-rust-6291456,1,rust,6291456,102,10027008,657727792,21549733755203228,21549733755203228,1443662942,120324382,1443662968,657763026,657763026,1
r01-o02-c-262144,1,c,262144,9766,40001536,606901450,86445885965269521,86445885965269521,1332101963,480018717,1332101936,606928351,606928351,1
r01-o03-rust-32768,1,rust,32768,195313,100000256,297289427,221271359518073939,221271359518073939,652529181,1200003358,652529174,297315822,297315822,1
r01-o04-go-6291456,1,go,6291456,102,10027008,750671325,21549733755203228,21549733755203228,1641770857,471351658,1641770834,749601386,749601386,true
r01-o05-go-1048576,1,go,1048576,1221,20004864,530535655,43272497840938563,43272497840938563,1160295462,940277165,1160295730,529798138,529798138,true
r01-o06-rust-536870912,1,rust,536870912,1,8388608,916464795,18012249170480756,18012249170480756,2011568882,100663582,2011568878,916499123,916499123,1
r01-o07-go-36864,1,go,36864,173612,100000512,1449553995,221395076082124221,221395076082124221,3174139428,4700148517,3174141190,1448263498,1448263498,true
r01-o08-cpp-32768,1,cpp,32768,195313,100000256,339912124,221271359518073939,221271359518073939,746082350,1200003355,746082348,339938750,339938750,1
r01-o09-cpp-262144,1,cpp,262144,9766,40001536,462076366,86445885965269521,86445885965269521,1014222979,480018715,1014223034,462102625,462102625,1
r01-o10-cpp-536870912,1,cpp,536870912,1,8388608,899565623,18012249170480756,18012249170480756,1974476617,100663579,1974476636,899599296,899599296,1
r01-o11-cpp-1048576,1,cpp,1048576,1221,20004864,423041733,43272497840938563,43272497840938563,928545139,240058651,928545156,423069261,423069261,1
r01-o12-rust-8388608,1,rust,8388608,62,8126464,491497857,17462239205602153,17462239205602153,1078800938,97517854,1078800932,491527767,491527767,1
r01-o13-rust-1048576,1,rust,1048576,1221,20004864,417592090,43272497840938563,43272497840938563,916583941,240058654,916583910,417620427,417620427,1
r01-o14-go-8388608,1,go,8388608,62,8126464,501075063,17462239205602153,17462239205602153,1096726541,382004781,1096726686,500511752,500511752,true
r01-o15-cpp-8388608,1,cpp,8388608,62,8126464,513586371,17462239205602153,17462239205602153,1127283261,97517851,1127283278,513616152,513616152,1
r01-o16-c-36864,1,c,36864,173612,100000512,852247711,221395076082124221,221395076082124221,1870616570,1200006429,1870616572,852274603,852274603,1
r01-o17-go-32768,1,go,32768,195313,100000256,997393837,221271359518073939,221271359518073939,2183699826,4700100228,2183701212,996446403,996446403,true
r01-o18-go-536870912,1,go,536870912,1,8388608,884111294,18012249170480756,18012249170480756,1935803380,394336822,1935803430,883279883,883279883,true
r01-o19-cpp-36864,1,cpp,36864,173612,100000512,875170799,221395076082124221,221395076082124221,1920930736,1200006427,1920930770,875198038,875198038,1
r01-o20-rust-262144,1,rust,262144,9766,40001536,575683965,86445885965269521,86445885965269521,1263582163,480018718,1263582144,575711176,575711176,1
r01-o21-c-8388608,1,c,8388608,62,8126464,479037727,17462239205602153,17462239205602153,1051453090,97517853,1051453084,479070305,479070305,1
r01-o22-c-6291456,1,c,6291456,102,10027008,427821771,21549733755203228,21549733755203228,939037010,120324381,939037022,427851242,427851242,1
r01-o23-cpp-6291456,1,cpp,6291456,102,10027008,574796694,21549733755203228,21549733755203228,1261635111,120324379,1261635122,574826434,574826434,1
