round,sample_id,variant,footprint_bytes,passes,target_operations,shuffle_key
1,r01-o01-gcc13_prefetch-6291456,gcc13_prefetch,6291456,102,10000000,0121193505
1,r01-o02-gcc13_prefetch-36864,gcc13_prefetch,36864,173612,100000000,0153768444
1,r01-o03-gcc13_no_prefetch-1048576,gcc13_no_prefetch,1048576,1221,20000000,0328102030
1,r01-o04-gcc13_no_prefetch-32768,gcc13_no_prefetch,32768,195313,100000000,0349056586
1,r01-o05-gcc13_no_prefetch-6291456,gcc13_no_prefetch,6291456,102,10000000,0386225427
1,r01-o06-gcc13_no_prefetch-536870912,gcc13_no_prefetch,536870912,1,4000000,0443292937
1,r01-o07-gcc13_prefetch-262144,gcc13_prefetch,262144,9766,40000000,0846759907
1,r01-o08-gcc13_no_prefetch-36864,gcc13_no_prefetch,36864,173612,100000000,0853076292
1,r01-o09-gcc13_no_prefetch-262144,gcc13_no_prefetch,262144,9766,40000000,0891217446
1,r01-o10-gcc13_prefetch-8388608,gcc13_prefetch,8388608,62,8000000,1182047110
1,r01-o11-gcc13_prefetch-1048576,gcc13_prefetch,1048576,1221,20000000,1564919162
1,r01-o12-gcc13_prefetch-536870912,gcc13_prefetch,536870912,1,4000000,1645578420
1,r01-o13-gcc13_prefetch-32768,gcc13_prefetch,32768,195313,100000000,1669733490
1,r01-o14-gcc13_no_prefetch-8388608,gcc13_no_prefetch,8388608,62,8000000,2103029667
2,r02-o01-gcc13_no_prefetch-8388608,gcc13_no_prefetch,8388608,62,8000000,0120478140
2,r02-o02-gcc13_prefetch-536870912,gcc13_prefetch,536870912,1,4000000,0214579864
2,r02-o03-gcc13_prefetch-36864,gcc13_prefetch,36864,173612,100000000,0276179925
2,r02-o04-gcc13_prefetch-32768,gcc13_prefetch,32768,195313,100000000,0282656108
2,r02-o05-gcc13_no_prefetch-1048576,gcc13_no_prefetch,1048576,1221,20000000,0372096274
2,r02-o06-gcc13_no_prefetch-536870912,gcc13_no_prefetch,536870912,1,4000000,0670985663
2,r02-o07-gcc13_prefetch-262144,gcc13_prefetch,262144,9766,40000000,0917007465
2,r02-o08-gcc13_no_prefetch-262144,gcc13_no_prefetch,262144,9766,40000000,0934411051
2,r02-o09-gcc13_no_prefetch-6291456,gcc13_no_prefetch,6291456,102,10000000,1063834277
2,r02-o10-gcc13_no_prefetch-32768,gcc13_no_prefetch,32768,195313,100000000,1129379877
2,r02-o11-gcc13_prefetch-1048576,gcc13_prefetch,1048576,1221,20000000,1356804880
2,r02-o12-gcc13_prefetch-8388608,gcc13_prefetch,8388608,62,8000000,1715418003
2,r02-o13-gcc13_no_prefetch-36864,gcc13_no_prefetch,36864,173612,100000000,2050162746
2,r02-o14-gcc13_prefetch-6291456,gcc13_prefetch,6291456,102,10000000,2053502393
3,r03-o01-gcc13_prefetch-8388608,gcc13_prefetch,8388608,62,8000000,0101305249
3,r03-o02-gcc13_no_prefetch-8388608,gcc13_no_prefetch,8388608,62,8000000,0285410260
3,r03-o03-gcc13_prefetch-36864,gcc13_prefetch,36864,173612,100000000,0398591406
3,r03-o04-gcc13_no_prefetch-1048576,gcc13_no_prefetch,1048576,1221,20000000,0416090518
3,r03-o05-gcc13_no_prefetch-536870912,gcc13_no_prefetch,536870912,1,4000000,0898678389
3,r03-o06-gcc13_prefetch-536870912,gcc13_prefetch,536870912,1,4000000,0931064955
3,r03-o07-gcc13_no_prefetch-262144,gcc13_no_prefetch,262144,9766,40000000,0977604656
3,r03-o08-gcc13_prefetch-262144,gcc13_prefetch,262144,9766,40000000,0987255023
3,r03-o09-gcc13_prefetch-32768,gcc13_prefetch,32768,195313,100000000,1043062373
3,r03-o10-gcc13_no_prefetch-36864,gcc13_no_prefetch,36864,173612,100000000,1099765553
3,r03-o11-gcc13_prefetch-1048576,gcc13_prefetch,1048576,1221,20000000,1148690598
3,r03-o12-gcc13_no_prefetch-6291456,gcc13_no_prefetch,6291456,102,10000000,1741443127
3,r03-o13-gcc13_prefetch-6291456,gcc13_prefetch,6291456,102,10000000,1838327634
3,r03-o14-gcc13_no_prefetch-32768,gcc13_no_prefetch,32768,195313,100000000,1909703168
4,r04-o01-gcc13_no_prefetch-36864,gcc13_no_prefetch,36864,173612,100000000,0149368360
