sample_id,round,variant,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r01-o01-gcc13_prefetch-6291456,1,gcc13_prefetch,6291456,102,10027008,513237385,21549733755203228,21549733755203228,1126518121,120324379,1126518096,513270905,513270905,1
r01-o02-gcc13_prefetch-36864,1,gcc13_prefetch,36864,173612,100000512,875133352,221395076082124221,221395076082124221,1920849268,1200006427,1920849260,875160650,875160650,1
r01-o03-gcc13_no_prefetch-1048576,1,gcc13_no_prefetch,1048576,1221,20004864,423936549,43272497840938563,43272497840938563,930508914,180044059,930508920,423962962,423962962,1
r01-o04-gcc13_no_prefetch-32768,1,gcc13_no_prefetch,32768,195313,100000256,368094149,221271359518073939,221271359518073939,807939812,900002587,807939858,368121503,368121503,1
r01-o05-gcc13_no_prefetch-6291456,1,gcc13_no_prefetch,6291456,102,10027008,474720323,21549733755203228,21549733755203228,1041975183,90243355,1041975154,474748723,474748723,1
r01-o06-gcc13_no_prefetch-536870912,1,gcc13_no_prefetch,536870912,1,8388608,833394549,18012249170480756,18012249170480756,1829236590,75497755,1829236596,833428850,833428850,1
r01-o07-gcc13_prefetch-262144,1,gcc13_prefetch,262144,9766,40001536,616682286,86445885965269521,86445885965269521,1353570153,480018715,1353570174,616709297,616709297,1
r01-o08-gcc13_no_prefetch-36864,1,gcc13_no_prefetch,36864,173612,100000512,723399064,221395076082124221,221395076082124221,1587804533,900004891,1587804526,723426289,723426289,1
r01-o09-gcc13_no_prefetch-262144,1,gcc13_no_prefetch,262144,9766,40001536,565106988,86445885965269521,86445885965269521,1240366584,360014107,1240366578,565134038,565134038,1
r01-o10-gcc13_prefetch-8388608,1,gcc13_prefetch,8388608,62,8126464,464147228,17462239205602153,17462239205602153,1018768452,97517851,1018768454,464176615,464176615,1
r01-o11-gcc13_prefetch-1048576,1,gcc13_prefetch,1048576,1221,20004864,422544290,43272497840938563,43272497840938563,927453306,240058651,927453318,422571680,422571680,1
r01-o12-gcc13_prefetch-536870912,1,gcc13_prefetch,536870912,1,8388608,898720086,18012249170480756,18012249170480756,1972620417,100663579,1972620386,898752999,898752999,1
r01-o13-gcc13_prefetch-32768,1,gcc13_prefetch,32768,195313,100000256,340128377,221271359518073939,221271359518073939,746557183,1200003355,746557152,340156540,340156540,1
r01-o14-gcc13_no_prefetch-8388608,1,gcc13_no_prefetch,8388608,62,8126464,546615280,17462239205602153,17462239205602153,1199778937,73138459,1199778932,546644917,546644917,1
r02-o01-gcc13_no_prefetch-8388608,2,gcc13_no_prefetch,8388608,62,8126464,464285807,17462239205602153,17462239205602153,1019072387,73138459,1019072384,464314883,464314883,1
r02-o02-gcc13_prefetch-536870912,2,gcc13_prefetch,536870912,1,8388608,910373081,18012249170480756,18012249170480756,1998197610,100663579,1998197586,910406435,910406435,1
r02-o03-gcc13_prefetch-36864,2,gcc13_prefetch,36864,173612,100000512,875182775,221395076082124221,221395076082124221,1920957033,1200006427,1920957038,875210472,875210472,1
r02-o04-gcc13_prefetch-32768,2,gcc13_prefetch,32768,195313,100000256,339928103,221271359518073939,221271359518073939,746117484,1200003355,746117482,339954440,339954440,1
r02-o05-gcc13_no_prefetch-1048576,2,gcc13_no_prefetch,1048576,1221,20004864,425217472,43272497840938563,43272497840938563,933320607,180044059,933320608,425243411,425243411,1
r02-o06-gcc13_no_prefetch-536870912,2,gcc13_no_prefetch,536870912,1,8388608,830457640,18012249170480756,18012249170480756,1822790612,75497755,1822790596,830491132,830491132,1
r02-o07-gcc13_prefetch-262144,2,gcc13_prefetch,262144,9766,40001536,634213363,86445885965269521,86445885965269521,1392049434,480018715,1392049450,634240919,634240919,1
r02-o08-gcc13_no_prefetch-262144,2,gcc13_no_prefetch,262144,9766,40001536,424934673,86445885965269521,86445885965269521,932700256,360014107,932700230,424961953,424961953,1
r02-o09-gcc13_no_prefetch-6291456,2,gcc13_no_prefetch,6291456,102,10027008,459350518,21549733755203228,21549733755203228,1007380390,90243357,1007380396,459044742,459044742,1
r02-o10-gcc13_no_prefetch-32768,2,gcc13_no_prefetch,32768,195313,100000256,367821021,221271359518073939,221271359518073939,807340112,900002587,807340094,367848053,367848053,1
r02-o11-gcc13_prefetch-1048576,2,gcc13_prefetch,1048576,1221,20004864,421322017,43272497840938563,43272497840938563,924770604,240058651,924770638,421349277,421349277,1
r02-o12-gcc13_prefetch-8388608,2,gcc13_prefetch,8388608,62,8126464,487563627,17462239205602153,17462239205602153,1070165789,97517851,1070165822,487593406,487593406,1
