variant,footprint_bytes,repetitions,median_ns_per_operation,p10_ns_per_operation,p90_ns_per_operation,median_cycles_per_operation,p10_cycles_per_operation,p90_cycles_per_operation,median_instructions_per_operation,median_ref_cycles_per_operation
gcc13_no_prefetch,32768,15,3.677480000,3.665000000,3.870410000,8.071800000,8.044410000,8.495260000,9.000000000,8.071800000
gcc13_no_prefetch,36864,15,7.225790000,7.214270000,7.234590000,15.860100000,15.834800000,15.879400000,9.000000000,15.860100000
gcc13_no_prefetch,262144,15,10.623000000,9.345330000,14.266600000,23.316600000,20.512300000,31.314000000,9.000010000,23.316600000
gcc13_no_prefetch,1048576,15,21.158800000,20.996000000,21.284100000,46.441900000,46.084700000,46.717100000,9.000010000,46.441900000
gcc13_no_prefetch,6291456,15,45.811300000,44.027100000,55.749600000,100.467000000,96.636200000,122.366000000,9.000030000,100.467000000
gcc13_no_prefetch,8388608,15,57.352700000,53.311000000,67.263600000,125.885000000,117.014000000,147.638000000,9.000030000,125.885000000
gcc13_no_prefetch,536870912,15,100.130000000,99.103300000,100.723000000,219.778000000,217.524000000,221.079000000,9.000030000,219.778000000
gcc13_prefetch,32768,15,3.401280000,3.398970000,3.409970000,7.465550000,7.460490000,7.484650000,12.000000000,7.465550000
gcc13_prefetch,36864,15,8.751980000,8.751660000,8.752650000,19.209900000,19.209200000,19.211400000,12.000000000,19.209900000
gcc13_prefetch,262144,15,11.416200000,10.297400000,15.416500000,25.057700000,22.602000000,33.838000000,12.000000000,25.057700000
gcc13_prefetch,1048576,15,21.082300000,20.862100000,22.158600000,46.274200000,45.790700000,48.636500000,12.000000000,46.274200000
gcc13_prefetch,6291456,15,47.742300000,44.742000000,57.517300000,104.791000000,98.205300000,126.246000000,12.000000000,104.791000000
gcc13_prefetch,8388608,15,58.321700000,55.938100000,84.426500000,128.012000000,122.780000000,185.310000000,12.000000000,128.012000000
gcc13_prefetch,536870912,15,107.880000000,107.032000000,108.561000000,236.789000000,234.927000000,238.282000000,12.000000000,236.789000000
