sample_id,round,compiler,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r01-o01-gcc13_auto-32768,1,gcc13_auto,32768,40960,335544320,251905261,3633848320,3633848320,552915274,965304624,552915286,251933609,251933609,1
r01-o02-clang18_auto-6291456,1,clang18_auto,6291456,214,336592896,2439163443,196891892,196891892,5353767745,788895887,5353767738,2439199781,2439199781,1
r01-o03-gcc13_scalar-1048576,1,gcc13_scalar,1048576,1280,335544320,1031490004,2000108288,2000108288,2264038496,1677728284,2264038524,1031517814,1031517814,1
r01-o04-clang18_scalar-36864,1,clang18_scalar,36864,36409,335545344,258085921,3368420452,3368420452,566482100,797249029,566482136,258113106,258113106,1
r01-o05-gcc13_auto-36864,1,gcc13_auto,36864,36409,335545344,266097731,3368420452,3368420452,584066026,965239303,584066032,266123541,266123541,1
r01-o06-gcc13_auto-536870912,1,gcc13_auto,536870912,3,402653184,11460543184,1543198232,1543198232,25154945280,1157628253,25154945266,11460579505,11460579505,1
r01-o07-gcc13_scalar-8388608,1,gcc13_scalar,8388608,160,335544320,2792504416,2634976128,2634976128,6129320679,1677722684,6129320670,2792537977,2792537977,1
r01-o08-clang18_scalar-6291456,1,clang18_scalar,6291456,214,336592896,2317162549,196891892,196891892,5085986116,799411210,5085986136,2317197863,2317197863,1
r01-o09-clang18_scalar-8388608,1,clang18_scalar,8388608,160,335544320,2484486409,2634976128,2634976128,5453247782,796920356,5453247778,2484520996,2484520996,1
r01-o10-gcc13_auto-1048576,1,gcc13_auto,1048576,1280,335544320,718274456,2000108288,2000108288,1576556762,964709424,1576556762,718301810,718301810,1
r01-o11-clang18_auto-262144,1,clang18_auto,262144,5120,335544320,449737209,1812397056,1812397056,987141300,786556031,987141320,449765687,449765687,1
r01-o12-gcc13_scalar-36864,1,gcc13_scalar,36864,36409,335545344,287901199,3368420452,3368420452,631922743,1677909049,631922720,287928338,287928338,1
r01-o13-gcc13_auto-262144,1,gcc13_auto,262144,5120,335544320,455124394,1812397056,1812397056,998963986,964767024,998963966,455152034,455152034,1
r01-o14-clang18_scalar-262144,1,clang18_scalar,262144,5120,335544320,499916348,1812397056,1812397056,1097280538,796964996,1097280558,499944468,499944468,1
r01-o15-clang18_scalar-32768,1,clang18_scalar,32768,40960,335544320,250980603,3633848320,3633848320,550886860,797287556,550886842,251008259,251008259,1
r01-o16-clang18_auto-32768,1,clang18_auto,32768,40960,335544320,266573095,3633848320,3633848320,585111297,787416191,585111296,266600765,266600765,1
r01-o17-clang18_auto-536870912,1,clang18_auto,536870912,3,402653184,10494282886,1543198232,1543198232,23034063747,943719625,23034063756,10494318589,10494318589,1
r01-o18-clang18_auto-1048576,1,clang18_auto,1048576,1280,335544320,714254067,2000108288,2000108288,1567735043,786463871,1567735026,714285879,714285879,1
r01-o19-clang18_auto-8388608,1,clang18_auto,8388608,160,335544320,2321761598,2634976128,2634976128,5096080583,786436991,5096080594,2321797152,2321797152,1
r01-o20-gcc13_auto-6291456,1,gcc13_auto,6291456,214,336592896,1757657041,196891892,196891892,3857916113,967708090,3857916128,1757693538,1757693538,1
r01-o21-gcc13_scalar-6291456,1,gcc13_scalar,6291456,214,336592896,2105946521,196891892,196891892,4622382024,1682965834,4622382028,2105978921,2105978921,1
r01-o22-clang18_scalar-1048576,1,clang18_scalar,1048576,1280,335544320,733812562,2000108288,2000108288,1610663576,796930436,1610663604,733842745,733842745,1
r01-o23-clang18_auto-36864,1,clang18_auto,36864,36409,335545344,277810794,3368420452,3368420452,609776717,787309367,609776750,277837358,277837358,1
r01-o24-gcc13_scalar-32768,1,gcc13_scalar,32768,40960,335544320,279482828,3633848320,3633848320,613445009,1677926684,613445008,279509654,279509654,1
r01-o25-gcc13_scalar-262144,1,gcc13_scalar,262144,5120,335544320,491634553,1812397056,1812397056,1079100482,1677747484,1079100484,491661197,491661197,1
r01-o26-gcc13_scalar-536870912,1,gcc13_scalar,536870912,3,402653184,10527346005,1543198232,1543198232,23106654408,2013266219,23106654406,10527378884,10527378884,1
r01-o27-gcc13_auto-8388608,1,gcc13_auto,8388608,160,335544320,2326657424,2634976128,2634976128,5105510348,964692625,5105510344,2326130501,2326130501,1
r01-o28-clang18_scalar-536870912,1,clang18_scalar,536870912,3,402653184,10828255942,1543198232,1543198232,23767129296,956302495,23767129298,10828290007,10828290007,1
