compiler,footprint_bytes,repetitions,median_ns_per_load,p10_ns_per_load,p90_ns_per_load,median_cycles_per_load,p10_cycles_per_load,p90_cycles_per_load,median_instructions_per_load,median_ref_cycles_per_load
clang18_auto,32768,15,0.794978000,0.794626000,0.795169000,1.744930000,1.744160000,1.745350000,2.346680000,1.744930000
clang18_auto,36864,15,0.828078000,0.827070000,0.828479000,1.817580000,1.815370000,1.818460000,2.346360000,1.817580000
clang18_auto,262144,15,1.295130000,1.271610000,1.343990000,2.842720000,2.791100000,2.949960000,2.344120000,2.842720000
clang18_auto,1048576,15,2.121420000,2.118690000,2.151510000,4.656350000,4.650360000,4.722390000,2.343840000,4.656350000
clang18_auto,6291456,15,5.251520000,5.165500000,6.078930000,11.526700000,11.337900000,13.342800000,2.343770000,11.526700000
clang18_auto,8388608,15,6.908630000,6.842240000,6.988390000,15.163900000,15.017200000,15.339000000,2.343760000,15.163900000
clang18_auto,536870912,15,26.147700000,26.070400000,27.692200000,57.392100000,57.222500000,60.759300000,2.343750000,57.392100000
clang18_scalar,32768,15,0.747987000,0.747868000,0.748125000,1.641790000,1.641520000,1.642090000,2.376100000,1.641790000
clang18_scalar,36864,15,0.769098000,0.768938000,0.769296000,1.688120000,1.687770000,1.688560000,2.375980000,1.688120000
clang18_scalar,262144,15,1.406540000,1.379890000,1.452650000,3.087250000,3.028760000,3.188460000,2.375140000,3.087250000
clang18_scalar,1048576,15,2.185700000,2.175640000,2.219260000,4.797450000,4.775370000,4.871100000,2.375040000,4.797450000
clang18_scalar,6291456,15,5.657600000,5.489950000,6.462540000,12.418000000,12.050000000,14.184800000,2.375010000,12.418000000
clang18_scalar,8388608,15,7.089660000,7.048710000,7.404350000,15.561200000,15.471400000,16.251900000,2.375010000,15.561200000
clang18_scalar,536870912,15,26.342800000,26.246000000,27.852400000,57.820200000,57.607700000,61.133800000,2.375000000,57.820200000
gcc13_auto,32768,15,0.750953000,0.750736000,0.756763000,1.648290000,1.647820000,1.661040000,2.876830000,1.648290000
gcc13_auto,36864,15,0.785506000,0.785341000,0.793031000,1.724130000,1.723770000,1.740650000,2.876630000,1.724130000
gcc13_auto,262144,15,1.303650000,1.284910000,1.341310000,2.861420000,2.820280000,2.944080000,2.875230000,2.861420000
gcc13_auto,1048576,15,2.146830000,2.136300000,2.209570000,4.712130000,4.689010000,4.849830000,2.875060000,4.712130000
gcc13_auto,6291456,15,5.207450000,5.029710000,5.411790000,11.429900000,11.039800000,11.878400000,2.875010000,11.429900000
gcc13_auto,8388608,15,6.986760000,6.935790000,7.492050000,15.335400000,15.223500000,16.444400000,2.875010000,15.335400000
gcc13_auto,536870912,15,26.398300000,26.378600000,28.197300000,57.942000000,57.898900000,61.890700000,2.875000000,57.942000000
gcc13_scalar,32768,15,0.833378000,0.832924000,0.833688000,1.829210000,1.828210000,1.829890000,5.000610000,1.829210000
gcc13_scalar,36864,15,0.858245000,0.857500000,0.858609000,1.883790000,1.882150000,1.884590000,5.000540000,1.883790000
gcc13_scalar,262144,15,1.458060000,1.447660000,1.479390000,3.200330000,3.177500000,3.247150000,5.000080000,3.200330000
gcc13_scalar,1048576,15,2.290520000,2.270190000,2.336180000,5.027500000,4.982880000,5.127730000,5.000020000,5.027500000
gcc13_scalar,6291456,15,6.286960000,6.172700000,7.612980000,13.799400000,13.548600000,16.709900000,5.000000000,13.799400000
gcc13_scalar,8388608,15,7.499870000,7.439800000,8.322310000,16.461600000,16.329800000,18.266800000,5.000000000,16.461600000
gcc13_scalar,536870912,15,26.161700000,26.143800000,26.261100000,57.422800000,57.383500000,57.640900000,5.000000000,57.422800000
