sample_id,round,language,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r01-o01-cpp-32768,1,cpp,32768,40960,335544320,279642732,3633848320,3633848320,613797157,1677926684,613797140,279671201,279671201,1
r01-o02-go-6291456,1,go,6291456,214,336592896,2691213177,196891892,196891892,5874168315,2692976375,5874168630,2686740636,2686740636,true
r01-o03-c-1048576,1,c,1048576,1280,335544320,789728848,2000108288,2000108288,1733393112,1677728274,1733393112,789756020,789756020,1
r01-o04-rust-36864,1,rust,36864,36409,335545344,289765282,3368420452,3368420452,636014032,2349108969,636014016,289790849,289790849,1
r01-o05-cpp-36864,1,cpp,36864,36409,335545344,287830235,3368420452,3368420452,631767115,1677909049,631767114,287856189,287856189,1
r01-o06-cpp-536870912,1,cpp,536870912,3,402653184,10533002790,1543198232,1543198232,23119070593,2013266219,23119070590,10533036384,10533036384,1
r01-o07-c-8388608,1,c,8388608,160,335544320,2931749221,2634976128,2634976128,6434951226,1677722674,6434951204,2931781936,2931781936,1
r01-o08-rust-6291456,1,rust,6291456,214,336592896,2292468527,196891892,196891892,5031782302,2356152273,5031782272,2292502887,2292502887,1
r01-o09-rust-8388608,1,rust,8388608,160,335544320,2599038247,2634976128,2634976128,5704677871,2348811809,5704677858,2599074346,2599074346,1
r01-o10-cpp-1048576,1,cpp,1048576,1280,335544320,1337077755,2000108288,2000108288,2934778329,1677728284,2934778308,1337105742,1337105742,1
r01-o11-go-262144,1,go,262144,5120,335544320,804700652,1812397056,1812397056,1761490964,2684461672,1761491204,803844213,803844213,true
r01-o12-c-36864,1,c,36864,36409,335545344,287761563,3368420452,3368420452,631616263,1677909039,631616282,287787675,287787675,1
r01-o13-cpp-262144,1,cpp,262144,5120,335544320,573906675,1812397056,1812397056,1259680985,1677747484,1259680972,573932612,573932612,1
r01-o14-rust-262144,1,rust,262144,5120,335544320,625676864,1812397056,1812397056,1373312427,2348851489,1373312402,625704759,625704759,1
r01-o15-rust-32768,1,rust,32768,40960,335544320,283540812,3633848320,3633848320,622352205,2349138209,622352214,283568335,283568335,1
r01-o16-go-32768,1,go,32768,40960,335544320,294101216,3633848320,3633848320,642701500,2684670853,642702148,293606620,293606620,true
r01-o17-go-536870912,1,go,536870912,3,402653184,12025278077,1543198232,1543198232,26287799397,3222232593,26287798240,12009854931,12009854931,true
r01-o18-go-1048576,1,go,1048576,1280,335544320,872754941,2000108288,2000108288,1910720388,2684441592,1910720372,871898892,871898892,true
r01-o19-go-8388608,1,go,8388608,160,335544320,2729831127,2634976128,2634976128,5965395230,2684586181,5965395370,2725110269,2725110269,true
r01-o20-cpp-6291456,1,cpp,6291456,214,336592896,2126160800,196891892,196891892,4666750427,1682965834,4666750440,2126193766,2126193766,1
r01-o21-c-6291456,1,c,6291456,214,336592896,2113864998,196891892,196891892,4639762670,1682965824,4639762666,2113897470,2113897470,1
r01-o22-rust-1048576,1,rust,1048576,1280,335544320,772078215,2000108288,2000108288,1694651608,2348820769,1694651596,772106905,772106905,1
r01-o23-go-36864,1,go,36864,36409,335545344,298986236,3368420452,3368420452,653486260,2684647462,653487010,298484650,298484650,true
r01-o24-c-32768,1,c,32768,40960,335544320,279253296,3633848320,3633848320,612941580,1677926674,612941604,279279370,279279370,1
r01-o25-c-262144,1,c,262144,5120,335544320,501316354,1812397056,1812397056,1100351539,1677747474,1100351582,501342702,501342702,1
r01-o26-c-536870912,1,c,536870912,3,402653184,10692276532,1543198232,1543198232,23468663086,2013266209,23468663064,10692310287,10692310287,1
r01-o27-cpp-8388608,1,cpp,8388608,160,335544320,2945348420,2634976128,2634976128,6464799544,1677722684,6464799550,2945382182,2945382182,1
r01-o28-rust-536870912,1,rust,536870912,3,402653184,10731628874,1543198232,1543198232,23555039225,2818572601,23555039222,10731664011,10731664011,1
r02-o01-go-32768,2,go,32768,40960,335544320,293604352,3633848320,3633848320,641624039,2684671079,641624808,293094651,293094651,true
r02-o02-rust-36864,2,rust,36864,36409,335545344,289067752,3368420452,3368420452,634483229,2349108969,634483212,289093676,289093676,1
r02-o03-c-32768,2,c,32768,40960,335544320,279394196,3633848320,3633848320,613250617,1677926674,613250616,279418788,279418788,1
r02-o04-rust-536870912,2,rust,536870912,3,402653184,10685916950,1543198232,1543198232,23454704233,2818572601,23454704262,10685951324,10685951324,1
r02-o05-cpp-36864,2,cpp,36864,36409,335545344,287620937,3368420452,3368420452,631307502,1677909049,631307490,287646644,287646644,1
r02-o06-go-6291456,2,go,6291456,214,336592896,2331374210,196891892,196891892,5090801756,2692943772,5090802244,2327569835,2327569835,true
r02-o07-cpp-32768,2,cpp,32768,40960,335544320,279609727,3633848320,3633848320,613723768,1677926684,613723770,279637167,279637167,1
r02-o08-c-36864,2,c,36864,36409,335545344,287121851,3368420452,3368420452,630211984,1677909039,630211978,287146113,287146113,1
r02-o09-go-262144,2,go,262144,5120,335544320,509453675,1812397056,1812397056,1114161062,2684437971,1114161290,508742407,508742407,true
r02-o10-cpp-1048576,2,cpp,1048576,1280,335544320,761570290,2000108288,2000108288,1671587451,1677728284,1671587456,761597474,761597474,1
r02-o11-c-8388608,2,c,8388608,160,335544320,2772519595,2634976128,2634976128,6085454597,1677722674,6085454606,2772551789,2772551789,1
r02-o12-c-1048576,2,c,1048576,1280,335544320,938771291,2000108288,2000108288,2060529421,1677728274,2060529416,938801248,938801248,1
r02-o13-rust-32768,2,rust,32768,40960,335544320,284337804,3633848320,3633848320,624101450,2349138209,624101478,284365176,284365176,1
r02-o14-go-8388608,2,go,8388608,160,335544320,2965098926,2634976128,2634976128,6474704474,2684609146,6474704698,2959877592,2959877592,true
r02-o15-cpp-536870912,2,cpp,536870912,3,402653184,10554253255,1543198232,1543198232,23165713376,2013266219,23165713384,10554287045,10554287045,1
r02-o16-c-262144,2,c,262144,5120,335544320,591911387,1812397056,1812397056,1299199774,1677747474,1299199792,591938590,591938590,1
r02-o17-c-6291456,2,c,6291456,214,336592896,2568172786,196891892,196891892,5636930476,1682965824,5636930508,2568207030,2568207030,1
r02-o18-c-536870912,2,c,536870912,3,402653184,10613258120,1543198232,1543198232,23295224407,2013266209,23295224414,10613291047,10613291047,1
r02-o19-rust-262144,2,rust,262144,5120,335544320,719774279,1812397056,1812397056,1579848407,2348851489,1579848380,719801709,719801709,1
r02-o20-go-536870912,2,go,536870912,3,402653184,11145155250,1543198232,1543198232,24335910911,3222185776,24335909840,11127418696,11127418696,true
r02-o21-rust-6291456,2,rust,6291456,214,336592896,2131136538,196891892,196891892,4677672405,2356152273,4677672384,2131170995,2131170995,1
r02-o22-cpp-262144,2,cpp,262144,5120,335544320,508290899,1812397056,1812397056,1115659887,1677747484,1115659908,508318113,508318113,1
r02-o23-go-1048576,2,go,1048576,1280,335544320,798115863,2000108288,2000108288,1748001662,2684435196,1748001772,797478294,797478294,true
r02-o24-go-36864,2,go,36864,36409,335545344,299041952,3368420452,3368420452,653810552,2684647105,653811290,298602103,298602103,true
r02-o25-rust-1048576,2,rust,1048576,1280,335544320,769450575,2000108288,2000108288,1688883851,2348820769,1688883834,769478287,769478287,1
r02-o26-cpp-8388608,2,cpp,8388608,160,335544320,2537864508,2634976128,2634976128,5570405745,1677722684,5570405764,2537895141,2537895141,1
r02-o27-rust-8388608,2,rust,8388608,160,335544320,2533739199,2634976128,2634976128,5561352513,2348811809,5561352522,2533775328,2533775328,1
r02-o28-cpp-6291456,2,cpp,6291456,214,336592896,2102465998,196891892,196891892,4614742744,1682965834,4614742726,2102498589,2102498589,1
r03-o01-rust-36864,3,rust,36864,36409,335545344,289101265,3368420452,3368420452,634556808,2349108969,634556802,289125719,289125719,1
r03-o02-cpp-536870912,3,cpp,536870912,3,402653184,11309004306,1543198232,1543198232,24822329907,2013266219,24822329928,11309038052,11309038052,1
r03-o03-cpp-262144,3,cpp,262144,5120,335544320,664594177,1812397056,1812397056,1458732493,1677747484,1458732506,664621231,664621231,1
r03-o04-cpp-6291456,3,cpp,6291456,214,336592896,2722813528,196891892,196891892,5976353920,1682965834,5976353922,2722845573,2722845573,1
r03-o05-rust-6291456,3,rust,6291456,214,336592896,3047614410,196891892,196891892,6689265089,2356152273,6689265088,3047647677,3047647677,1
