sample_id,round,language,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r01-o01-cpp-32768,1,cpp,32768,65536,33554432,23159582,33554432,33554432,50837163,168100113,50837182,23187062,23187062,1
r01-o02-go-6291456,1,go,6291456,342,33619968,87870610,50397184,50397184,190244653,235754285,190244846,87459962,87459962,true
r01-o03-c-1048576,1,c,1048576,2048,33554432,72410977,33554432,33554432,158939727,134228240,158939726,72438002,72438002,1
r01-o04-rust-36864,1,rust,36864,58255,33554880,38597037,3284255168,3284255168,84720605,134380013,84720636,38622313,38622313,1
r01-o05-cpp-36864,1,cpp,36864,58255,33554880,39224758,3284255168,3284255168,86098630,168065948,86098650,39249703,39249703,1
r01-o06-cpp-536870912,1,cpp,536870912,4,33554432,154886090,33554432,33554432,339966390,167772453,339966396,154918390,154918390,1
r01-o07-c-8388608,1,c,8388608,256,33554432,108054209,33554432,33554432,237173789,134219280,237173772,108084481,108084481,1
r01-o08-rust-6291456,1,rust,6291456,342,33619968,91274820,50397184,50397184,200344621,134481102,200344628,91305315,91305315,1
r01-o09-rust-8388608,1,rust,8388608,256,33554432,108748431,33554432,33554432,238697615,134218715,238697624,108779403,108779403,1
r01-o10-cpp-1048576,1,cpp,1048576,2048,33554432,74688466,33554432,33554432,163938899,167782673,163938896,74715425,74715425,1
r01-o11-go-262144,1,go,262144,8192,33554432,58142783,33554432,33554432,125613679,234955600,125613884,57768012,57768012,true
r01-o12-c-36864,1,c,36864,58255,33554880,38585561,3284255168,3284255168,84695400,134511067,84695424,38608323,38608323,1
r01-o13-cpp-262144,1,cpp,262144,8192,33554432,58032091,33554432,33554432,127379005,167813393,127378988,58054906,58054906,1
r01-o14-rust-262144,1,rust,262144,8192,33554432,47376380,33554432,33554432,103990900,134240539,103990876,47402260,47402260,1
r01-o15-rust-32768,1,rust,32768,65536,33554432,20373878,33554432,33554432,44722260,134398235,44722238,20399774,20399774,1
r01-o16-go-32768,1,go,32768,65536,33554432,27133625,33554432,33554432,57922669,235410603,57923294,26828475,26828475,true
r01-o17-go-536870912,1,go,536870912,4,33554432,156291177,33554432,33554432,340565969,234897558,340565940,156044760,156044760,true
r01-o18-go-1048576,1,go,1048576,2048,33554432,76120684,33554432,33554432,165451524,234908036,165451484,75833223,75833223,true
r01-o19-go-8388608,1,go,8388608,256,33554432,111497821,33554432,33554432,243056799,235295571,243056770,111278984,111278984,true
r01-o20-cpp-6291456,1,cpp,6291456,342,33619968,87506954,50397184,50397184,192074177,168101823,192074168,87537921,87537921,1
r01-o21-c-6291456,1,c,6291456,342,33619968,85646432,50397184,50397184,187888772,134481860,187888756,85664995,85664995,1
r01-o22-rust-1048576,1,rust,1048576,2048,33554432,72383156,33554432,33554432,158878464,134223643,158878478,72409965,72409965,1
r01-o23-go-36864,1,go,36864,58255,33554880,39271029,3284255168,3284255168,84551459,235357639,84551786,38964003,38964003,true
r01-o24-c-32768,1,c,32768,65536,33554432,20409100,33554432,33554432,44799547,134545680,44799546,20432436,20432436,1
r01-o25-c-262144,1,c,262144,8192,33554432,56138520,33554432,33554432,123222706,134258960,123222704,56162461,56162461,1
r01-o26-c-536870912,1,c,536870912,4,33554432,157971707,33554432,33554432,346739584,134218020,346739580,158004932,158004932,1
r01-o27-cpp-8388608,1,cpp,8388608,256,33554432,109619710,33554432,33554432,240610874,167773713,240610876,109650389,109650389,1
r01-o28-rust-536870912,1,rust,536870912,4,33554432,161902919,33554432,33554432,355368768,134218022,355368750,161935772,161935772,1
r02-o01-go-32768,2,go,32768,65536,33554432,27080629,33554432,33554432,57848311,235410336,57848934,26784133,26784133,true
r02-o02-rust-36864,2,rust,36864,58255,33554880,38580355,3284255168,3284255168,84683974,134380013,84683962,38602970,38602970,1
r02-o03-c-32768,2,c,32768,65536,33554432,20424204,33554432,33554432,44832705,134545680,44832678,20447433,20447433,1
r02-o04-rust-536870912,2,rust,536870912,4,33554432,158136238,33554432,33554432,347100638,134218022,347100666,158171229,158171229,1
r02-o05-cpp-36864,2,cpp,36864,58255,33554880,40265868,3284255168,3284255168,88383743,168065948,88383724,40292102,40292102,1
r02-o06-go-6291456,2,go,6291456,342,33619968,94805796,50397184,50397184,206593956,235753965,206594080,94626841,94626841,true
r02-o07-cpp-32768,2,cpp,32768,65536,33554432,23061664,33554432,33554432,50621726,168100113,50621714,23086774,23086774,1
r02-o08-c-36864,2,c,36864,58255,33554880,38602843,3284255168,3284255168,84733375,134511067,84733352,38625444,38625444,1
r02-o09-go-262144,2,go,262144,8192,33554432,53354109,33554432,33554432,115122200,234956151,115122370,52989753,52989753,true
r02-o10-cpp-1048576,2,cpp,1048576,2048,33554432,74964688,33554432,33554432,164105186,167782683,164105172,74870017,74870017,1
r02-o11-c-8388608,2,c,8388608,256,33554432,107243583,33554432,33554432,235394577,134219280,235394566,107273066,107273066,1
r02-o12-c-1048576,2,c,1048576,2048,33554432,72359806,33554432,33554432,158827159,134228240,158827174,72386074,72386074,1
r02-o13-rust-32768,2,rust,32768,65536,33554432,20264760,33554432,33554432,44483131,134398235,44483142,20288006,20288006,1
r02-o14-go-8388608,2,go,8388608,256,33554432,112733061,33554432,33554432,245801524,235294901,245801512,112521898,112521898,true
r02-o15-cpp-536870912,2,cpp,536870912,4,33554432,155303219,33554432,33554432,340882654,167772453,340882674,155337636,155337636,1
r02-o16-c-262144,2,c,262144,8192,33554432,59182390,33554432,33554432,129903871,134258960,129903862,59208855,59208855,1
r02-o17-c-6291456,2,c,6291456,342,33619968,98820084,50397184,50397184,216905832,134481854,216905876,98849546,98849546,1
r02-o18-c-536870912,2,c,536870912,4,33554432,159067969,33554432,33554432,349145920,134218020,349145896,159100806,159100806,1
r02-o19-rust-262144,2,rust,262144,8192,33554432,49723666,33554432,33554432,109142653,134240539,109142682,49749639,49749639,1
r02-o20-go-536870912,2,go,536870912,4,33554432,156607400,33554432,33554432,340296417,234898616,340296440,155993509,155993509,true
r02-o21-rust-6291456,2,rust,6291456,342,33619968,87796934,50397184,50397184,192710727,134481102,192710738,87827009,87827009,1
