language,footprint_bytes,repetitions,median_ns_per_operation,p10_ns_per_operation,p90_ns_per_operation,median_cycles_per_operation,p10_cycles_per_operation,p90_cycles_per_operation,median_instructions_per_operation,median_ref_cycles_per_operation
c,32768,15,0.601592000,0.597421000,0.608246000,1.320540000,1.311390000,1.335150000,4.009770000,1.320540000
c,36864,15,1.150420000,1.133980000,1.151180000,2.525180000,2.489080000,2.526880000,4.008690000,2.525180000
c,262144,15,1.518160000,1.379080000,1.711960000,3.332340000,3.027070000,3.757710000,4.001230000,3.332340000
c,1048576,15,2.158020000,2.154660000,2.161150000,4.736770000,4.729400000,4.743660000,4.000310000,4.736770000
c,6291456,15,2.686490000,2.547490000,3.112540000,5.896720000,5.588610000,6.831910000,4.000060000,5.896720000
c,8388608,15,3.254490000,3.158570000,3.816410000,7.143450000,6.932920000,8.376820000,4.000050000,7.143450000
c,536870912,15,4.725100000,4.705900000,4.823220000,10.371300000,10.329200000,10.586700000,4.000010000,10.371300000
cpp,32768,15,0.687725000,0.686199000,0.695541000,1.509600000,1.506250000,1.526760000,5.009770000,1.509600000
cpp,36864,15,1.200650000,1.168970000,1.202990000,2.635420000,2.565900000,2.640570000,5.008690000,2.635420000
cpp,262144,15,1.601010000,1.406710000,1.752770000,3.514190000,3.087710000,3.847280000,5.001230000,3.514190000
cpp,1048576,15,2.226520000,2.223590000,2.234120000,4.887130000,4.880700000,4.890720000,5.000310000,4.887130000
cpp,6291456,15,2.757500000,2.606270000,3.161220000,6.052600000,5.720670000,6.938730000,5.000060000,6.052600000
cpp,8388608,15,3.347820000,3.257950000,3.938420000,7.348310000,7.151050000,8.644620000,5.000050000,7.348310000
cpp,536870912,15,4.634010000,4.625600000,4.663610000,10.171400000,10.152900000,10.236400000,5.000010000,10.171400000
go,32768,15,0.807120000,0.805369000,0.810493000,1.724080000,1.721420000,1.728290000,7.015780000,1.724100000
go,36864,15,1.176550000,1.153570000,1.181970000,2.533160000,2.487700000,2.544000000,7.014100000,2.533170000
go,262144,15,1.634680000,1.139270000,1.833470000,3.530480000,2.445330000,3.965730000,7.002200000,3.530480000
go,1048576,15,2.270370000,2.268120000,2.272000000,4.921690000,4.928310000,4.924380000,7.000810000,4.921690000
go,6291456,15,2.964080000,2.727610000,3.274530000,6.462560000,5.944230000,7.136730000,7.012290000,6.462560000
go,8388608,15,3.381380000,3.320230000,4.056750000,7.371650000,7.236690000,8.831470000,7.012350000,7.371660000
go,536870912,15,4.662890000,4.633710000,4.766450000,10.137600000,10.124600000,10.422200000,7.000510000,10.137600000
rust,32768,15,0.604323000,0.603916000,0.608373000,1.326540000,1.325640000,1.335430000,4.005380000,1.326540000
rust,36864,15,1.149780000,1.132340000,1.150270000,2.523780000,2.485490000,2.524840000,4.004780000,2.523780000
rust,262144,15,1.529290000,1.362500000,1.631250000,3.356760000,2.990680000,3.580560000,4.000680000,3.356760000
rust,1048576,15,2.157680000,2.154380000,2.165360000,4.736030000,4.728800000,4.752910000,4.000180000,4.736030000
rust,6291456,15,2.714900000,2.611450000,3.288550000,5.959100000,5.732030000,7.218230000,4.000040000,5.959100000
rust,8388608,15,3.264070000,3.186430000,3.610070000,7.164480000,6.994070000,7.923950000,4.000030000,7.164480000
rust,536870912,15,4.712830000,4.695140000,5.078310000,10.344400000,10.305600000,11.146600000,4.000010000,10.344400000
