sample_id,round,language,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r01-o01-cpp-32768,1,cpp,32768,65536,33554432,20549517,33554432,33554432,45109101,134545692,45109086,20581664,20581664,1
r01-o02-go-6291456,1,go,6291456,342,33619968,145917146,50397184,50397184,318328851,235757422,318328846,145624937,145624937,true
r01-o03-c-1048576,1,c,1048576,2048,33554432,72537114,33554432,33554432,159216630,134228240,159216662,72566012,72566012,1
r01-o04-rust-36864,1,rust,36864,58255,33554880,38050595,3284255168,3284255168,83521321,134380013,83521306,38078587,38078587,1
r01-o05-cpp-36864,1,cpp,36864,58255,33554880,38628444,3284255168,3284255168,84789774,134511079,84789760,38656667,38656667,1
r01-o06-cpp-536870912,1,cpp,536870912,4,33554432,170016769,33554432,33554432,373177710,134218032,373177728,170049291,170049291,1
r01-o07-c-8388608,1,c,8388608,256,33554432,115193524,33554432,33554432,252845582,134219280,252845582,115226174,115226174,1
r01-o08-rust-6291456,1,rust,6291456,342,33619968,103483902,50397184,50397184,227142605,134481102,227142608,103516124,103516124,1
r01-o09-rust-8388608,1,rust,8388608,256,33554432,133076335,33554432,33554432,292095324,134218715,292095342,133107808,133107808,1
r01-o10-cpp-1048576,1,cpp,1048576,2048,33554432,72517151,33554432,33554432,159173316,134228252,159173344,72545380,72545380,1
r01-o11-go-262144,1,go,262144,8192,33554432,38227922,33554432,33554432,82069584,234954189,82069856,37911459,37911459,true
r01-o12-c-36864,1,c,36864,58255,33554880,38085061,3284255168,3284255168,83597103,134511067,83597140,38111920,38111920,1
r01-o13-cpp-262144,1,cpp,262144,8192,33554432,40885345,33554432,33554432,89743904,134258972,89743896,40913258,40913258,1
r01-o14-rust-262144,1,rust,262144,8192,33554432,56109065,33554432,33554432,123158528,134240539,123158552,56136698,56136698,1
r01-o15-rust-32768,1,rust,32768,65536,33554432,20288471,33554432,33554432,44534839,134398235,44534820,20313272,20313272,1
r01-o16-go-32768,1,go,32768,65536,33554432,27123070,33554432,33554432,57906953,235410372,57907344,26816967,26816967,true
r01-o17-go-536870912,1,go,536870912,4,33554432,157377290,33554432,33554432,343711905,234897502,343711896,157099112,157099112,true
r01-o18-go-1048576,1,go,1048576,2048,33554432,76191839,33554432,33554432,165199526,234906963,165199496,75836609,75836609,true
r01-o19-go-8388608,1,go,8388608,256,33554432,140301088,33554432,33554432,305410653,235300507,305410732,139927969,139927969,true
r01-o20-cpp-6291456,1,cpp,6291456,342,33619968,124453740,50397184,50397184,273170425,134481866,273170458,124486701,124486701,1
r01-o21-c-6291456,1,c,6291456,342,33619968,122065394,50397184,50397184,267928361,134481854,267928386,122099117,122099117,1
r01-o22-rust-1048576,1,rust,1048576,2048,33554432,72650958,33554432,33554432,159466633,134223643,159466648,72681784,72681784,1
r01-o23-go-36864,1,go,36864,58255,33554880,38754480,3284255168,3284255168,83188271,235356812,83188666,38395846,38395846,true
r01-o24-c-32768,1,c,32768,65536,33554432,20392521,33554432,33554432,44763258,134545680,44763224,20419901,20419901,1
r01-o25-c-262144,1,c,262144,8192,33554432,55505619,33554432,33554432,121833816,134258960,121833822,55534198,55534198,1
r01-o26-c-536870912,1,c,536870912,4,33554432,158108387,33554432,33554432,347039145,134218020,347039154,158141696,158141696,1
r01-o27-cpp-8388608,1,cpp,8388608,256,33554432,125360036,33554432,33554432,275158940,134219292,275158928,125391014,125391014,1
r01-o28-rust-536870912,1,rust,536870912,4,33554432,157931019,33554432,33554432,346649828,134218022,346649820,157964606,157964606,1
r02-o01-go-32768,2,go,32768,65536,33554432,27054742,33554432,33554432,57792351,235410337,57792988,26759716,26759716,true
r02-o02-rust-36864,2,rust,36864,58255,33554880,38041608,3284255168,3284255168,83501509,134380013,83501506,38064428,38064428,1
r02-o03-c-32768,2,c,32768,65536,33554432,20190494,33554432,33554432,44319781,134545680,44319770,20213855,20213855,1
