schema_version,sample_id,build_id,perf_profile,event,value,time_enabled,time_running
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-l2_miss-32768,arena-pointer-gcc13-raw,l2_miss,cycles,548734226,250023806,250023806
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-l2_miss-32768,arena-pointer-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,1046,250020753,250020753
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-dtlb_walk-6291456,arena-pointer-gcc13-raw,dtlb_walk,cycles,549864815,250543913,250543913
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-dtlb_walk-6291456,arena-pointer-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,1735293,250544464,250544464
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-l1_miss-1048576,arena-pointer-gcc13-raw,l1_miss,cycles,549295233,250280173,250280173
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-l1_miss-1048576,arena-pointer-gcc13-raw,l1_miss,mem_load_uops_retired_l1_miss,11774405,250278517,250278517
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-l3_miss-36864,arena-pointer-gcc13-raw,l3_miss,cycles,548731753,250022779,250022779
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-l3_miss-36864,arena-pointer-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,18,250021185,250021185
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-l2_miss-36864,arena-pointer-gcc13-raw,l2_miss,cycles,548741223,250026620,250026620
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-l2_miss-36864,arena-pointer-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,844,250023669,250023669
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-l2_miss-536870912,arena-pointer-gcc13-raw,l2_miss,cycles,1840490303,838550243,838550243
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-l2_miss-536870912,arena-pointer-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,8388601,838549231,838549231
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-l1_miss-8388608,arena-pointer-gcc13-raw,l1_miss,cycles,549561308,250404793,250404793
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-l1_miss-8388608,arena-pointer-gcc13-raw,l1_miss,mem_load_uops_retired_l1_miss,4457024,250404509,250404509
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-l3_miss-6291456,arena-pointer-gcc13-raw,l3_miss,cycles,553442858,252173833,252173833
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-l3_miss-6291456,arena-pointer-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,2584200,252173229,252173229
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-l3_miss-8388608,arena-pointer-gcc13-raw,l3_miss,cycles,550752507,250947317,250947317
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-l3_miss-8388608,arena-pointer-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,2293971,250946852,250946852
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-l2_miss-1048576,arena-pointer-gcc13-raw,l2_miss,cycles,549011907,250151865,250151865
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-l2_miss-1048576,arena-pointer-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,11675978,250150732,250150732
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-dtlb_walk-262144,arena-pointer-gcc13-raw,dtlb_walk,cycles,548794488,250052574,250052574
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-dtlb_walk-262144,arena-pointer-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,1,250050713,250050713
