round,profile,footprint_bytes,shuffle_key
1,l2_miss,32768,0166450792
1,dtlb_walk,6291456,0225700531
1,l1_miss,1048576,0395249673
1,l3_miss,36864,0459017001
1,l2_miss,36864,0483861763
1,l2_miss,536870912,0486297619
1,l1_miss,8388608,0605790670
1,l3_miss,6291456,0613673119
1,l3_miss,8388608,0726653972
1,l2_miss,1048576,0852245435
1,dtlb_walk,262144,0899601460
1,l1_miss,36864,0915574513
1,l2_miss,262144,0937028243
1,l3_miss,262144,0989744739
1,l3_miss,32768,1009857205
1,dtlb_walk,32768,1085839302
1,dtlb_walk,536870912,1194466667
1,dtlb_walk,1048576,1308692538
1,dtlb_walk,8388608,1463475961
1,l2_miss,6291456,1464471015
1,l1_miss,6291456,1518541646
1,l3_miss,1048576,1542650953
1,dtlb_walk,36864,1620869172
1,l1_miss,32768,1669685219
1,l1_miss,262144,1704090461
1,l1_miss,536870912,1973545366
1,l2_miss,8388608,1984094018
1,l3_miss,536870912,2076105039
2,dtlb_walk,32768,0135442109
2,l3_miss,36864,0250902719
2,l1_miss,32768,0282607837
2,l3_miss,536870912,0402693212
2,l2_miss,36864,0527055368
2,dtlb_walk,6291456,0744174682
2,l2_miss,32768,0946774083
2,l1_miss,36864,0985822071
2,dtlb_walk,262144,1064533580
2,l2_miss,1048576,1079938161
2,l1_miss,8388608,1097111453
2,l1_miss,1048576,1111734764
2,l3_miss,32768,1132268686
2,dtlb_walk,8388608,1256552348
2,l2_miss,536870912,1347418531
2,l1_miss,262144,1488915702
2,l1_miss,6291456,1501200624
2,l1_miss,536870912,1510264440
2,l3_miss,262144,1523115632
2,dtlb_walk,536870912,1529547455
2,l3_miss,6291456,1534275501
2,l2_miss,262144,1614637093
2,dtlb_walk,1048576,1617795292
2,dtlb_walk,36864,1664863416
2,l3_miss,1048576,1676922353
2,l2_miss,8388608,1720212743
2,l3_miss,8388608,1786622451
2,l2_miss,6291456,1914620383
3,l3_miss,36864,0042788437
3,l2_miss,536870912,0061055796
3,l2_miss,262144,0144762296
3,l2_miss,6291456,0217286104
3,l3_miss,6291456,0307394236
3,l2_miss,36864,0570248973
3,l3_miss,8388608,0699107283
3,l3_miss,536870912,0876765032
3,l1_miss,32768,1043014102
3,l1_miss,536870912,1046983514
3,dtlb_walk,8388608,1049628735
3,l1_miss,36864,1056069629
3,dtlb_walk,262144,1229465700
3,l3_miss,32768,1254680167
3,dtlb_walk,6291456,1262648833
3,l1_miss,262144,1273740943
3,l2_miss,1048576,1307630887
3,dtlb_walk,32768,1332528563
3,l2_miss,8388608,1456331468
3,l1_miss,6291456,1483859602
3,l1_miss,8388608,1588432236
3,dtlb_walk,36864,1708857660
3,l2_miss,32768,1727097374
3,l3_miss,1048576,1811193753
3,l1_miss,1048576,1828219855
3,dtlb_walk,536870912,1864628243
3,dtlb_walk,1048576,1926898046
3,l3_miss,262144,2056486525
4,dtlb_walk,536870912,0052225384
4,dtlb_walk,1048576,0088517153
4,l2_miss,32768,0359937018
4,dtlb_walk,32768,0382131370
4,l1_miss,1048576,0397221299
4,l3_miss,262144,0442373771
4,l1_miss,536870912,0583702588
4,l2_miss,36864,0613442578
4,l2_miss,6291456,0667435472
4,l2_miss,262144,0822371146
4,dtlb_walk,8388608,0842705122
4,l2_miss,536870912,0922176708
4,l1_miss,262144,1058566184
4,l1_miss,36864,1126317187
4,l2_miss,8388608,1192450193
4,l3_miss,6291456,1227996618
4,l3_miss,536870912,1350836852
4,l3_miss,32768,1377091648
4,dtlb_walk,262144,1394397820
4,l1_miss,6291456,1466518580
4,l2_miss,1048576,1535323613
4,dtlb_walk,36864,1752851904
4,l3_miss,8388608,1759075762
4,dtlb_walk,6291456,1781122984
4,l1_miss,32768,1803420367
4,l3_miss,1048576,1945465153
4,l3_miss,36864,1982157802
4,l1_miss,8388608,2079753019
5,l3_miss,6291456,0001115353
5,l1_miss,536870912,0120421662
5,dtlb_walk,6291456,0152113488
5,dtlb_walk,536870912,0387306172
5,dtlb_walk,1048576,0397619907
5,l1_miss,32768,0416342985
5,l1_miss,8388608,0423590155
5,dtlb_walk,8388608,0635781509
5,l2_miss,36864,0656636183
5,l3_miss,8388608,0671560594
5,l1_miss,262144,0843391425
5,l2_miss,8388608,0928568918
5,l3_miss,262144,0975744664
5,l1_miss,1048576,1113706390
5,l2_miss,6291456,1117584840
5,l2_miss,32768,1140260309
5,l1_miss,36864,1196564745
5,l1_miss,6291456,1449177558
5,l3_miss,32768,1499503129
5,l2_miss,262144,1499979996
5,dtlb_walk,262144,1559329940
5,dtlb_walk,32768,1579217824
5,l2_miss,1048576,1763016339
5,l3_miss,36864,1774043520
5,l2_miss,536870912,1783297620
5,dtlb_walk,36864,1796846148
5,l3_miss,536870912,1824908672
5,l3_miss,1048576,2079736553
6,l2_miss,262144,0030105199
6,l3_miss,1048576,0066524306
6,l3_miss,536870912,0151496845
6,dtlb_walk,8388608,0428857896
6,l2_miss,536870912,0496934885
6,l1_miss,262144,0628216666
6,dtlb_walk,32768,0628820631
6,l2_miss,8388608,0664687643
6,dtlb_walk,6291456,0670587639
6,l2_miss,36864,0699829788
6,dtlb_walk,1048576,0706722661
6,dtlb_walk,536870912,0722386960
6,l1_miss,8388608,0914910938
6,l3_miss,6291456,0921717735
6,l1_miss,32768,1176749250
6,l1_miss,36864,1266812303
6,l1_miss,6291456,1431836536
6,l3_miss,262144,1509115557
6,l3_miss,36864,1565929238
6,l2_miss,6291456,1567734208
6,l3_miss,32768,1621914610
6,dtlb_walk,262144,1724262060
6,l3_miss,8388608,1731529073
6,l1_miss,536870912,1804624383
6,l1_miss,1048576,1830191481
6,dtlb_walk,36864,1840840392
6,l2_miss,32768,1920583600
6,l2_miss,1048576,1990709065
