schema_version,sample_id,build_id,round,mode,implementation,state,perf_profile,footprint_bytes,physical_footprint_bytes,logical_operations,passes,wall_ns,tsc_ticks,cpu_before,cpu_after,minor_faults,major_faults,checksum,first_touch_exception
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-l2_miss-32768,arena-pointer-gcc13-raw,1,arena_pointer_chase,scalar,warm,l2_miss,32768,32768,50594816,98818,250001870,548733008,4,4,0,0,0,0
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-dtlb_walk-6291456,arena-pointer-gcc13-raw,1,arena_pointer_chase,scalar,warm,dtlb_walk,6291456,6291456,5111808,52,250516743,549862964,4,4,0,0,0,0
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-l1_miss-1048576,arena-pointer-gcc13-raw,1,arena_pointer_chase,scalar,warm,l1_miss,1048576,1048576,11763712,718,250257261,549293592,4,4,0,0,0,0
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-l3_miss-36864,arena-pointer-gcc13-raw,1,arena_pointer_chase,scalar,warm,l3_miss,36864,36864,26000640,45140,250000589,548730124,4,4,0,0,0,0
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-l2_miss-36864,arena-pointer-gcc13-raw,1,arena_pointer_chase,scalar,warm,l2_miss,36864,36864,25999488,45138,250005092,548740000,4,4,0,0,0,0
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-l2_miss-536870912,arena-pointer-gcc13-raw,1,arena_pointer_chase,scalar,warm,l2_miss,536870912,536870912,8388608,1,838523253,1840488420,4,4,0,0,18017347997925624,0
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-l1_miss-8388608,arena-pointer-gcc13-raw,1,arena_pointer_chase,scalar,warm,l1_miss,8388608,8388608,4456448,34,250378453,549559384,4,4,0,0,0,0
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-l3_miss-6291456,arena-pointer-gcc13-raw,1,arena_pointer_chase,scalar,warm,l3_miss,6291456,6291456,4227072,43,252146788,553440752,4,4,0,0,211212959382102,0
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-l3_miss-8388608,arena-pointer-gcc13-raw,1,arena_pointer_chase,scalar,warm,l3_miss,8388608,8388608,4718592,36,250921105,550750488,4,4,0,0,0,0
1,arena-pointer-gcc13-raw-r1-arena_pointer_chase-scalar-warm-l2_miss-1048576,arena-pointer-gcc13-raw,1,arena_pointer_chase,scalar,warm,l2_miss,1048576,1048576,11665408,712,250128151,549009996,4,4,0,0,0,0
