build_id,mode,implementation,state,perf_profile,footprint_bytes,accepted_rows,median_ns_per_operation,p05_ns_per_operation,p95_ns_per_operation,median_tsc_ticks_per_operation,p05_tsc_ticks_per_operation,p95_tsc_ticks_per_operation
stride16-gcc13-scalar,arena_pointer_chase,scalar,cache_evicted,basic,32768,15,4.81263769802,4.64733825723,5.13156114363,10.5633310777,10.2005118609,11.2633461865
stride16-gcc13-scalar,arena_pointer_chase,scalar,cache_evicted,basic,262144,15,15.0475563912,11.2669178909,16.8218906347,33.0281065616,24.7299406348,36.9226214823
stride16-gcc13-scalar,arena_pointer_chase,scalar,cache_evicted,basic,1048576,15,21.5226372422,21.1741442211,21.9530952717,47.2403586836,46.4754592959,48.1851747009
stride16-gcc13-scalar,arena_pointer_chase,scalar,cache_evicted,basic,6291456,15,47.1533600607,37.4176513073,71.5422312419,103.497548798,82.128566368,157.029112639
stride16-gcc13-scalar,arena_pointer_chase,scalar,cache_evicted,basic,8388608,15,57.9337421764,47.924108696,78.6266464233,127.159640225,105.189348602,172.578808594
stride16-gcc13-scalar,arena_pointer_chase,scalar,cache_evicted,basic,33554432,15,84.2544841766,81.1438868841,87.2546129227,184.931440989,178.103939056,191.516468048
stride16-gcc13-scalar,arena_pointer_chase,scalar,cache_evicted,basic,536870912,14,101.268079996,100.239200592,133.695478201,222.274983883,220.016690254,293.450428009
stride16-gcc13-scalar,arena_pointer_chase,scalar,cache_evicted,branch,32768,15,4.74075420583,4.62492037802,5.20708931909,10.4055524675,10.1513048533,11.4291185562
stride16-gcc13-scalar,arena_pointer_chase,scalar,cache_evicted,branch,262144,15,13.8881107682,11.1782021808,16.5023846447,30.4832206787,24.5352025656,36.2213420223
stride16-gcc13-scalar,arena_pointer_chase,scalar,cache_evicted,branch,1048576,15,21.5130579989,21.2336795048,23.1780660395,47.2193331866,46.6061135665,50.8738656167
stride16-gcc13-scalar,arena_pointer_chase,scalar,cache_evicted,branch,6291456,15,48.4218688581,40.2873512904,82.0659507834,106.281887222,88.4273090363,180.127782678
stride16-gcc13-scalar,arena_pointer_chase,scalar,cache_evicted,branch,8388608,15,55.8519548689,52.4192490449,84.0902282051,122.590291922,115.055774586,184.570896315
stride16-gcc13-scalar,arena_pointer_chase,scalar,cache_evicted,branch,33554432,15,85.1254857381,82.9037685394,87.4605433146,186.843256632,181.966729482,191.968468984
stride16-gcc13-scalar,arena_pointer_chase,scalar,cache_evicted,branch,536870912,15,101.055545688,99.9721398354,135.920084476,221.808506012,219.430506706,298.333271027
stride16-gcc13-scalar,arena_pointer_chase,scalar,warm,basic,8192,15,3.495360529,3.48514411474,3.51110927161,7.6720182537,7.64959761962,7.70658838048
stride16-gcc13-scalar,arena_pointer_chase,scalar,warm,basic,16384,15,3.37670412699,3.37459230902,3.38342395117,7.41158081307,7.40694770325,7.42632784783
stride16-gcc13-scalar,arena_pointer_chase,scalar,warm,basic,24576,15,3.33543044864,3.33464599414,3.34690248204,7.3209866028,7.31926851776,7.34616651287
stride16-gcc13-scalar,arena_pointer_chase,scalar,warm,basic,28672,15,3.52631008802,3.42634752261,3.64327896042,7.73995480704,7.52054530252,7.99668660807
stride16-gcc13-scalar,arena_pointer_chase,scalar,warm,basic,32768,15,4.83488423743,4.58619285842,4.97986615202,10.6121600288,10.0663016851,10.9303894553
stride16-gcc13-scalar,arena_pointer_chase,scalar,warm,basic,36864,15,9.61546098502,9.60975065899,9.63339741396,21.1051202028,21.0925863912,21.144491609
stride16-gcc13-scalar,arena_pointer_chase,scalar,warm,basic,49152,15,9.60670151185,9.60137746468,9.61957295976,21.0859039152,21.0742193645,21.1141425335
stride16-gcc13-scalar,arena_pointer_chase,scalar,warm,basic,65536,15,9.59667588735,9.59121281735,9.60105549705,21.0638909327,21.0519031747,21.0735007582
stride16-gcc13-scalar,arena_pointer_chase,scalar,warm,basic,98304,15,9.58673790009,9.58528082244,12.0293780447,21.0420734431,21.038887979,26.4034603026
stride16-gcc13-scalar,arena_pointer_chase,scalar,warm,basic,131072,15,9.58415811219,9.58082671817,11.0736546842,21.0364179531,21.0291109434,24.3057430804
stride16-gcc13-scalar,arena_pointer_chase,scalar,warm,basic,196608,15,10.8117895801,9.58094036814,12.1599247426,23.7309721461,21.0293522143,26.6900031983
stride16-gcc13-scalar,arena_pointer_chase,scalar,warm,basic,229376,15,11.6064104004,10.404212275,14.5108494306,25.47508988,22.8363647864,31.8500805948
stride16-gcc13-scalar,arena_pointer_chase,scalar,warm,basic,262144,15,12.8694892061,11.5960145156,16.1817835366,28.247435983,25.4522814533,35.5176604545
stride16-gcc13-scalar,arena_pointer_chase,scalar,warm,basic,294912,15,16.3660800418,14.3686226308,17.3609225603,35.9221748261,31.537902947,38.1057708755
stride16-gcc13-scalar,arena_pointer_chase,scalar,warm,basic,393216,15,19.0396131296,17.8109211171,19.7682795995,41.7903316963,39.093455108,43.3896944436
stride16-gcc13-scalar,arena_pointer_chase,scalar,warm,basic,524288,15,20.351922526,19.8261555461,20.5617830321,44.6707626953,43.5167496322,45.1313608086
stride16-gcc13-scalar,arena_pointer_chase,scalar,warm,basic,1048576,15,21.4822895892,21.1694543339,21.6151521591,47.1517988116,46.4651678035,47.4434285367
stride16-gcc13-scalar,arena_pointer_chase,scalar,warm,basic,2097152,15,22.145798216,21.6756717508,22.7580357506,48.6081606658,47.5762675892,49.9519547962
stride16-gcc13-scalar,arena_pointer_chase,scalar,warm,basic,4194304,15,32.9900999398,25.9147065652,83.2361801811,72.4104551118,56.8805801804,182.696306312
stride16-gcc13-scalar,arena_pointer_chase,scalar,warm,basic,5242880,15,38.6713412901,34.1268561469,64.4562993368,84.8803055775,74.9055295139,141.47608846
