schema_version,sample_id,build_id,round,mode,implementation,state,perf_profile,footprint_bytes,physical_footprint_bytes,logical_operations,passes,wall_ns,tsc_ticks,cpu_before,cpu_after,minor_faults,major_faults,checksum,first_touch_exception
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-8388608,stride16-gcc13-scalar,0,arena_pointer_chase,scalar,warm,branch,8388608,8388608,3670016,28,256149815,562227060,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-393216,stride16-gcc13-scalar,0,arena_pointer_chase,scalar,warm,basic,393216,393216,13117440,2135,250017855,548768264,4,4,0,0,12930045718171,0
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-cache_evicted-basic-1048576,stride16-gcc13-scalar,0,arena_pointer_chase,scalar,cache_evicted,basic,1048576,1048576,11616256,709,250127061,549007788,4,4,0,0,34862813562011,0
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-8388608,stride16-gcc13-scalar,0,arena_pointer_chase,scalar,warm,basic,8388608,8388608,4587520,35,253019422,555356136,4,4,0,0,279867080901543,0
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-262144,stride16-gcc13-scalar,0,arena_pointer_chase,scalar,warm,branch,262144,262144,19329024,4719,250015451,548762764,4,4,0,0,8565085882191,0
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-131072,stride16-gcc13-scalar,0,arena_pointer_chase,scalar,warm,branch,131072,131072,26093568,12741,250000934,548731124,4,4,0,0,4278656075126,0
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-12582912,stride16-gcc13-scalar,0,arena_pointer_chase,scalar,warm,basic,12582912,12582912,3735552,19,250166645,549094528,4,4,0,0,420571946603603,0
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-8192,stride16-gcc13-scalar,0,arena_pointer_chase,scalar,warm,branch,8192,8192,71714432,560269,250000538,548729892,4,4,0,0,269968177558,0
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-8192,stride16-gcc13-scalar,0,arena_pointer_chase,scalar,warm,basic,8192,8192,71489664,558513,250000325,548729464,4,4,0,0,269968177558,0
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-65536,stride16-gcc13-scalar,0,arena_pointer_chase,scalar,warm,branch,65536,65536,26048512,25438,250001435,548731892,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-49152,stride16-gcc13-scalar,0,arena_pointer_chase,scalar,warm,basic,49152,49152,26031360,33895,250000633,548730204,4,4,0,0,1549705733025,0
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-98304,stride16-gcc13-scalar,0,arena_pointer_chase,scalar,warm,branch,98304,98304,26081280,16980,250006596,548743540,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-24576,stride16-gcc13-scalar,0,arena_pointer_chase,scalar,warm,branch,24576,24576,74955264,195196,250001311,548731820,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-36864,stride16-gcc13-scalar,0,arena_pointer_chase,scalar,warm,branch,36864,36864,25944192,45042,250002123,548733392,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-36864,stride16-gcc13-scalar,0,arena_pointer_chase,scalar,warm,basic,36864,36864,25981632,45107,250004843,548739408,4,4,0,0,1181423765807,0
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-16384,stride16-gcc13-scalar,0,arena_pointer_chase,scalar,warm,branch,16384,16384,74123776,289546,250000706,548730576,4,4,0,0,0,0
