schema_version,sample_id,build_id,perf_profile,event,value,time_enabled,time_running
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-8388608,stride16-gcc13-scalar,branch,cycles,562229236,256186197,256186197
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-8388608,stride16-gcc13-scalar,branch,branches,3670988,256187320,256187320
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-8388608,stride16-gcc13-scalar,branch,branch_misses,62,256184266,256184266
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-393216,stride16-gcc13-scalar,basic,cycles,548769967,250051867,250051867
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-393216,stride16-gcc13-scalar,basic,instructions,105279711,250049169,250049169
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-393216,stride16-gcc13-scalar,basic,ref_cycles,548772268,250045761,250045761
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-cache_evicted-basic-1048576,stride16-gcc13-scalar,basic,cycles,549009709,250160685,250160685
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-cache_evicted-basic-1048576,stride16-gcc13-scalar,basic,instructions,93043408,250159579,250159579
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-cache_evicted-basic-1048576,stride16-gcc13-scalar,basic,ref_cycles,549012112,250157173,250157173
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-8388608,stride16-gcc13-scalar,basic,cycles,555358334,253055450,253055450
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-8388608,stride16-gcc13-scalar,basic,instructions,36706354,253055204,253055204
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-8388608,stride16-gcc13-scalar,basic,ref_cycles,555361774,253051574,253051574
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-262144,stride16-gcc13-scalar,branch,cycles,548764436,250048427,250048427
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-262144,stride16-gcc13-scalar,branch,branches,19470726,250046126,250046126
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-262144,stride16-gcc13-scalar,branch,branch_misses,4762,250042727,250042727
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-131072,stride16-gcc13-scalar,branch,cycles,548732240,250033522,250033522
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-131072,stride16-gcc13-scalar,branch,branches,26475970,250029864,250029864
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-131072,stride16-gcc13-scalar,branch,branch_misses,12794,250025910,250025910
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-12582912,stride16-gcc13-scalar,basic,cycles,549096592,250203010,250203010
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-12582912,stride16-gcc13-scalar,basic,instructions,29888066,250202250,250202250
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-12582912,stride16-gcc13-scalar,basic,ref_cycles,549100288,250198747,250198747
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-8192,stride16-gcc13-scalar,branch,cycles,548731931,250034230,250034230
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-8192,stride16-gcc13-scalar,branch,branches,88523071,250032431,250032431
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-8192,stride16-gcc13-scalar,branch,branch_misses,560460,250029054,250029054
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-8192,stride16-gcc13-scalar,basic,cycles,548732054,250034433,250034433
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-8192,stride16-gcc13-scalar,basic,instructions,660746700,250032651,250032651
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-8192,stride16-gcc13-scalar,basic,ref_cycles,548734032,250029605,250029605
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-65536,stride16-gcc13-scalar,branch,cycles,548733877,250035492,250035492
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-65536,stride16-gcc13-scalar,branch,branches,26811790,250033583,250033583
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-65536,stride16-gcc13-scalar,branch,branch_misses,25491,250030191,250030191
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-49152,stride16-gcc13-scalar,basic,cycles,548731895,250033156,250033156
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-49152,stride16-gcc13-scalar,basic,instructions,213640958,250031253,250031253
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-49152,stride16-gcc13-scalar,basic,ref_cycles,548733834,250027719,250027719
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-98304,stride16-gcc13-scalar,branch,cycles,548744695,250039207,250039207
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-98304,stride16-gcc13-scalar,branch,branches,26590818,250035399,250035399
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-98304,stride16-gcc13-scalar,branch,branch_misses,17031,250031556,250031556
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-24576,stride16-gcc13-scalar,branch,cycles,548732933,250032407,250032407
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-24576,stride16-gcc13-scalar,branch,branches,80812070,250030088,250030088
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-24576,stride16-gcc13-scalar,branch,branch_misses,195304,250026532,250026532
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-36864,stride16-gcc13-scalar,branch,cycles,548735438,250034747,250034747
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-36864,stride16-gcc13-scalar,branch,branches,27295614,250033585,250033585
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-36864,stride16-gcc13-scalar,branch,branch_misses,45101,250030539,250030539
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-36864,stride16-gcc13-scalar,basic,cycles,548741213,250038335,250038335
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-36864,stride16-gcc13-scalar,basic,instructions,215025761,250036178,250036178
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-36864,stride16-gcc13-scalar,basic,ref_cycles,548743338,250032746,250032746
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-16384,stride16-gcc13-scalar,branch,cycles,548731581,250033018,250033018
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-16384,stride16-gcc13-scalar,branch,branches,82810595,250029331,250029331
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-16384,stride16-gcc13-scalar,branch,branch_misses,289693,250025395,250025395
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-536870912,stride16-gcc13-scalar,branch,cycles,1839322980,838030822,838030822
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-536870912,stride16-gcc13-scalar,branch,branches,8388770,838030006,838030006
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-536870912,stride16-gcc13-scalar,branch,branch_misses,29,838026200,838026200
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-33554432,stride16-gcc13-scalar,basic,cycles,601915474,274268740,274268740
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-33554432,stride16-gcc13-scalar,basic,instructions,25167407,274268818,274268818
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-33554432,stride16-gcc13-scalar,basic,ref_cycles,601918878,274265097,274265097
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-cache_evicted-branch-32768,stride16-gcc13-scalar,branch,cycles,548733329,250036390,250036390
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-cache_evicted-branch-32768,stride16-gcc13-scalar,branch,branches,55824581,250034486,250034486
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-cache_evicted-branch-32768,stride16-gcc13-scalar,branch,branch_misses,103073,250031032,250031032
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-294912,stride16-gcc13-scalar,basic,cycles,548887733,250104960,250104960
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-294912,stride16-gcc13-scalar,basic,instructions,122361644,250103174,250103174
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-294912,stride16-gcc13-scalar,basic,ref_cycles,548890496,250100212,250100212
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-24576,stride16-gcc13-scalar,basic,cycles,548731087,250031987,250031987
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-24576,stride16-gcc13-scalar,basic,instructions,630718018,250028551,250028551
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-24576,stride16-gcc13-scalar,basic,ref_cycles,548732008,250024918,250024918
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-134217728,stride16-gcc13-scalar,branch,cycles,886018540,403706650,403706650
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-134217728,stride16-gcc13-scalar,branch,branches,4194496,403705131,403705131
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-134217728,stride16-gcc13-scalar,branch,branch_misses,36,403701273,403701273
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-cache_evicted-basic-262144,stride16-gcc13-scalar,basic,cycles,548748085,250039804,250039804
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-cache_evicted-basic-262144,stride16-gcc13-scalar,basic,instructions,130358663,250036848,250036848
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-cache_evicted-basic-262144,stride16-gcc13-scalar,basic,ref_cycles,548749344,250033708,250033708
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-524288,stride16-gcc13-scalar,branch,cycles,548820781,250075103,250075103
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-524288,stride16-gcc13-scalar,branch,branches,12374242,250074091,250074091
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-524288,stride16-gcc13-scalar,branch,branch_misses,1551,250070688,250070688
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-229376,stride16-gcc13-scalar,basic,cycles,548838515,250082384,250082384
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-229376,stride16-gcc13-scalar,basic,instructions,138620173,250080353,250080353
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-229376,stride16-gcc13-scalar,basic,ref_cycles,548841282,250077050,250077050
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-cache_evicted-basic-33554432,stride16-gcc13-scalar,basic,cycles,578059096,263400389,263400389
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-cache_evicted-basic-33554432,stride16-gcc13-scalar,basic,instructions,25167407,263398511,263398511
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-cache_evicted-basic-33554432,stride16-gcc13-scalar,basic,ref_cycles,578063090,263395369,263395369
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-5242880,stride16-gcc13-scalar,basic,cycles,552618486,251806817,251806817
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-5242880,stride16-gcc13-scalar,basic,instructions,49164554,251807014,251807014
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-5242880,stride16-gcc13-scalar,basic,ref_cycles,552622136,251803573,251803573
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-393216,stride16-gcc13-scalar,branch,cycles,548813621,250071380,250071380
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-393216,stride16-gcc13-scalar,branch,branches,13200154,250068036,250068036
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-393216,stride16-gcc13-scalar,branch,branch_misses,2188,250064284,250064284
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-16384,stride16-gcc13-scalar,basic,cycles,548731736,250032201,250032201
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-16384,stride16-gcc13-scalar,basic,instructions,638612213,250029806,250029806
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-16384,stride16-gcc13-scalar,basic,ref_cycles,548732800,250026459,250026459
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-1048576,stride16-gcc13-scalar,branch,cycles,549007893,250159593,250159593
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-1048576,stride16-gcc13-scalar,branch,branches,11621244,250156723,250156723
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-1048576,stride16-gcc13-scalar,branch,branch_misses,746,250152680,250152680
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-28672,stride16-gcc13-scalar,basic,cycles,548730940,250031747,250031747
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-28672,stride16-gcc13-scalar,basic,instructions,574540322,250029489,250029489
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-28672,stride16-gcc13-scalar,basic,ref_cycles,548732822,250026469,250026469
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-98304,stride16-gcc13-scalar,basic,cycles,548731259,250033117,250033117
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-98304,stride16-gcc13-scalar,basic,instructions,211326189,250031262,250031262
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-basic-98304,stride16-gcc13-scalar,basic,ref_cycles,548733856,250028252,250028252
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-cache_evicted-branch-262144,stride16-gcc13-scalar,branch,cycles,548798309,250067068,250067068
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-cache_evicted-branch-262144,stride16-gcc13-scalar,branch,branches,17622278,250065081,250065081
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-cache_evicted-branch-262144,stride16-gcc13-scalar,branch,branch_misses,4318,250061283,250061283
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-2097152,stride16-gcc13-scalar,branch,cycles,549103979,250204059,250204059
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-2097152,stride16-gcc13-scalar,branch,branches,11315442,250201642,250201642
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-2097152,stride16-gcc13-scalar,branch,branch_misses,391,250197767,250197767
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-229376,stride16-gcc13-scalar,branch,cycles,548769416,250049619,250049619
1,stride16-gcc13-scalar-r0-arena_pointer_chase-scalar-warm-branch-229376,stride16-gcc13-scalar,branch,branches,23588736,250046416,250046416
