schema_version,sample_id,build_id,perf_profile,event,value,time_enabled,time_running
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-l2_miss-32768,index-cycle-gcc13-raw,l2_miss,cycles,548742308,250027094,250027094
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-l2_miss-32768,index-cycle-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,991,250024811,250024811
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-dtlb_walk-6291456,index-cycle-gcc13-raw,dtlb_walk,cycles,623019124,283873892,283873892
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-dtlb_walk-6291456,index-cycle-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,2097575,283872264,283872264
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-l1_miss-1048576,index-cycle-gcc13-raw,l1_miss,cycles,554349540,252582563,252582563
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-l1_miss-1048576,index-cycle-gcc13-raw,l1_miss,mem_load_uops_retired_l1_miss,15016816,252580419,252580419
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-l3_miss-36864,index-cycle-gcc13-raw,l3_miss,cycles,548737989,250024443,250024443
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-l3_miss-36864,index-cycle-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,1,250021299,250021299
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-l2_miss-36864,index-cycle-gcc13-raw,l2_miss,cycles,548746057,250028768,250028768
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-l2_miss-36864,index-cycle-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,904,250027798,250027798
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-l2_miss-536870912,index-cycle-gcc13-raw,l2_miss,cycles,28809462196,13125562794,13125562794
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-l2_miss-536870912,index-cycle-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,134186391,13125561956,13125561956
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-l1_miss-8388608,index-cycle-gcc13-raw,l1_miss,cycles,596687284,271876498,271876498
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-l1_miss-8388608,index-cycle-gcc13-raw,l1_miss,mem_load_uops_retired_l1_miss,6274290,271876343,271876343
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-l3_miss-6291456,index-cycle-gcc13-raw,l3_miss,cycles,617103173,281178286,281178286
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-l3_miss-6291456,index-cycle-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,2537074,281178063,281178063
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-l3_miss-8388608,index-cycle-gcc13-raw,l3_miss,cycles,595421285,271300396,271300396
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-l3_miss-8388608,index-cycle-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,2260101,271299832,271299832
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-l2_miss-1048576,index-cycle-gcc13-raw,l2_miss,cycles,554290460,252556262,252556262
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-l2_miss-1048576,index-cycle-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,11797545,252554953,252554953
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-dtlb_walk-262144,index-cycle-gcc13-raw,dtlb_walk,cycles,549438936,250344652,250344652
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-dtlb_walk-262144,index-cycle-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,0,250341437,250341437
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-l1_miss-36864,index-cycle-gcc13-raw,l1_miss,cycles,548747070,250028994,250028994
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-l1_miss-36864,index-cycle-gcc13-raw,l1_miss,mem_load_uops_retired_l1_miss,11847225,250026208,250026208
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-l2_miss-262144,index-cycle-gcc13-raw,l2_miss,cycles,549342283,250300701,250300701
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-l2_miss-262144,index-cycle-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,4860164,250298545,250298545
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-l3_miss-262144,index-cycle-gcc13-raw,l3_miss,cycles,549443366,250347560,250347560
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-l3_miss-262144,index-cycle-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,28,250345905,250345905
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-l3_miss-32768,index-cycle-gcc13-raw,l3_miss,cycles,548746731,250029976,250029976
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-l3_miss-32768,index-cycle-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,6203,250028708,250028708
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-dtlb_walk-32768,index-cycle-gcc13-raw,dtlb_walk,cycles,548744941,250028876,250028876
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-dtlb_walk-32768,index-cycle-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,0,250027782,250027782
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-dtlb_walk-536870912,index-cycle-gcc13-raw,dtlb_walk,cycles,31306409443,14263166457,14263166457
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-dtlb_walk-536870912,index-cycle-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,133170463,14263166657,14263166657
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-dtlb_walk-1048576,index-cycle-gcc13-raw,dtlb_walk,cycles,554168594,252501670,252501670
1,index-cycle-gcc13-raw-r1-dependent_index_cycle-scalar-warm-dtlb_walk-1048576,index-cycle-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,2,252499937,252499937
