build_id,mode,implementation,state,perf_profile,footprint_bytes,accepted_rows,median_ns_per_operation,p05_ns_per_operation,p95_ns_per_operation,median_tsc_ticks_per_operation,p05_tsc_ticks_per_operation,p95_tsc_ticks_per_operation
stride16-gcc13-scalar,dependent_index_cycle,scalar,cache_evicted,basic,32768,15,2.30065522264,2.29560041478,2.31002623509,5.04974542381,5.038650616,5.07031109551
stride16-gcc13-scalar,dependent_index_cycle,scalar,cache_evicted,basic,262144,14,6.38123127609,5.85259478516,7.92041303706,14.0062619212,12.8459478273,17.3846334244
stride16-gcc13-scalar,dependent_index_cycle,scalar,cache_evicted,basic,1048576,15,16.3233003778,16.3040669975,16.3446767775,35.8282783638,35.786039708,35.8751750881
stride16-gcc13-scalar,dependent_index_cycle,scalar,cache_evicted,basic,6291456,15,33.7731202443,30.8524346881,61.9232811398,74.1291300456,67.7184749179,135.916322496
stride16-gcc13-scalar,dependent_index_cycle,scalar,cache_evicted,basic,8388608,15,46.1174864769,42.9210178057,75.6908078194,101.223971049,94.207988739,166.134911537
stride16-gcc13-scalar,dependent_index_cycle,scalar,cache_evicted,basic,33554432,15,78.0920649767,75.7860366106,84.4347913265,171.405571938,166.344033718,185.327319145
stride16-gcc13-scalar,dependent_index_cycle,scalar,cache_evicted,basic,536870912,14,97.8581372127,97.5058197454,106.075055234,214.79047662,214.017168432,232.82592845
stride16-gcc13-scalar,dependent_index_cycle,scalar,cache_evicted,branch,32768,15,2.30230824316,2.29500311445,2.33194470852,5.05337073189,5.03733328379,5.11842034766
stride16-gcc13-scalar,dependent_index_cycle,scalar,cache_evicted,branch,262144,15,6.38653186811,6.03558863057,7.4049408787,14.017902285,13.2476085404,16.2532154645
stride16-gcc13-scalar,dependent_index_cycle,scalar,cache_evicted,branch,1048576,15,16.3253890215,16.3104231236,16.4158821106,35.8328531556,35.7999924482,36.0314638817
stride16-gcc13-scalar,dependent_index_cycle,scalar,cache_evicted,branch,6291456,15,32.8615740458,29.7509206136,68.9887809753,72.1283579508,65.300757938,151.424513923
stride16-gcc13-scalar,dependent_index_cycle,scalar,cache_evicted,branch,8388608,15,44.0378653208,40.3906451861,60.1061565081,96.6593805949,88.6540616353,131.927938461
stride16-gcc13-scalar,dependent_index_cycle,scalar,cache_evicted,branch,33554432,15,78.6357579231,75.7170898914,83.1929293871,172.598932266,166.192697048,182.601532459
stride16-gcc13-scalar,dependent_index_cycle,scalar,cache_evicted,branch,536870912,14,97.7348714024,97.5510566533,106.487149142,214.51991871,214.116460532,233.730441123
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,basic,8192,15,2.29486747772,2.2945041716,2.30318884571,5.03703895044,5.03624463572,5.05530349663
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,basic,16384,15,2.28683153583,2.28624384038,2.30174156224,5.01940077335,5.01811375839,5.05212690061
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,basic,24576,15,2.28556035365,2.28352377763,2.31078893132,5.01661092369,5.01214360766,5.07198437825
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,basic,28672,15,2.28972247715,2.28783548031,2.31674317495,5.02574704911,5.0216062131,5.0850545396
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,basic,32768,15,2.3002399563,2.29710925445,2.30659480827,5.04883165794,5.04196223498,5.06277947653
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,basic,36864,15,2.70901342504,2.69723955011,2.72475301919,5.94605577365,5.92021358585,5.98060302135
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,basic,49152,15,3.48101884958,3.46457914308,3.51575150706,7.64054274264,7.60445638187,7.71677690612
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,basic,65536,15,4.02588816376,3.99343904816,4.05057075322,8.8364820669,8.76525856543,8.89065836848
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,basic,98304,15,4.54134973798,4.52876846501,4.55798844824,9.96788213821,9.94026156693,10.0043972293
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,basic,131072,14,4.77908640499,4.77275212367,5.15094766347,10.4896888422,10.4757850365,11.3058986484
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,basic,196608,15,5.50203307556,5.01474154367,6.18562059182,12.0764946685,11.0069293443,13.5769111198
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,basic,229376,15,6.2908866697,5.30629070708,6.91734855985,13.8079613363,11.6468568231,15.1829919381
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,basic,262144,14,6.5567103907,6.04685570283,7.26745500837,14.391429888,13.2723348046,15.9514464751
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,basic,294912,15,7.47875543371,6.9994918631,8.1458661196,16.4152331322,15.3632988125,17.8794833925
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,basic,393216,15,10.2480018136,10.2147133864,10.700616361,22.4934979175,22.4204268245,23.4869430927
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,basic,524288,15,12.72235967,12.6620001382,12.935342067,27.924504598,27.7920200777,28.3919758152
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,basic,1048576,15,16.322589745,16.2709690029,17.3117366518,35.8266976567,35.7133876995,37.9977833884
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,basic,2097152,14,18.1085272895,18.0628246025,19.177170105,39.7466786702,39.6463620221,42.0922589111
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,basic,4194304,15,21.0597076416,19.9383659363,30.2679249048,46.2242692312,43.7630351384,66.4355211258
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,basic,5242880,15,27.546244594,24.7535795212,34.8623610179,60.4616716657,54.332006073,76.5199254354
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,basic,6291456,15,32.3885594686,30.501431783,73.8845702277,71.0901316325,66.9480569628,162.170382182
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,basic,7340032,15,39.7069534574,35.3131734303,51.2067756653,87.153427124,77.5094135829,112.394524711
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,basic,8388608,15,46.3830842972,40.8773053487,79.9114058018,101.806937536,89.7222086589,175.398851395
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,basic,12582912,15,62.5249185562,55.2282361984,81.0297409693,137.236911138,121.221312841,177.853468577
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,basic,33554432,15,77.7142322063,75.6013807058,80.0396559238,170.576257706,165.938729763,175.680375099
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,basic,134217728,15,91.2292944789,90.7977991402,93.1399067938,200.240714908,199.293616295,204.434348464
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,basic,536870912,15,97.7991351113,97.5276993439,104.972922221,214.660971999,214.065193474,230.406838775
stride16-gcc13-scalar,dependent_index_cycle,scalar,warm,branch,8192,15,2.29473348707,2.29453517637,2.29874725664,5.03674522932,5.03631114194,5.04555495614
