schema_version,sample_id,build_id,round,mode,implementation,state,perf_profile,footprint_bytes,physical_footprint_bytes,logical_operations,passes,wall_ns,tsc_ticks,cpu_before,cpu_after,minor_faults,major_faults,checksum,first_touch_exception
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-basic-1048576,stride16-gcc13-scalar,0,dependent_index_cycle,scalar,warm,basic,1048576,1048576,15466496,59,251654877,552360968,4,4,0,0,121856,0
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-branch-33554432,stride16-gcc13-scalar,0,dependent_index_cycle,scalar,warm,branch,33554432,33554432,8388608,1,652825726,1432897984,4,4,0,0,1244357,0
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-branch-196608,stride16-gcc13-scalar,0,dependent_index_cycle,scalar,warm,branch,196608,196608,47529984,967,250007438,548745244,4,4,0,0,10983,0
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-branch-6291456,stride16-gcc13-scalar,0,dependent_index_cycle,scalar,warm,branch,6291456,6291456,6291456,4,294215548,645778188,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-basic-28672,stride16-gcc13-scalar,0,dependent_index_cycle,scalar,warm,basic,28672,28672,109190144,15233,250015127,548762044,4,4,0,0,1127,0
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-cache_evicted-branch-33554432,stride16-gcc13-scalar,0,dependent_index_cycle,scalar,cache_evicted,branch,33554432,33554432,8388608,1,655295064,1438317988,4,4,0,0,7049563,0
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-branch-24576,stride16-gcc13-scalar,0,dependent_index_cycle,scalar,warm,branch,24576,24576,109406208,17807,250009988,548750688,4,4,0,0,191,0
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-branch-8192,stride16-gcc13-scalar,0,dependent_index_cycle,scalar,warm,branch,8192,8192,108953600,53200,250003241,548736160,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-basic-536870912,stride16-gcc13-scalar,0,dependent_index_cycle,scalar,warm,basic,536870912,536870912,134217728,1,14089227122,30924682416,4,4,0,0,128727158,0
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-basic-134217728,stride16-gcc13-scalar,0,dependent_index_cycle,scalar,warm,basic,134217728,134217728,33554432,1,3065594812,6728725656,4,4,0,0,24990668,0
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-branch-524288,stride16-gcc13-scalar,0,dependent_index_cycle,scalar,warm,branch,524288,524288,19791872,151,251322944,551632596,4,4,0,0,105839,0
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-basic-131072,stride16-gcc13-scalar,0,dependent_index_cycle,scalar,warm,basic,131072,131072,52330496,1597,250114332,548980008,4,4,0,0,22402,0
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-cache_evicted-basic-1048576,stride16-gcc13-scalar,0,dependent_index_cycle,scalar,cache_evicted,basic,1048576,1048576,15466496,59,252246234,553659120,4,4,0,0,53496,0
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-branch-8388608,stride16-gcc13-scalar,0,dependent_index_cycle,scalar,warm,branch,8388608,8388608,6291456,3,272419680,597938036,4,4,0,0,2045382,0
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-cache_evicted-basic-262144,stride16-gcc13-scalar,0,dependent_index_cycle,scalar,cache_evicted,basic,262144,262144,31588352,482,250192795,549151920,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-branch-49152,stride16-gcc13-scalar,0,dependent_index_cycle,scalar,warm,branch,49152,49152,71835648,5846,250004653,548738956,4,4,0,0,0,0
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-cache_evicted-basic-6291456,stride16-gcc13-scalar,0,dependent_index_cycle,scalar,cache_evicted,basic,6291456,6291456,7864320,5,272253742,597573852,4,4,0,0,1044385,0
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-basic-196608,stride16-gcc13-scalar,0,dependent_index_cycle,scalar,warm,basic,196608,196608,40550400,825,250250658,549278912,4,4,0,0,10983,0
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-basic-524288,stride16-gcc13-scalar,0,dependent_index_cycle,scalar,warm,basic,524288,524288,19791872,151,251370440,551737060,4,4,0,0,105839,0
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-cache_evicted-branch-6291456,stride16-gcc13-scalar,0,dependent_index_cycle,scalar,cache_evicted,branch,6291456,6291456,7864320,5,256528961,563059248,4,4,0,0,1044385,0
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-branch-134217728,stride16-gcc13-scalar,0,dependent_index_cycle,scalar,warm,branch,134217728,134217728,33554432,1,3064529851,6726388156,4,4,0,0,24990668,0
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-basic-98304,stride16-gcc13-scalar,0,dependent_index_cycle,scalar,warm,basic,98304,98304,55074816,2241,250017334,548766912,4,4,0,0,13402,0
