schema_version,sample_id,build_id,perf_profile,event,value,time_enabled,time_running
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-basic-1048576,stride16-gcc13-scalar,basic,cycles,550742490,251688762,251688762
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-basic-1048576,stride16-gcc13-scalar,basic,instructions,61876363,251691480,251691480
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-basic-1048576,stride16-gcc13-scalar,basic,ref_cycles,550744260,251688171,251688171
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-branch-33554432,stride16-gcc13-scalar,branch,cycles,1432900066,652865152,652865152
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-branch-33554432,stride16-gcc13-scalar,branch,branches,8388771,652863629,652863629
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-branch-33554432,stride16-gcc13-scalar,branch,branch_misses,26,652859790,652859790
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-branch-196608,stride16-gcc13-scalar,branch,cycles,548746452,250039928,250039928
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-branch-196608,stride16-gcc13-scalar,branch,branches,47560093,250036720,250036720
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-branch-196608,stride16-gcc13-scalar,branch,branch_misses,1013,250032881,250032881
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-branch-6291456,stride16-gcc13-scalar,branch,cycles,645780143,294254654,294254654
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-branch-6291456,stride16-gcc13-scalar,branch,branches,6291712,294254670,294254670
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-branch-6291456,stride16-gcc13-scalar,branch,branch_misses,35,294250554,294250554
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-basic-28672,stride16-gcc13-scalar,basic,cycles,548763428,250047211,250047211
1,stride16-gcc13-scalar-r0-dependent_index_cycle-scalar-warm-basic-28672,stride16-gcc13-scalar,basic,instructions,439213795,250043775,250043775
