schema_version,sample_id,build_id,perf_profile,event,value,time_enabled,time_running
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l3_miss-6291456,mlp8-gcc13-raw,l3_miss,cycles,549151613,250215826,250215826
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l3_miss-6291456,mlp8-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,52075,250214360,250214360
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l1_miss-262144,mlp8-gcc13-raw,l1_miss,cycles,548731123,250022148,250022148
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l1_miss-262144,mlp8-gcc13-raw,l1_miss,mem_load_uops_retired_l1_miss,20812077,250019602,250019602
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l3_miss-32768,mlp8-gcc13-raw,l3_miss,cycles,548730074,250021150,250021150
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l3_miss-32768,mlp8-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,66,250018618,250018618
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-dtlb_walk-6291456,mlp8-gcc13-raw,dtlb_walk,cycles,548909815,250105645,250105645
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-dtlb_walk-6291456,mlp8-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,3691477,250104555,250104555
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-dtlb_walk-1048576,mlp8-gcc13-raw,dtlb_walk,cycles,548755350,250032985,250032985
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-dtlb_walk-1048576,mlp8-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,4,250031059,250031059
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l3_miss-536870912,mlp8-gcc13-raw,l3_miss,cycles,696779174,317478299,317478299
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l3_miss-536870912,mlp8-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,3140614,317477770,317477770
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-dtlb_walk-36864,mlp8-gcc13-raw,dtlb_walk,cycles,548730741,250021483,250021483
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-dtlb_walk-36864,mlp8-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,0,250019199,250019199
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l2_miss-32768,mlp8-gcc13-raw,l2_miss,cycles,548731306,250022616,250022616
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l2_miss-32768,mlp8-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,990,250020562,250020562
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l2_miss-262144,mlp8-gcc13-raw,l2_miss,cycles,548731709,250023172,250023172
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l2_miss-262144,mlp8-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,1762,250022327,250022327
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l2_miss-536870912,mlp8-gcc13-raw,l2_miss,cycles,692792938,315692132,315692132
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l2_miss-536870912,mlp8-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,3147299,315693348,315693348
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l2_miss-1048576,mlp8-gcc13-raw,l2_miss,cycles,548767223,250039594,250039594
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l2_miss-1048576,mlp8-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,1596644,250037094,250037094
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l3_miss-8388608,mlp8-gcc13-raw,l3_miss,cycles,549205990,250240363,250240363
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l3_miss-8388608,mlp8-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,1594,250239951,250239951
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l3_miss-1048576,mlp8-gcc13-raw,l3_miss,cycles,548771121,250041792,250041792
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l3_miss-1048576,mlp8-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,326,250040259,250040259
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-dtlb_walk-8388608,mlp8-gcc13-raw,dtlb_walk,cycles,548799746,250055582,250055582
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-dtlb_walk-8388608,mlp8-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,5209147,250055548,250055548
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l2_miss-8388608,mlp8-gcc13-raw,l2_miss,cycles,549347479,250305175,250305175
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l2_miss-8388608,mlp8-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,10162243,250305769,250305769
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l1_miss-36864,mlp8-gcc13-raw,l1_miss,cycles,548731985,250023066,250023066
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l1_miss-36864,mlp8-gcc13-raw,l1_miss,mem_load_uops_retired_l1_miss,1119,250021982,250021982
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-dtlb_walk-32768,mlp8-gcc13-raw,dtlb_walk,cycles,548730484,250021212,250021212
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-dtlb_walk-32768,mlp8-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,0,250017928,250017928
