schema_version,sample_id,build_id,round,mode,implementation,state,perf_profile,footprint_bytes,physical_footprint_bytes,logical_operations,passes,wall_ns,tsc_ticks,cpu_before,cpu_after,minor_faults,major_faults,checksum,first_touch_exception
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l3_miss-6291456,mlp8-gcc13-raw,1,mlp8_cycle,scalar,warm,l3_miss,6291456,6291456,85032960,865,250191751,549149812,4,4,0,0,213506369055993,0
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l1_miss-262144,mlp8-gcc13-raw,1,mlp8_cycle,scalar,warm,l1_miss,262144,262144,283783168,69283,250000356,548729840,4,4,0,0,9085161105627,0
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l3_miss-32768,mlp8-gcc13-raw,1,mlp8_cycle,scalar,warm,l3_miss,32768,32768,274614272,536356,250000091,548729252,4,4,0,0,0,0
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-dtlb_walk-6291456,mlp8-gcc13-raw,1,mlp8_cycle,scalar,warm,dtlb_walk,6291456,6291456,85032960,865,250081620,548907932,4,4,0,0,213506369055993,0
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-dtlb_walk-1048576,mlp8-gcc13-raw,1,mlp8_cycle,scalar,warm,dtlb_walk,1048576,1048576,197443584,12051,250011403,548753624,4,4,0,0,35656191101258,0
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l3_miss-536870912,mlp8-gcc13-raw,1,mlp8_cycle,scalar,warm,l3_miss,536870912,536870912,25165824,3,317450635,696777608,4,4,0,0,18005810352128959,0
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-dtlb_walk-36864,mlp8-gcc13-raw,1,mlp8_cycle,scalar,warm,dtlb_walk,36864,36864,278447040,483415,250000321,548729732,4,4,0,0,1224756802526,0
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l2_miss-32768,mlp8-gcc13-raw,1,mlp8_cycle,scalar,warm,l2_miss,32768,32768,274818048,536754,250000358,548729720,4,4,0,0,0,0
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l2_miss-262144,mlp8-gcc13-raw,1,mlp8_cycle,scalar,warm,l2_miss,262144,262144,282505216,68971,250000480,548729820,4,4,0,0,9085161105627,0
1,mlp8-gcc13-raw-r1-mlp8_cycle-scalar-warm-l2_miss-536870912,mlp8-gcc13-raw,1,mlp8_cycle,scalar,warm,l2_miss,536870912,536870912,25165824,3,315775316,693100424,4,4,1,0,18005810352128959,0
