schema_version,sample_id,build_id,perf_profile,event,value,time_enabled,time_running
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-warm-basic-12582912,mlp8-gcc13-scalar,basic,cycles,549544305,250405434,250405434
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-warm-basic-12582912,mlp8-gcc13-scalar,basic,instructions,457686701,250405886,250405886
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-warm-basic-12582912,mlp8-gcc13-scalar,basic,ref_cycles,549549132,250402784,250402784
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-warm-basic-262144,mlp8-gcc13-scalar,basic,cycles,548732454,250032463,250032463
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-warm-basic-262144,mlp8-gcc13-scalar,basic,instructions,1764214121,250030174,250030174
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-warm-basic-262144,mlp8-gcc13-scalar,basic,ref_cycles,548734494,250027322,250027322
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-cache_evicted-basic-536870912,mlp8-gcc13-scalar,basic,cycles,689484802,314165993,314165993
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-cache_evicted-basic-536870912,mlp8-gcc13-scalar,basic,instructions,154141940,314164042,314164042
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-cache_evicted-basic-536870912,mlp8-gcc13-scalar,basic,ref_cycles,689488492,314161071,314161071
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-warm-branch-6291456,mlp8-gcc13-scalar,branch,cycles,542584606,247791607,247791607
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-warm-branch-6291456,mlp8-gcc13-scalar,branch,branches,10695699,247795811,247795811
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-warm-branch-6291456,mlp8-gcc13-scalar,branch,branch_misses,1132,247792984,247792984
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-cache_evicted-branch-33554432,mlp8-gcc13-scalar,branch,cycles,548812586,250075225,250075225
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-cache_evicted-branch-33554432,mlp8-gcc13-scalar,branch,branches,7016122,250075474,250075474
