schema_version,sample_id,build_id,round,mode,implementation,state,perf_profile,footprint_bytes,physical_footprint_bytes,logical_operations,passes,wall_ns,tsc_ticks,cpu_before,cpu_after,minor_faults,major_faults,checksum,first_touch_exception
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-warm-basic-12582912,mlp8-gcc13-scalar,0,mlp8_cycle,scalar,warm,basic,12582912,12582912,74711040,380,250370538,549541920,4,4,0,0,0,0
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-warm-basic-262144,mlp8-gcc13-scalar,0,mlp8_cycle,scalar,warm,basic,262144,262144,285609984,69729,250000860,548730952,4,4,0,0,8376835794308,0
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-cache_evicted-basic-536870912,mlp8-gcc13-scalar,0,mlp8_cycle,scalar,cache_evicted,basic,536870912,536870912,25165824,3,314127291,689482964,4,4,0,0,18003670775618672,0
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-warm-branch-6291456,mlp8-gcc13-scalar,0,mlp8_cycle,scalar,warm,branch,6291456,6291456,85327872,868,250030357,548795554,4,4,45,0,0,0
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-cache_evicted-branch-33554432,mlp8-gcc13-scalar,0,mlp8_cycle,scalar,cache_evicted,branch,33554432,33554432,56098816,107,250037336,548810716,4,4,0,0,1122260516037219,0
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-warm-basic-33554432,mlp8-gcc13-scalar,0,mlp8_cycle,scalar,warm,basic,33554432,33554432,50855936,97,250426455,549664972,4,4,0,0,1119751008108283,0
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-warm-basic-49152,mlp8-gcc13-scalar,0,mlp8_cycle,scalar,warm,basic,49152,49152,285897984,372263,250000427,548729988,4,4,0,0,1678150163350,0
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-warm-branch-7340032,mlp8-gcc13-scalar,0,mlp8_cycle,scalar,warm,branch,7340032,7340032,82116608,716,250211608,549193392,4,4,0,0,0,0
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-warm-branch-33554432,mlp8-gcc13-scalar,0,mlp8_cycle,scalar,warm,branch,33554432,33554432,30932992,59,251371816,551740072,4,4,0,0,1119751008108283,0
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-warm-branch-5242880,mlp8-gcc13-scalar,0,mlp8_cycle,scalar,warm,branch,5242880,5242880,90603520,1106,250139450,549034860,4,4,0,0,0,0
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-warm-basic-8388608,mlp8-gcc13-scalar,0,mlp8_cycle,scalar,warm,basic,8388608,8388608,82051072,626,250331899,549457256,4,4,0,0,0,0
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-warm-basic-8192,mlp8-gcc13-scalar,0,mlp8_cycle,scalar,warm,basic,8192,8192,213199488,1665621,250000298,548729444,4,4,0,0,284696827506,0
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-cache_evicted-basic-6291456,mlp8-gcc13-scalar,0,mlp8_cycle,scalar,cache_evicted,basic,6291456,6291456,87195648,887,250256736,549292264,4,4,0,0,208690400765030,0
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-cache_evicted-basic-8388608,mlp8-gcc13-scalar,0,mlp8_cycle,scalar,cache_evicted,basic,8388608,8388608,81133568,619,250231395,549236824,4,4,0,0,278919438202774,0
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-warm-branch-294912,mlp8-gcc13-scalar,0,mlp8_cycle,scalar,warm,branch,294912,294912,265637376,57647,250000666,548730512,4,4,0,0,9472020952457,0
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-warm-basic-24576,mlp8-gcc13-scalar,0,mlp8_cycle,scalar,warm,basic,24576,24576,264027648,687572,250000579,548729392,4,4,0,0,0,0
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-warm-branch-28672,mlp8-gcc13-scalar,0,mlp8_cycle,scalar,warm,branch,28672,28672,269300864,601118,250000482,548729852,4,4,0,0,0,0
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-warm-branch-24576,mlp8-gcc13-scalar,0,mlp8_cycle,scalar,warm,branch,24576,24576,264880128,689792,250000388,548729620,4,4,0,0,0,0
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-warm-branch-262144,mlp8-gcc13-scalar,0,mlp8_cycle,scalar,warm,branch,262144,262144,283004928,69093,250001034,548731328,4,4,0,0,8376835794308,0
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-cache_evicted-branch-8388608,mlp8-gcc13-scalar,0,mlp8_cycle,scalar,cache_evicted,branch,8388608,8388608,80347136,613,250174176,549111348,4,4,0,0,278919438202774,0
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-cache_evicted-branch-6291456,mlp8-gcc13-scalar,0,mlp8_cycle,scalar,cache_evicted,branch,6291456,6291456,86409216,879,250175915,549114896,4,4,0,0,208690400765030,0
1,mlp8-gcc13-scalar-r0-mlp8_cycle-scalar-warm-branch-98304,mlp8-gcc13-scalar,0,mlp8_cycle,scalar,warm,branch,98304,98304,297650688,193783,250000305,548729612,4,4,0,0,3169229669321,0
