schema_version,sample_id,build_id,perf_profile,event,value,time_enabled,time_running
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-6291456,prefetch-chain-gcc13-raw,l3_miss,cycles,553305132,252110111,252110111
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-6291456,prefetch-chain-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,154,252109529,252109529
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-262144,prefetch-chain-gcc13-raw,l1_miss,cycles,548807170,250056400,250056400
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-262144,prefetch-chain-gcc13-raw,l1_miss,mem_load_uops_retired_l1_miss,95350,250053633,250053633
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-32768,prefetch-chain-gcc13-raw,l3_miss,cycles,548732943,250023848,250023848
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-32768,prefetch-chain-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,24,250022115,250022115
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-6291456,prefetch-chain-gcc13-raw,dtlb_walk,cycles,553291003,252103504,252103504
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-6291456,prefetch-chain-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,1768366,252102714,252102714
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-1048576,prefetch-chain-gcc13-raw,dtlb_walk,cycles,549383433,250321295,250321295
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-1048576,prefetch-chain-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,2,250319156,250319156
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-536870912,prefetch-chain-gcc13-raw,l3_miss,cycles,1971881915,898412065,898412065
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-536870912,prefetch-chain-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,34,898411473,898411473
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-36864,prefetch-chain-gcc13-raw,dtlb_walk,cycles,548722856,250026079,250026079
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-36864,prefetch-chain-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,29,250026538,250026538
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-32768,prefetch-chain-gcc13-raw,l2_miss,cycles,548732007,250022933,250022933
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-32768,prefetch-chain-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,791,250021616,250021616
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-262144,prefetch-chain-gcc13-raw,l2_miss,cycles,548811378,250059070,250059070
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-262144,prefetch-chain-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,58907,250056339,250056339
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-536870912,prefetch-chain-gcc13-raw,l2_miss,cycles,1992517378,907813638,907813638
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-536870912,prefetch-chain-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,58,907812666,907812666
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-1048576,prefetch-chain-gcc13-raw,l2_miss,cycles,549099399,250190869,250190869
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-1048576,prefetch-chain-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,10518,250189070,250189070
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-8388608,prefetch-chain-gcc13-raw,l3_miss,cycles,547076367,250002030,250002030
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-8388608,prefetch-chain-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,781,250005547,250005547
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-1048576,prefetch-chain-gcc13-raw,l3_miss,cycles,549197278,250235625,250235625
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-1048576,prefetch-chain-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,15,250234403,250234403
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-8388608,prefetch-chain-gcc13-raw,dtlb_walk,cycles,548839524,250105176,250105176
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-8388608,prefetch-chain-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,2128020,250105671,250105671
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-8388608,prefetch-chain-gcc13-raw,l2_miss,cycles,555448613,253086878,253086878
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-8388608,prefetch-chain-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,632,253086722,253086722
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-36864,prefetch-chain-gcc13-raw,l1_miss,cycles,548738441,250026582,250026582
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-36864,prefetch-chain-gcc13-raw,l1_miss,mem_load_uops_retired_l1_miss,740772,250025696,250025696
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-32768,prefetch-chain-gcc13-raw,dtlb_walk,cycles,548735445,250026095,250026095
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-32768,prefetch-chain-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,0,250024698,250024698
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-536870912,prefetch-chain-gcc13-raw,dtlb_walk,cycles,1994224293,908591210,908591210
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-536870912,prefetch-chain-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,8323978,908589682,908589682
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-36864,prefetch-chain-gcc13-raw,l2_miss,cycles,548740189,250025751,250025751
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-36864,prefetch-chain-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,768,250022353,250022353
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-262144,prefetch-chain-gcc13-raw,l3_miss,cycles,548819815,250063632,250063632
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-262144,prefetch-chain-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,13,250062769,250062769
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-8388608,prefetch-chain-gcc13-raw,l1_miss,cycles,560331394,255311630,255311630
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-8388608,prefetch-chain-gcc13-raw,l1_miss,mem_load_uops_retired_l1_miss,1237,255311594,255311594
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-6291456,prefetch-chain-gcc13-raw,l1_miss,cycles,555972283,253327284,253327284
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-6291456,prefetch-chain-gcc13-raw,l1_miss,mem_load_uops_retired_l1_miss,1200,253326977,253326977
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-6291456,prefetch-chain-gcc13-raw,l2_miss,cycles,551441641,251260810,251260810
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-6291456,prefetch-chain-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,879,251261326,251261326
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-36864,prefetch-chain-gcc13-raw,l3_miss,cycles,548734449,250024360,250024360
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-36864,prefetch-chain-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,15,250022734,250022734
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-1048576,prefetch-chain-gcc13-raw,l1_miss,cycles,548955317,250125422,250125422
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-1048576,prefetch-chain-gcc13-raw,l1_miss,mem_load_uops_retired_l1_miss,12599,250124749,250124749
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-32768,prefetch-chain-gcc13-raw,l1_miss,cycles,548735375,250024949,250024949
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-32768,prefetch-chain-gcc13-raw,l1_miss,mem_load_uops_retired_l1_miss,1877147,250024318,250024318
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-536870912,prefetch-chain-gcc13-raw,l1_miss,cycles,1999897623,911176545,911176545
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-536870912,prefetch-chain-gcc13-raw,l1_miss,mem_load_uops_retired_l1_miss,3502,911174740,911174740
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-262144,prefetch-chain-gcc13-raw,dtlb_walk,cycles,548814946,250060791,250060791
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-262144,prefetch-chain-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,1,250058123,250058123
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-dtlb_walk-262144,prefetch-chain-gcc13-raw,dtlb_walk,cycles,548767873,250038945,250038945
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-dtlb_walk-262144,prefetch-chain-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,0,250035185,250035185
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l1_miss-1048576,prefetch-chain-gcc13-raw,l1_miss,cycles,549080140,250181365,250181365
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l1_miss-1048576,prefetch-chain-gcc13-raw,l1_miss,mem_load_uops_retired_l1_miss,10393,250178596,250178596
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l3_miss-32768,prefetch-chain-gcc13-raw,l3_miss,cycles,548732803,250023556,250023556
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l3_miss-32768,prefetch-chain-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,21,250022090,250022090
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l1_miss-32768,prefetch-chain-gcc13-raw,l1_miss,cycles,548732636,250022940,250022940
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l1_miss-32768,prefetch-chain-gcc13-raw,l1_miss,mem_load_uops_retired_l1_miss,1845916,250021646,250021646
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-dtlb_walk-36864,prefetch-chain-gcc13-raw,dtlb_walk,cycles,548734682,250022482,250022482
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-dtlb_walk-36864,prefetch-chain-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,0,250019395,250019395
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l2_miss-8388608,prefetch-chain-gcc13-raw,l2_miss,cycles,557469790,254009168,254009168
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l2_miss-8388608,prefetch-chain-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,538,254008265,254008265
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-dtlb_walk-8388608,prefetch-chain-gcc13-raw,dtlb_walk,cycles,560688574,255475599,255475599
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-dtlb_walk-8388608,prefetch-chain-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,1660800,255474416,255474416
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-dtlb_walk-1048576,prefetch-chain-gcc13-raw,dtlb_walk,cycles,549260609,250264498,250264498
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-dtlb_walk-1048576,prefetch-chain-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,1,250263142,250263142
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l2_miss-1048576,prefetch-chain-gcc13-raw,l2_miss,cycles,548903659,250101014,250101014
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l2_miss-1048576,prefetch-chain-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,9817,250098740,250098740
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-dtlb_walk-6291456,prefetch-chain-gcc13-raw,dtlb_walk,cycles,556353542,253499109,253499109
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-dtlb_walk-6291456,prefetch-chain-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,1935559,253498883,253498883
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l3_miss-536870912,prefetch-chain-gcc13-raw,l3_miss,cycles,1978461868,901410035,901410035
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l3_miss-536870912,prefetch-chain-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,46,901408630,901408630
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l3_miss-1048576,prefetch-chain-gcc13-raw,l3_miss,cycles,549281611,250274272,250274272
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l3_miss-1048576,prefetch-chain-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,8,250271876,250271876
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l1_miss-36864,prefetch-chain-gcc13-raw,l1_miss,cycles,548738347,250026463,250026463
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l1_miss-36864,prefetch-chain-gcc13-raw,l1_miss,mem_load_uops_retired_l1_miss,789563,250025197,250025197
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l2_miss-36864,prefetch-chain-gcc13-raw,l2_miss,cycles,548738071,250024929,250024929
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l2_miss-36864,prefetch-chain-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,771,250022728,250022728
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l3_miss-6291456,prefetch-chain-gcc13-raw,l3_miss,cycles,555659316,253183700,253183700
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l3_miss-6291456,prefetch-chain-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,296,253183346,253183346
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l2_miss-262144,prefetch-chain-gcc13-raw,l2_miss,cycles,548772276,250042732,250042732
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l2_miss-262144,prefetch-chain-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,17200,250041288,250041288
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l2_miss-32768,prefetch-chain-gcc13-raw,l2_miss,cycles,548732015,250024121,250024121
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l2_miss-32768,prefetch-chain-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,876,250021868,250021868
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-dtlb_walk-536870912,prefetch-chain-gcc13-raw,dtlb_walk,cycles,1984597262,904205877,904205877
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-dtlb_walk-536870912,prefetch-chain-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,8323975,904204831,904204831
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l1_miss-6291456,prefetch-chain-gcc13-raw,l1_miss,cycles,555556257,253136657,253136657
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l1_miss-6291456,prefetch-chain-gcc13-raw,l1_miss,mem_load_uops_retired_l1_miss,1488,253136236,253136236
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l2_miss-536870912,prefetch-chain-gcc13-raw,l2_miss,cycles,1983157645,903549116,903549116
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l2_miss-536870912,prefetch-chain-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,53,903548435,903548435
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l1_miss-536870912,prefetch-chain-gcc13-raw,l1_miss,cycles,2057192674,937607882,937607882
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l1_miss-536870912,prefetch-chain-gcc13-raw,l1_miss,mem_load_uops_retired_l1_miss,15361,937610579,937610579
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l3_miss-36864,prefetch-chain-gcc13-raw,l3_miss,cycles,548734674,250023504,250023504
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l3_miss-36864,prefetch-chain-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,0,250020243,250020243
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l3_miss-8388608,prefetch-chain-gcc13-raw,l3_miss,cycles,551043098,251081208,251081208
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l3_miss-8388608,prefetch-chain-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,152,251082365,251082365
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l3_miss-262144,prefetch-chain-gcc13-raw,l3_miss,cycles,548739064,250025872,250025872
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l3_miss-262144,prefetch-chain-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,0,250021995,250021995
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l1_miss-8388608,prefetch-chain-gcc13-raw,l1_miss,cycles,558072982,254280922,254280922
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l1_miss-8388608,prefetch-chain-gcc13-raw,l1_miss,mem_load_uops_retired_l1_miss,694,254281727,254281727
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l2_miss-6291456,prefetch-chain-gcc13-raw,l2_miss,cycles,554165699,252502022,252502022
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l2_miss-6291456,prefetch-chain-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,996,252502274,252502274
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-dtlb_walk-32768,prefetch-chain-gcc13-raw,dtlb_walk,cycles,548734353,250024958,250024958
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-dtlb_walk-32768,prefetch-chain-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,0,250023318,250023318
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l1_miss-262144,prefetch-chain-gcc13-raw,l1_miss,cycles,548767087,250040003,250040003
