round,profile,footprint_bytes,shuffle_key
1,l3_miss,6291456,0025717295
1,l1_miss,262144,0121193505
1,l3_miss,32768,0153768444
1,dtlb_walk,6291456,0153998979
1,dtlb_walk,1048576,0260103230
1,l3_miss,536870912,0282339722
1,dtlb_walk,36864,0328102030
1,l2_miss,32768,0349056586
1,l2_miss,262144,0386225427
1,l2_miss,536870912,0403690600
1,l2_miss,1048576,0443292937
1,l3_miss,8388608,0510826905
1,l3_miss,1048576,0666303219
1,dtlb_walk,8388608,0718296401
1,l2_miss,8388608,0751547556
1,l1_miss,36864,0846759907
1,dtlb_walk,32768,0853076292
1,dtlb_walk,536870912,0889496800
1,l2_miss,36864,0891217446
1,l3_miss,262144,1182047110
1,l1_miss,8388608,1243813042
1,l1_miss,6291456,1253614968
1,l2_miss,6291456,1453915162
1,l3_miss,36864,1564919162
1,l1_miss,1048576,1645578420
1,l1_miss,32768,1669733490
1,l1_miss,536870912,1762091856
1,dtlb_walk,262144,2103029667
2,dtlb_walk,262144,0120478140
2,l1_miss,1048576,0214579864
2,l3_miss,32768,0276179925
2,l1_miss,32768,0282656108
2,dtlb_walk,36864,0372096274
2,l2_miss,8388608,0487666281
2,dtlb_walk,8388608,0511372788
2,dtlb_walk,1048576,0569205984
2,l2_miss,1048576,0670985663
2,dtlb_walk,6291456,0672473130
2,l3_miss,536870912,0756411542
2,l3_miss,1048576,0800574619
2,l1_miss,36864,0917007465
2,l2_miss,36864,0934411051
2,l3_miss,6291456,0946319677
2,l2_miss,262144,1063834277
2,l2_miss,32768,1129379877
2,dtlb_walk,536870912,1224577588
2,l1_miss,6291456,1236273946
2,l2_miss,536870912,1264811512
2,l1_miss,536870912,1298810930
2,l3_miss,36864,1356804880
2,l3_miss,8388608,1570795384
2,l3_miss,262144,1715418003
2,l1_miss,8388608,1735133825
2,l2_miss,6291456,1904064530
2,dtlb_walk,32768,2050162746
2,l1_miss,262144,2053502393
3,l1_miss,8388608,0078970961
3,l3_miss,262144,0101305249
3,l2_miss,6291456,0206730251
3,l2_miss,8388608,0223785006
3,dtlb_walk,262144,0285410260
3,dtlb_walk,8388608,0304449175
3,l3_miss,32768,0398591406
3,dtlb_walk,36864,0416090518
3,l3_miss,8388608,0483280216
3,l1_miss,536870912,0835530004
3,dtlb_walk,1048576,0878308738
3,l2_miss,1048576,0898678389
3,l1_miss,1048576,0931064955
3,l3_miss,1048576,0934846019
3,l2_miss,36864,0977604656
3,l1_miss,36864,0987255023
3,l1_miss,32768,1043062373
3,dtlb_walk,32768,1099765553
3,l3_miss,36864,1148690598
3,dtlb_walk,6291456,1190947281
3,l1_miss,6291456,1218932924
3,l3_miss,536870912,1230483362
3,dtlb_walk,536870912,1559658376
3,l2_miss,262144,1741443127
3,l1_miss,262144,1838327634
3,l3_miss,6291456,1866922059
3,l2_miss,32768,1909703168
3,l2_miss,536870912,2125932424
4,dtlb_walk,8388608,0097525562
4,dtlb_walk,32768,0149368360
4,l2_miss,262144,0271568330
4,l1_miss,536870912,0372249078
4,dtlb_walk,262144,0450342380
4,dtlb_walk,36864,0460084762
4,l3_miss,32768,0521002887
4,l2_miss,32768,0542542812
4,l1_miss,8388608,0570291744
4,l3_miss,262144,0634676142
4,l3_miss,6291456,0640040794
4,l2_miss,6291456,0656879619
4,l2_miss,536870912,0839569689
4,l3_miss,36864,0940576316
4,l2_miss,36864,1020798261
4,l1_miss,36864,1057502581
4,l3_miss,1048576,1069117419
4,l2_miss,1048576,1126371115
4,dtlb_walk,1048576,1187411492
4,l1_miss,6291456,1201591902
4,l3_miss,8388608,1543248695
4,l1_miss,262144,1623152875
4,l1_miss,1048576,1647550046
4,l3_miss,536870912,1704555182
4,dtlb_walk,6291456,1709421432
4,l1_miss,32768,1803468638
4,dtlb_walk,536870912,1894739164
4,l2_miss,8388608,2107387378
5,l3_miss,536870912,0031143355
5,dtlb_walk,6291456,0080411936
5,dtlb_walk,536870912,0082336305
5,l1_miss,1048576,0216551490
5,l1_miss,32768,0416391256
5,l3_miss,8388608,0455733527
5,dtlb_walk,36864,0504079006
5,dtlb_walk,262144,0615274500
5,l3_miss,32768,0643414368
5,l3_miss,36864,0732462034
5,l2_miss,262144,0949177180
5,l1_miss,8388608,1061612527
5,l2_miss,36864,1063991866
5,l2_miss,6291456,1107028987
5,l1_miss,36864,1127750139
5,l3_miss,262144,1168047035
5,l1_miss,6291456,1184250880
5,l3_miss,1048576,1203388819
5,l2_miss,32768,1322866103
5,dtlb_walk,32768,1346454814
5,l2_miss,1048576,1354063841
5,l1_miss,262144,1407978116
5,dtlb_walk,1048576,1496514246
5,l3_miss,6291456,1560643176
5,l2_miss,536870912,1700690601
5,l2_miss,8388608,1843506103
5,dtlb_walk,8388608,2038085596
5,l1_miss,536870912,2056451799
6,l3_miss,6291456,0333761911
6,dtlb_walk,32768,0396057621
6,l2_miss,536870912,0414327866
6,dtlb_walk,536870912,0417417093
6,l3_miss,536870912,0505215175
6,l3_miss,36864,0524347752
6,dtlb_walk,36864,0548073250
6,dtlb_walk,6291456,0598886087
6,l3_miss,32768,0765825849
6,dtlb_walk,262144,0780206620
6,l1_miss,1048576,0933036581
6,l2_miss,36864,1107185471
6,l1_miss,6291456,1166909858
6,l1_miss,32768,1176797521
6,l1_miss,262144,1192803357
6,l1_miss,36864,1197997697
6,l3_miss,1048576,1337660219
6,l3_miss,8388608,1515702006
6,l1_miss,8388608,1552933310
6,l2_miss,6291456,1557178355
6,l2_miss,8388608,1579624828
6,l2_miss,1048576,1581756567
6,l1_miss,536870912,1593170873
6,l2_miss,262144,1626786030
6,l3_miss,262144,1701417928
6,dtlb_walk,1048576,1805617000
6,dtlb_walk,8388608,1831161983
6,l2_miss,32768,2103189394
