build_id,mode,implementation,state,perf_profile,footprint_bytes,accepted_rows,median_ns_per_operation,p05_ns_per_operation,p95_ns_per_operation,median_tsc_ticks_per_operation,p05_tsc_ticks_per_operation,p95_tsc_ticks_per_operation
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,dtlb_walk,32768,8,4.33625208486,4.27008864643,4.56884392354,9.51771041472,9.37248688238,10.0282244317
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,dtlb_walk,36864,8,8.27682385857,8.27067579377,8.28995903977,18.166934703,18.1534374457,18.1957559783
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,dtlb_walk,262144,8,12.2404325955,9.99760254306,14.8353911946,26.8667249693,21.9438755695,32.5624316525
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,dtlb_walk,1048576,8,20.8749863068,20.6883610258,21.0711946895,45.8188446504,45.4092081375,46.2494945447
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,dtlb_walk,6291456,8,46.0678507487,44.1341631659,78.2093043472,101.115020752,96.870740167,171.662776446
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,dtlb_walk,8388608,8,66.5443183636,50.0263441037,88.2943753329,146.059125177,109.803574,193.798663053
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,dtlb_walk,536870912,8,108.191988468,106.843300581,119.851804137,237.472402573,234.512143612,263.064712048
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,l1_miss,32768,8,4.32231026568,4.18171402233,4.56641240552,9.48710897389,9.178510065,10.0228906272
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,l1_miss,36864,8,8.27550936033,8.26845781819,8.29334562063,18.1640399909,18.1485729843,18.2031997389
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,l1_miss,262144,8,11.3798068941,9.93781771671,14.8415554649,24.9777096514,21.8126663114,32.575962459
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,l1_miss,1048576,8,20.8899334074,20.7382152392,21.1232510853,45.8516456614,45.5186250106,46.3637445431
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,l1_miss,6291456,8,50.2175039653,41.9316884859,67.6602266546,110.223150914,92.0364996905,148.508435701
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,l1_miss,8388608,8,59.1567405932,55.6983132499,68.1517323085,129.844030207,122.253074428,149.587268284
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,l1_miss,536870912,8,107.720941663,106.934517622,108.784923911,236.438491344,234.712359428,238.773843765
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,l2_miss,32768,8,4.4313123538,4.35260783328,4.62350924164,9.726359298,9.55360450819,10.1482100247
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,l2_miss,36864,8,8.27598595354,8.27221956854,8.28252954665,18.1650957087,18.1568291118,18.1794494113
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,l2_miss,262144,8,13.6962159353,11.2592228951,14.857836819,30.0620468855,24.7130459094,32.6116970697
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,l2_miss,1048576,8,20.8993161224,20.7848378707,21.2043254428,45.8722469888,45.6209774926,46.5417097304
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,l2_miss,6291456,8,46.069858551,44.0302976411,72.7496195475,101.119426182,96.6427591258,159.679230608
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,l2_miss,8388608,8,67.5555164732,54.3645439148,82.0344689687,148.278591814,119.325563219,180.058704376
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,l2_miss,536870912,8,107.09082973,106.983119249,133.369599462,235.055452347,234.819035053,292.735168457
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,l3_miss,32768,8,4.35200932846,4.18965196517,4.52697069318,9.55229125445,9.19593042119,9.9363156777
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,l3_miss,36864,8,8.27451791093,5.61675660636,8.27774576001,18.1618734457,12.3283042413,18.1689487684
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,l3_miss,262144,8,13.1958594679,10.0304527414,14.9477511564,28.9638055454,22.0159918729,32.8090629017
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,l3_miss,1048576,8,20.9605736366,20.7247237435,21.1574814392,46.0066900568,45.4890219534,46.4388708395
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,l3_miss,6291456,8,51.3648081462,44.6946994715,74.9845868279,112.741389974,98.1010706494,164.584794587
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,l3_miss,8388608,8,59.0778748483,54.6591803414,87.2009142095,129.670927106,119.972257778,191.398608121
prefetch-chain-gcc13-raw,prefetch_chain,scalar,warm,l3_miss,536870912,8,107.192370892,102.658634901,111.756317019,235.278326988,225.327149868,245.295805454
