schema_version,sample_id,build_id,perf_profile,event,value,time_enabled,time_running
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-6291456,prefetch-chain-gcc13-raw,l3_miss,cycles,554148484,252494846,252494846
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-6291456,prefetch-chain-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,196,252494443,252494443
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-262144,prefetch-chain-gcc13-raw,l1_miss,cycles,548756914,250035211,250035211
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-262144,prefetch-chain-gcc13-raw,l1_miss,mem_load_uops_retired_l1_miss,96212,250033160,250033160
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-32768,prefetch-chain-gcc13-raw,l3_miss,cycles,548731823,250022908,250022908
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-32768,prefetch-chain-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,17,250021439,250021439
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-6291456,prefetch-chain-gcc13-raw,dtlb_walk,cycles,554879326,252829218,252829218
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-6291456,prefetch-chain-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,1101154,252827941,252827941
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-1048576,prefetch-chain-gcc13-raw,dtlb_walk,cycles,548819869,250063804,250063804
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-1048576,prefetch-chain-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,3,250062576,250062576
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-536870912,prefetch-chain-gcc13-raw,l3_miss,cycles,1994206842,908583240,908583240
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-536870912,prefetch-chain-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,44,908581786,908581786
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-36864,prefetch-chain-gcc13-raw,dtlb_walk,cycles,548739203,250027401,250027401
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-36864,prefetch-chain-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,0,250025224,250025224
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-32768,prefetch-chain-gcc13-raw,l2_miss,cycles,548732740,250022881,250022881
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-32768,prefetch-chain-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,790,250021510,250021510
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-262144,prefetch-chain-gcc13-raw,l2_miss,cycles,548739974,250026385,250026385
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-262144,prefetch-chain-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,21894,250024050,250024050
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-536870912,prefetch-chain-gcc13-raw,l2_miss,cycles,1969806431,897465855,897465855
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-536870912,prefetch-chain-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,42,897465643,897465643
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-1048576,prefetch-chain-gcc13-raw,l2_miss,cycles,549046191,250166900,250166900
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-1048576,prefetch-chain-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,10531,250165388,250165388
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-8388608,prefetch-chain-gcc13-raw,l3_miss,cycles,558699860,254568266,254568266
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-8388608,prefetch-chain-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,149,254569201,254569201
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-1048576,prefetch-chain-gcc13-raw,l3_miss,cycles,548851734,250078632,250078632
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-1048576,prefetch-chain-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,12,250076257,250076257
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-8388608,prefetch-chain-gcc13-raw,dtlb_walk,cycles,555185700,252966767,252966767
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-8388608,prefetch-chain-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,1926602,252966661,252966661
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-8388608,prefetch-chain-gcc13-raw,l2_miss,cycles,567162049,258425580,258425580
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-8388608,prefetch-chain-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,450,258423905,258423905
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-36864,prefetch-chain-gcc13-raw,l1_miss,cycles,548732881,250024176,250024176
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-36864,prefetch-chain-gcc13-raw,l1_miss,mem_load_uops_retired_l1_miss,894476,250022141,250022141
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-32768,prefetch-chain-gcc13-raw,dtlb_walk,cycles,548732810,250022074,250022074
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-32768,prefetch-chain-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,0,250019226,250019226
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-536870912,prefetch-chain-gcc13-raw,dtlb_walk,cycles,1991123439,907179788,907179788
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-536870912,prefetch-chain-gcc13-raw,dtlb_walk,dtlb_load_misses_walk_completed,8323976,907178649,907178649
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-36864,prefetch-chain-gcc13-raw,l2_miss,cycles,548739162,250025393,250025393
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-36864,prefetch-chain-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,776,250021865,250021865
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-262144,prefetch-chain-gcc13-raw,l3_miss,cycles,548833000,250067832,250067832
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-262144,prefetch-chain-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,5,250065948,250065948
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-8388608,prefetch-chain-gcc13-raw,l1_miss,cycles,561690018,255930621,255930621
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-8388608,prefetch-chain-gcc13-raw,l1_miss,mem_load_uops_retired_l1_miss,1092,255930499,255930499
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-6291456,prefetch-chain-gcc13-raw,l1_miss,cycles,555681810,253193878,253193878
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-6291456,prefetch-chain-gcc13-raw,l1_miss,mem_load_uops_retired_l1_miss,1211,253192990,253192990
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-6291456,prefetch-chain-gcc13-raw,l2_miss,cycles,551416459,251248695,251248695
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-6291456,prefetch-chain-gcc13-raw,l2_miss,mem_load_uops_retired_l2_miss,722,251249262,251249262
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-36864,prefetch-chain-gcc13-raw,l3_miss,cycles,548732322,250023220,250023220
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-36864,prefetch-chain-gcc13-raw,l3_miss,mem_load_uops_retired_l3_miss,246,250021855,250021855
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-1048576,prefetch-chain-gcc13-raw,l1_miss,cycles,548879542,250090793,250090793
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-1048576,prefetch-chain-gcc13-raw,l1_miss,mem_load_uops_retired_l1_miss,11150,250088661,250088661
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-32768,prefetch-chain-gcc13-raw,l1_miss,cycles,548731798,250021526,250021526
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-32768,prefetch-chain-gcc13-raw,l1_miss,mem_load_uops_retired_l1_miss,1715483,250018959,250018959
