schema_version,sample_id,build_id,round,mode,implementation,state,perf_profile,footprint_bytes,physical_footprint_bytes,logical_operations,passes,wall_ns,tsc_ticks,cpu_before,cpu_after,minor_faults,major_faults,checksum,first_touch_exception
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-6291456,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,l3_miss,6291456,6291456,4915200,50,252468305,554146480,4,4,0,0,0,0
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-262144,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,l1_miss,262144,262144,25157632,6142,250011961,548755032,4,4,0,0,0,0
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-32768,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,l3_miss,32768,32768,57444864,112197,250000584,548730072,4,4,0,0,1132906460563,0
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-6291456,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,dtlb_walk,6291456,6291456,3244032,33,252801236,554877272,4,4,0,0,211271899605505,0
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-1048576,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,dtlb_walk,1048576,1048576,11927552,728,250040642,548817984,4,4,0,0,0,0
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-536870912,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,l3_miss,536870912,536870912,8388608,1,908556207,1994205184,4,4,0,0,18012249170480756,0
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-36864,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,dtlb_walk,36864,36864,30223872,52472,250003979,548737520,4,4,0,0,0,0
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-32768,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,l2_miss,32768,32768,56417280,110190,250001080,548730972,4,4,0,0,0,0
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-262144,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,l2_miss,262144,262144,22204416,5421,250004469,548738752,4,4,0,0,8851718817422,0
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-536870912,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,l2_miss,536870912,536870912,8388608,1,897439450,1969804836,4,4,0,0,18012249170480756,0
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-1048576,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,l2_miss,1048576,1048576,11993088,732,250143778,549044468,4,4,0,0,0,0
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-8388608,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,l3_miss,8388608,8388608,4325376,33,254541853,558697776,4,4,0,0,281649019437322,0
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-1048576,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,l3_miss,1048576,1048576,11878400,725,250055169,548849996,4,4,0,0,35440211175327,0
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-8388608,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,dtlb_walk,8388608,8388608,3801088,29,252940810,555183588,4,4,0,0,281649019437322,0
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-8388608,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,l2_miss,8388608,8388608,3670016,28,258397217,567159988,4,4,0,0,0,0
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-36864,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,l1_miss,36864,36864,30182400,52400,250001055,548731080,4,4,0,0,0,0
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-32768,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,dtlb_walk,32768,32768,57653760,112605,250001237,548731792,4,4,0,0,1132906460563,0
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-536870912,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,dtlb_walk,536870912,536870912,8388608,1,907151260,1991121452,4,4,0,0,18012249170480756,0
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-36864,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,l2_miss,36864,36864,30222144,52469,250004211,548738304,4,4,0,0,1275229108553,0
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-262144,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,l3_miss,262144,262144,16941056,4136,250046953,548831832,4,4,0,0,0,0
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-8388608,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,l1_miss,8388608,8388608,4587520,35,255903982,561687504,4,4,0,0,281649019437322,0
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-6291456,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,l1_miss,6291456,6291456,5799936,59,253166930,555679948,4,4,0,0,211271899605505,0
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l2_miss-6291456,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,l2_miss,6291456,6291456,4620288,47,251223575,551414404,4,4,0,0,211271899605505,0
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l3_miss-36864,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,l3_miss,36864,36864,30204288,52438,250000717,548730344,4,4,0,0,0,0
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-1048576,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,l1_miss,1048576,1048576,11943936,729,250067869,548877864,4,4,0,0,35440211175327,0
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-32768,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,l1_miss,32768,32768,57839616,112968,250000766,548730740,4,4,0,0,0,0
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-l1_miss-536870912,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,l1_miss,536870912,536870912,8388608,1,908675969,1994468076,4,4,0,0,18012249170480756,0
1,prefetch-chain-gcc13-raw-r1-prefetch_chain-scalar-warm-dtlb_walk-262144,prefetch-chain-gcc13-raw,1,prefetch_chain,scalar,warm,dtlb_walk,262144,262144,17682432,4317,250022628,548778448,4,4,0,0,8851718817422,0
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-dtlb_walk-262144,prefetch-chain-gcc13-raw,2,prefetch_chain,scalar,warm,dtlb_walk,262144,262144,25006080,6105,250000849,548730308,4,4,0,0,8851718817422,0
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l1_miss-1048576,prefetch-chain-gcc13-raw,2,prefetch_chain,scalar,warm,l1_miss,1048576,1048576,11894784,726,250217605,549206568,4,4,0,0,0,0
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l3_miss-32768,prefetch-chain-gcc13-raw,2,prefetch_chain,scalar,warm,l3_miss,32768,32768,59671040,116545,250000890,548730732,4,4,0,0,1132906460563,0
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-l1_miss-32768,prefetch-chain-gcc13-raw,2,prefetch_chain,scalar,warm,l1_miss,32768,32768,57484288,112274,250000835,548730612,4,4,0,0,0,0
1,prefetch-chain-gcc13-raw-r2-prefetch_chain-scalar-warm-dtlb_walk-36864,prefetch-chain-gcc13-raw,2,prefetch_chain,scalar,warm,dtlb_walk,36864,36864,30198528,52428,250000610,548730096,4,4,0,0,0,0
