build_id,mode,implementation,state,perf_profile,footprint_bytes,event,accepted_rows,median_per_operation,p05_per_operation,p95_per_operation
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,32768,cycles,15,9.63977075815,9.26430161034,9.92084535618
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,32768,instructions,15,11.3183755094,11.3183725737,11.3184038954
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,32768,ref_cycles,15,9.63982804489,9.26433638929,9.92088019532
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,262144,cycles,15,27.0761354611,23.3677735397,33.6793153359
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,262144,instructions,15,11.0398277565,11.0398224048,11.0398355738
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,262144,ref_cycles,15,27.0762838797,23.3678538413,33.6794150052
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,1048576,cycles,13,45.9398454222,45.3635488466,46.7178901449
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,1048576,instructions,13,11.0100015381,11.0100006806,11.0100029746
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,1048576,ref_cycles,13,45.940050099,45.3637345124,46.7181348814
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,6291456,cycles,15,115.035360946,88.481121699,176.452914874
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,6291456,instructions,15,11.0017887038,11.0017580986,11.0018580755
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,6291456,ref_cycles,15,115.036021538,88.4816954931,176.454437892
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,8388608,cycles,15,144.770763266,123.414623485,191.177819686
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,8388608,instructions,15,11.0014090702,11.0013847351,11.0014617226
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,8388608,ref_cycles,15,144.771830065,123.415580301,191.179168701
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,33554432,cycles,15,201.68652916,191.699478785,207.793209076
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,33554432,instructions,15,11.0005108515,11.0005108515,11.0005108515
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,33554432,ref_cycles,15,201.687745412,191.700658162,207.794322332
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,536870912,cycles,15,235.083431125,229.458291054,296.384239912
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,536870912,instructions,15,11.0000944138,11.0000944138,11.0000944138
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,536870912,ref_cycles,15,235.08384347,229.45866394,296.384629488
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,32768,branch_misses,14,0.00195449710774,0.0019541746002,0.00195479555936
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,32768,branches,14,1.06250375445,1.0625033926,1.06251187074
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,32768,cycles,14,9.56573377811,9.20437645999,9.93017889386
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,262144,branch_misses,15,0.000246587402224,0.000245956677515,0.000247968829034
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,262144,branches,15,1.00782010419,1.00781782972,1.00782157655
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,262144,cycles,15,31.6165535294,21.6644241313,35.174315573
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,1048576,branch_misses,15,6.49238227147e-05,6.42036479679e-05,6.56920594054e-05
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,1048576,branches,15,1.00196428378,1.00196413134,1.00196620396
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,1048576,cycles,15,46.241798222,45.7791426195,54.403229057
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,6291456,branch_misses,15,1.99538010817e-05,1.74896061769e-05,2.23139280914e-05
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,6291456,branches,15,1.0003523763,1.00034827971,1.00036883611
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,6291456,cycles,15,113.088339233,95.0709681969,184.818766604
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,8388608,branch_misses,15,1.72932942708e-05,1.59319709329e-05,2.25702921549e-05
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,8388608,branches,15,1.0002746582,1.00026931763,1.00028792672
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,8388608,cycles,15,128.198923516,106.678531837,183.284090125
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,33554432,branch_misses,14,1.23977661133e-05,1.01725260417e-05,1.41143798828e-05
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,33554432,branches,14,1.00010299683,1.00010299683,1.00011138916
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,33554432,cycles,14,203.665754,197.067117691,214.93561058
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,536870912,branch_misses,15,3.09944152832e-06,2.74181365967e-06,3.81469726562e-06
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,536870912,branches,15,1.00001955032,1.00001955032,1.00001955032
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,536870912,cycles,15,235.835570097,234.636664391,292.738692284
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,8192,cycles,15,7.63345668118,7.63271097266,7.64227202383
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,8192,instructions,15,12.2734627343,12.273459714,12.2734668544
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,8192,ref_cycles,15,7.63348510155,7.63273129482,7.64230725949
