build_id,mode,implementation,state,perf_profile,footprint_bytes,accepted_rows,median_ns_per_operation,p05_ns_per_operation,p95_ns_per_operation,median_tsc_ticks_per_operation,p05_tsc_ticks_per_operation,p95_tsc_ticks_per_operation
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,32768,15,4.39184885644,4.22078559838,4.51990898434,9.63973532504,9.26426531192,9.92081988221
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,262144,15,12.3357978642,10.6462894542,15.3442028692,27.0760301669,23.3677013279,33.6792330965
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,1048576,13,20.9300524568,20.6675023555,21.2845222335,45.9396795403,45.3634249593,46.7177213405
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,6291456,15,52.409723191,40.3117049535,80.3913695017,115.03489384,88.4807713826,176.452231089
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,8388608,15,65.9570928113,56.227283029,87.1000061035,144.770222631,123.414112764,191.177101829
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,33554432,15,91.8877232869,87.3376795451,94.6699530284,201.685817719,191.698813121,207.792524974
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,536870912,15,107.103484273,104.540672779,135.032011509,235.083227634,229.458070278,296.384024143
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,32768,14,4.3581198679,4.19348742622,4.52416375095,9.5657063744,9.20435150057,9.9301608335
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,262144,15,14.4043998196,9.87024845651,16.0253237091,31.6164434414,21.664363491,35.1742355174
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,1048576,15,21.0676172717,20.8568557989,24.7859332592,46.2416318696,45.7790507332,54.403017911
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,6291456,15,51.522666626,43.3140262237,84.2028359034,113.087872721,95.070611124,184.818077169
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,8388608,15,58.4069907449,48.6023590088,83.5035871423,128.198389227,106.67803421,183.283282736
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,33554432,14,92.7894906998,89.7831713359,97.9237075806,203.665088654,197.066458384,214.93417511
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,536870912,15,107.446135044,106.899932742,133.371116281,235.835309029,234.636450291,292.738493443
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,8192,15,3.47777919238,3.47744282087,3.48179411951,7.63342995796,7.63269560238,7.64224241472
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,16384,14,3.35501155626,3.35458036575,3.37837356358,7.36396749689,7.36302278704,7.41523957497
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,24576,15,3.30948552561,3.29885040863,3.39016449512,7.26403976529,7.24070018706,7.44112697594
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,28672,15,3.43720317747,3.35345058673,3.54522227041,7.54437085117,7.3605434052,7.78146418679
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,32768,15,4.3603714806,4.27404350488,4.59165172495,9.57064514275,9.38116272791,10.0782887553
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,36864,15,8.28643741873,8.24871951165,8.30945334669,18.1880361563,18.1052411036,18.2385501887
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,49152,15,8.26037893374,8.25496844807,8.31204074823,18.1308301667,18.1189537687,18.2442244593
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,65536,15,8.25300227855,8.24674351619,8.27882475389,18.114639584,18.1009018483,18.1713146935
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,98304,15,8.23880657168,8.23196052841,8.25084077343,18.0834904586,18.0684639526,18.1098957805
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,131072,15,8.23313840723,8.22641857236,10.2138657576,18.0710398998,18.0562998581,22.4185681528
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,196608,15,9.37171255446,8.29254206363,11.9772547887,20.5701193766,18.2014260824,26.2890571345
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,229376,15,10.3037394163,9.23595398322,15.2439261178,22.6158442578,20.272139825,33.4591170548
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,262144,15,12.9530745971,10.3839799142,15.6727245718,28.4308969622,22.7919546402,34.400307636
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,294912,15,15.1085195749,12.9100213327,17.4372939344,33.1619343014,28.3364005456,38.2733928699
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,393216,15,18.5285910119,17.6484950943,19.3341370064,40.6687045427,38.7369503695,42.4367898852
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,524288,15,19.8485297909,19.2668349911,20.050365185,43.5658595528,42.2890893185,44.0088512598
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,1048576,15,20.9789484883,20.7146910379,24.6877247159,46.0470349658,45.4669873511,54.1874585868
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,2097152,15,21.5362319302,21.2881702646,58.7313784086,47.2702244718,46.7257420107,128.910386306
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,4194304,15,30.9212384378,24.7508481918,80.913801829,67.8694876394,54.3260120023,177.59893163
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,5242880,15,44.3919270833,32.339506322,83.1695820576,97.4365057462,70.9824701891,182.550167599
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,6291456,15,63.1068350939,43.542030119,86.009451633,138.514149239,95.5710573358,188.783452691
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,7340032,15,55.9740128849,48.7394651383,77.8390830655,122.858202588,106.978992281,170.850183045
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,8388608,15,62.4276780159,55.6881035941,83.2557210508,137.0234375,122.23066755,182.73923791
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,12582912,15,75.1390715954,68.0434366862,92.60929144,164.923886767,149.349569756,203.269516718
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,33554432,15,91.1763575872,88.1579799652,96.2289619446,200.124376933,193.499299367,211.214398193
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,134217728,15,102.237819433,102.08513546,112.741866589,224.403410912,224.068286896,247.458983421
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,536870912,15,107.303576827,106.836706161,108.750529528,235.522415638,234.497670174,238.698354721
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,8192,15,3.47801916259,3.47731110919,3.48190455212,7.63395703154,7.6324065032,7.64248486238
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,16384,15,3.35542182792,3.34898241465,3.37148164411,7.36486767543,7.35073208982,7.40011592455
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,24576,14,3.30873727596,3.30780126411,3.35808671839,7.2623996794,7.26034659454,7.37071895433
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,28672,15,3.39405841845,3.36724706646,3.49243049533,7.44967040269,7.3908255393,7.66558835757
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,32768,15,4.35964348254,4.23484233997,4.58390806229,9.56904737458,9.29512408013,10.0612946185
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,36864,15,8.27504993417,8.26787665965,8.3154308267,18.1630374858,18.1472968046,18.2516645326
