schema_version,sample_id,build_id,perf_profile,event,value,time_enabled,time_running
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-65536,prefetch-gcc13-scalar,branch,cycles,547394642,250036425,250036425
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-65536,prefetch-gcc13-scalar,branch,branches,31183030,250034092,250034092
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-65536,prefetch-gcc13-scalar,branch,branch_misses,29588,250030553,250030553
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-5242880,prefetch-gcc13-scalar,basic,cycles,553940331,252411225,252411225
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-5242880,prefetch-gcc13-scalar,basic,instructions,49571194,252409802,252409802
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-5242880,prefetch-gcc13-scalar,basic,ref_cycles,553943478,252406718,252406718
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-branch-6291456,prefetch-gcc13-scalar,branch,cycles,553400195,252167728,252167728
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-branch-6291456,prefetch-gcc13-scalar,branch,branches,5113604,252166772,252166772
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-branch-6291456,prefetch-gcc13-scalar,branch,branch_misses,102,252163398,252163398
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-536870912,prefetch-gcc13-scalar,branch,cycles,1991045110,907155259,907155259
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-536870912,prefetch-gcc13-scalar,branch,branches,8388772,907154416,907154416
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-536870912,prefetch-gcc13-scalar,branch,branch_misses,24,907151025,907151025
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-12582912,prefetch-gcc13-scalar,branch,cycles,557725637,254137408,254137408
