round,mode,implementation,state,perf_profile,footprint_bytes,seed
0,prefetch_chain,scalar,warm,branch,65536,24301
0,prefetch_chain,scalar,warm,basic,5242880,24301
0,prefetch_chain,scalar,cache_evicted,branch,6291456,28397
0,prefetch_chain,scalar,warm,branch,536870912,24301
0,prefetch_chain,scalar,warm,branch,12582912,24301
0,prefetch_chain,scalar,warm,basic,131072,24301
0,prefetch_chain,scalar,warm,basic,4194304,24301
0,prefetch_chain,scalar,warm,basic,32768,24301
0,prefetch_chain,scalar,warm,branch,33554432,24301
0,prefetch_chain,scalar,warm,branch,16384,24301
0,prefetch_chain,scalar,warm,basic,1048576,24301
0,prefetch_chain,scalar,warm,basic,36864,24301
0,prefetch_chain,scalar,cache_evicted,branch,262144,28397
0,prefetch_chain,scalar,warm,branch,5242880,24301
0,prefetch_chain,scalar,warm,branch,262144,24301
0,prefetch_chain,scalar,cache_evicted,branch,536870912,28397
0,prefetch_chain,scalar,cache_evicted,branch,32768,28397
0,prefetch_chain,scalar,cache_evicted,basic,33554432,28397
0,prefetch_chain,scalar,warm,basic,262144,24301
0,prefetch_chain,scalar,warm,basic,12582912,24301
0,prefetch_chain,scalar,warm,branch,524288,24301
0,prefetch_chain,scalar,warm,branch,196608,24301
0,prefetch_chain,scalar,warm,branch,49152,24301
0,prefetch_chain,scalar,warm,basic,524288,24301
0,prefetch_chain,scalar,warm,basic,33554432,24301
0,prefetch_chain,scalar,warm,branch,4194304,24301
0,prefetch_chain,scalar,warm,basic,28672,24301
0,prefetch_chain,scalar,cache_evicted,branch,33554432,28397
0,prefetch_chain,scalar,warm,branch,24576,24301
0,prefetch_chain,scalar,warm,basic,196608,24301
0,prefetch_chain,scalar,warm,branch,1048576,24301
0,prefetch_chain,scalar,cache_evicted,basic,6291456,28397
0,prefetch_chain,scalar,warm,basic,393216,24301
0,prefetch_chain,scalar,warm,basic,98304,24301
0,prefetch_chain,scalar,cache_evicted,branch,1048576,28397
0,prefetch_chain,scalar,warm,branch,6291456,24301
0,prefetch_chain,scalar,cache_evicted,basic,262144,28397
0,prefetch_chain,scalar,warm,branch,28672,24301
0,prefetch_chain,scalar,warm,branch,8192,24301
0,prefetch_chain,scalar,cache_evicted,basic,32768,28397
0,prefetch_chain,scalar,warm,basic,65536,24301
0,prefetch_chain,scalar,warm,branch,32768,24301
0,prefetch_chain,scalar,warm,branch,294912,24301
0,prefetch_chain,scalar,warm,basic,8388608,24301
0,prefetch_chain,scalar,warm,basic,49152,24301
0,prefetch_chain,scalar,warm,basic,134217728,24301
0,prefetch_chain,scalar,warm,branch,98304,24301
0,prefetch_chain,scalar,warm,basic,536870912,24301
0,prefetch_chain,scalar,cache_evicted,branch,8388608,28397
0,prefetch_chain,scalar,warm,basic,7340032,24301
0,prefetch_chain,scalar,warm,branch,393216,24301
0,prefetch_chain,scalar,warm,basic,6291456,24301
0,prefetch_chain,scalar,cache_evicted,basic,8388608,28397
0,prefetch_chain,scalar,warm,basic,24576,24301
0,prefetch_chain,scalar,warm,branch,131072,24301
0,prefetch_chain,scalar,warm,branch,229376,24301
0,prefetch_chain,scalar,warm,basic,2097152,24301
0,prefetch_chain,scalar,warm,branch,36864,24301
0,prefetch_chain,scalar,cache_evicted,basic,1048576,28397
0,prefetch_chain,scalar,warm,branch,7340032,24301
0,prefetch_chain,scalar,warm,basic,294912,24301
0,prefetch_chain,scalar,warm,branch,2097152,24301
0,prefetch_chain,scalar,warm,basic,8192,24301
0,prefetch_chain,scalar,warm,basic,16384,24301
0,prefetch_chain,scalar,cache_evicted,basic,536870912,28397
0,prefetch_chain,scalar,warm,basic,229376,24301
0,prefetch_chain,scalar,warm,branch,134217728,24301
0,prefetch_chain,scalar,warm,branch,8388608,24301
1,prefetch_chain,scalar,warm,branch,393216,24302
1,prefetch_chain,scalar,warm,basic,294912,24302
