schema_version,sample_id,build_id,round,mode,implementation,state,perf_profile,footprint_bytes,physical_footprint_bytes,logical_operations,passes,wall_ns,tsc_ticks,cpu_before,cpu_after,minor_faults,major_faults,checksum,first_touch_exception
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-65536,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,65536,65536,30237696,29529,250005300,548740692,4,4,0,0,2130445174199,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-5242880,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,5242880,5242880,4505600,55,252373411,553938160,4,4,0,0,175025535078835,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-branch-6291456,prefetch-gcc13-scalar,0,prefetch_chain,scalar,cache_evicted,branch,6291456,6291456,5111808,52,252127195,553397792,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-536870912,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,536870912,536870912,8388608,1,907115377,1991042708,4,4,0,0,18017315376524952,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-12582912,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,12582912,12582912,3932160,20,254097834,557722708,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-131072,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,131072,131072,30390272,14839,250003098,548735864,4,4,0,0,4278656075126,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-4194304,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,4194304,4194304,8192000,125,250027313,548788712,4,4,0,0,139966022091032,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-32768,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,32768,32768,55289344,107987,250000826,548730876,4,4,0,0,1048797336496,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-33554432,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,33554432,33554432,3145728,6,297235281,652406300,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-16384,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,16384,16384,74275584,290139,250000385,548729628,4,4,0,0,523718600845,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-1048576,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,1048576,1048576,10141696,619,250375399,549552732,4,4,0,0,34787464670297,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-36864,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,basic,36864,36864,30142080,52330,250003787,548736948,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-branch-262144,prefetch-gcc13-scalar,0,prefetch_chain,scalar,cache_evicted,branch,262144,262144,16195584,3954,250001150,548731296,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-5242880,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,5242880,5242880,3112960,38,256017805,561937376,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-262144,prefetch-gcc13-scalar,0,prefetch_chain,scalar,warm,branch,262144,262144,16846848,4113,250014953,548761620,4,4,0,0,8565085882191,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-branch-536870912,prefetch-gcc13-scalar,0,prefetch_chain,scalar,cache_evicted,branch,536870912,536870912,8388608,1,900354931,1976204032,4,4,0,0,18019549671907483,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-branch-32768,prefetch-gcc13-scalar,0,prefetch_chain,scalar,cache_evicted,branch,32768,32768,56489984,110332,250002487,548734180,4,4,0,0,0,0
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-basic-33554432,prefetch-gcc13-scalar,0,prefetch_chain,scalar,cache_evicted,basic,33554432,33554432,3145728,6,291590312,640016056,4,4,0,0,0,0
