build_id,mode,implementation,state,perf_profile,footprint_bytes,accepted_rows,median_ns_per_operation,p05_ns_per_operation,p95_ns_per_operation,median_tsc_ticks_per_operation,p05_tsc_ticks_per_operation,p95_tsc_ticks_per_operation
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,32768,18,4.35821682362,4.13413123558,4.6370992884,9.56591597271,9.07407164137,10.1780390691
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,262144,17,11.9542929638,10.0125396408,15.0218275175,26.238671416,21.9766781624,32.9716458058
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,1048576,18,20.9765003749,20.7912386445,26.2973403799,46.0416481102,45.6350027807,57.7204220061
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,6291456,17,50.5069875281,40.8748706636,87.7525873294,110.858545241,89.7168504826,192.609466202
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,8388608,18,58.8811354204,52.1725571091,88.5835623308,129.239093203,114.514332539,194.433370417
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,33554432,18,91.795724233,87.5884631475,95.0266663233,201.483837128,192.249252319,208.575500488
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,536870912,18,107.254092574,106.859631419,129.834202051,235.413795948,234.547987938,284.975264549
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,32768,17,4.42557096493,4.19269971315,4.60543925684,9.71375739813,9.20261926037,10.1085474968
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,262144,18,13.2790567706,9.46688505793,15.8520479918,29.1464155461,20.7790194149,34.793905753
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,1048576,17,20.8878148779,20.6942450464,24.2845544375,45.8469796031,45.4221115319,53.3025286603
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,6291456,18,56.6150444878,40.4588287192,79.1341515743,124.265214482,88.8037199797,173.692742858
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,8388608,18,62.2306801581,55.3602990287,89.2231504267,136.591060515,121.511156355,195.837240046
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,33554432,18,92.5068775813,87.9357614517,95.1293134689,203.044845581,193.011543274,208.800783793
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,536870912,18,107.721190572,107.004040718,109.094906211,236.439042568,234.864955425,239.454202652
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,8192,18,3.47829028797,3.47727899901,3.54388265148,7.63455175239,7.6323363779,7.77852376812
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,16384,18,3.35575252535,3.35446458704,3.39945151421,7.36559166804,7.36276885022,7.46150961331
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,24576,18,3.30946106424,3.30782898882,3.36223543569,7.2639860014,7.2604074577,7.37982380204
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,28672,17,3.3884809165,3.36176240155,3.58630316414,7.4374316886,7.3787867199,7.87163096378
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,32768,18,4.3539809782,4.18369810767,4.55074979525,9.55662157199,9.18286200797,9.98850904207
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,36864,18,8.27392582055,8.25537875462,8.30378347268,18.160569858,18.1198561236,18.2261003973
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,49152,18,8.26422113666,8.25537129188,8.33778313526,18.1392727374,18.1198397452,18.3007231528
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,65536,17,8.24875341292,8.2420691138,8.30581316818,18.1053177685,18.0906509256,18.2305553961
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,98304,17,8.23914353829,8.23289894332,8.25678694342,18.0842298627,18.070516144,18.1229464429
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,131072,17,8.23023507819,8.22646447521,10.1932567528,18.0646671102,18.0564010747,22.3733332551
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,196608,18,9.72102098606,8.27772889889,10.8755945769,21.3368159241,18.1689114096,23.8710192756
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,229376,18,10.2542688133,8.41975544093,12.7032657282,22.5072561869,18.4806576806,27.8826037955
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,262144,17,11.7781456033,9.93708675334,15.4975414252,25.852043904,21.8110725941,34.0157950741
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,294912,17,15.2375664022,14.023572734,16.1470453172,33.445164777,30.7805668185,35.4414013414
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,393216,16,18.5869834772,17.8841324612,19.3686692318,40.7968485421,39.2541536802,42.512587322
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,524288,18,19.8764411608,19.2181198927,20.0358933176,43.6271003087,42.1821427429,43.9771065299
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,1048576,18,21.0011682314,20.6725613358,21.4364747465,46.095794132,45.374517335,47.0512427855
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,2097152,18,21.975685295,21.3301472584,80.8668473093,48.234774184,46.8178857558,177.495848324
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,4194304,16,34.2631371362,25.4035727394,84.1709352576,75.2046770368,55.7587029666,184.748048202
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,5242880,18,40.9665629883,31.5307003061,85.6888990614,89.9181269531,69.2072436775,188.079863824
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,6291456,18,52.0939877049,43.6100456971,87.2408874512,114.341820126,95.7203465693,191.486349826
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,7340032,18,53.6067222037,43.7394524275,86.6817975725,117.662208903,96.0043833705,190.259176736
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,8388608,18,59.4520945694,53.2485283746,88.4518748197,130.492308646,116.876001994,194.144348145
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,12582912,17,75.0959820218,65.6031018575,92.0127981277,164.829316316,143.993236287,201.960241409
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,33554432,18,91.9361518224,90.2184972763,96.2378082275,201.792072296,198.021959941,211.233813477
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,134217728,18,102.256080389,102.178096771,105.325899124,224.44349575,224.272317886,231.181557655
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,536870912,18,107.19875133,106.852846146,109.60252738,235.292331696,234.533095837,240.56842041
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,8192,17,3.47772887324,3.47730778355,3.54651847614,7.63332344732,7.6323993685,7.78430698072
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,16384,18,3.35562666546,3.34343185254,3.38037707701,7.36531595011,7.33855275794,7.41964454926
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,24576,18,3.3093526235,3.30773674228,3.39894244536,7.26374830773,7.26020497162,7.46039004079
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,28672,18,3.46170698647,3.36070674702,3.56748035388,7.59815479994,7.37646805657,7.83031598869
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,32768,18,4.39469249866,4.1552782493,4.59073585269,9.64598169686,9.12048505327,10.0762782141
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,36864,18,8.27729819182,8.24853308691,8.29714674548,18.1679758022,18.1048339373,18.2115324162
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,49152,18,8.26234452598,8.25696576932,8.29925644844,18.1351538639,18.1233389718,18.2161634277
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,65536,18,8.25236484256,8.24254442997,8.29086784891,18.1132492976,18.0916951964,18.1977509381
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,98304,17,8.2416064777,8.2324528613,8.31527735426,18.0896254504,18.0695358996,18.2513276274
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,131072,17,8.23164204079,8.22637888861,10.2897838508,18.067756053,18.0562024585,22.5852133094
