schema_version,sample_id,build_id,perf_profile,event,value,time_enabled,time_running
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-1048576,prefetch-gcc13-scalar,basic,cycles,549367173,250322302,250322302
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-1048576,prefetch-gcc13-scalar,basic,instructions,130961597,250320533,250320533
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-1048576,prefetch-gcc13-scalar,basic,ref_cycles,549368644,250317263,250317263
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-8192,prefetch-gcc13-scalar,branch,cycles,548731451,250033309,250033309
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-8192,prefetch-gcc13-scalar,branch,branches,89859513,250032025,250032025
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-8192,prefetch-gcc13-scalar,branch,branch_misses,561981,250028564,250028564
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-4194304,prefetch-gcc13-scalar,basic,cycles,534691932,244446196,244446196
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-4194304,prefetch-gcc13-scalar,basic,instructions,70664509,244449659,244449659
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-4194304,prefetch-gcc13-scalar,basic,ref_cycles,534699660,244447444,244447444
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-basic-1048576,prefetch-gcc13-scalar,basic,cycles,549427798,250354179,250354179
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-basic-1048576,prefetch-gcc13-scalar,basic,instructions,132404687,250351529,250351529
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-basic-1048576,prefetch-gcc13-scalar,basic,ref_cycles,549430376,250348393,250348393
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-65536,prefetch-gcc13-scalar,branch,cycles,548738376,250036870,250036870
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-65536,prefetch-gcc13-scalar,branch,branches,31277830,250035526,250035526
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-65536,prefetch-gcc13-scalar,branch,branch_misses,29682,250031932,250031932
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-134217728,prefetch-gcc13-scalar,basic,cycles,943475017,429881774,429881774
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-134217728,prefetch-gcc13-scalar,basic,instructions,46138299,429880332,429880332
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-134217728,prefetch-gcc13-scalar,basic,ref_cycles,943478096,429877224,429877224
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-8388608,prefetch-gcc13-scalar,basic,cycles,555311378,253034982,253034982
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-8388608,prefetch-gcc13-scalar,basic,instructions,46143189,253034636,253034636
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-8388608,prefetch-gcc13-scalar,basic,ref_cycles,555315354,253031553,253031553
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-536870912,prefetch-gcc13-scalar,basic,cycles,1972262440,898595007,898595007
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-536870912,prefetch-gcc13-scalar,basic,instructions,92275480,898594472,898594472
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-536870912,prefetch-gcc13-scalar,basic,ref_cycles,1972265922,898591288,898591288
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-branch-32768,prefetch-gcc13-scalar,branch,cycles,548584372,250014985,250014985
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-branch-32768,prefetch-gcc13-scalar,branch,branches,59864692,250015465,250015465
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-branch-32768,prefetch-gcc13-scalar,branch,branch_misses,110155,250012499,250012499
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-branch-8388608,prefetch-gcc13-scalar,branch,cycles,556717172,253678675,253678675
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-branch-8388608,prefetch-gcc13-scalar,branch,branches,3802148,253677031,253677031
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-branch-8388608,prefetch-gcc13-scalar,branch,branch_misses,71,253672457,253672457
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-6291456,prefetch-gcc13-scalar,branch,cycles,555027955,252906086,252906086
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-6291456,prefetch-gcc13-scalar,branch,branches,5900292,252905268,252905268
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-6291456,prefetch-gcc13-scalar,branch,branch_misses,108,252901308,252901308
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-32768,prefetch-gcc13-scalar,basic,cycles,548734293,250034865,250034865
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-32768,prefetch-gcc13-scalar,basic,instructions,648588765,250033203,250033203
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-32768,prefetch-gcc13-scalar,basic,ref_cycles,548736342,250029913,250029913
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-294912,prefetch-gcc13-scalar,basic,cycles,548842427,250083213,250083213
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-294912,prefetch-gcc13-scalar,basic,instructions,177674030,250080467,250080467
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-294912,prefetch-gcc13-scalar,basic,ref_cycles,548844208,250077502,250077502
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-393216,prefetch-gcc13-scalar,basic,cycles,548820582,250073198,250073198
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-393216,prefetch-gcc13-scalar,basic,instructions,147079366,250072198,250072198
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-basic-393216,prefetch-gcc13-scalar,basic,ref_cycles,548823110,250069083,250069083
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-196608,prefetch-gcc13-scalar,branch,cycles,548734773,250035854,250035854
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-196608,prefetch-gcc13-scalar,branch,branches,27194291,250033828,250033828
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-196608,prefetch-gcc13-scalar,branch,branch_misses,8815,250030495,250030495
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-134217728,prefetch-gcc13-scalar,branch,cycles,942481879,429430381,429430381
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-134217728,prefetch-gcc13-scalar,branch,branches,4194500,429429526,429429526
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-warm-branch-134217728,prefetch-gcc13-scalar,branch,branch_misses,30,429425882,429425882
1,prefetch-gcc13-scalar-r0-prefetch_chain-scalar-cache_evicted-branch-262144,prefetch-gcc13-scalar,branch,cycles,548828070,250079603,250079603
